AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,3/21/2022,09:33:00PM,SO22-87371,PTS,THEFT-SHOPLIFTING,35400 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Tarpon Springs PD,3/21/2022,07:21:00AM,TS22-7535,LSAP,TRAFFIC ACCIDENT,CYPRESS ST & N RING AVE,TARPON SPRINGS,34689
Sheriff,3/29/2022,12:00:00AM,SO22-95659,PT,THEFT-PETIT,3300 Block of 58TH AVE N ,PINELLAS SO,33714
Clearwater PD,3/29/2022,12:30:00PM,CW22-43908,MPA,MISSING PERSON,100 Block of N BETTY LN ,CLEARWATER,33755
Clearwater PD,3/21/2022,10:20:00AM,CW22-39670,GT,THEFT-GRAND,400 Block of POINSETTIA AVE ,CLEARWATER,33767
Sheriff,3/29/2022,07:09:00AM,SO22-95559,TAWN,TRESPASS,49TH ST N & RR CSX,PINELLAS SO,
Sheriff,3/28/2022,02:00:00AM,SO22-95048,BRGC,BURGLARY-VEHICLE,3600 Block of FREMANTLE DR ,PINELLAS SO,34684
Clearwater PD,3/29/2022,06:00:00PM,CW22-44116,GT,THEFT-GRAND,1200 Block of ENGMAN ST ,CLEARWATER,33755
Clearwater PD,3/21/2022,06:30:00AM,CW22-39352,BAT,BATTERY,1700 Block of SHARONDALE DR ,CLEARWATER,33755
Clearwater PD,3/21/2022,12:00:00AM,CW22-39616,GT,THEFT-GRAND,1100 Block of CLEVELAND ST ,CLEARWATER,33755
Clearwater PD,3/27/2022,10:38:00PM,CW22-42984,PT,THEFT-PETIT,2600 Block of SABAL SPRINGS CIR ,CLEARWATER,33761
Clearwater PD,3/24/2022,06:53:00PM,SO22-91102,ROBA,ROBBERY-ARMED,1300 Block of PARK ST ,CLEARWATER,33756
Sheriff,3/29/2022,10:00:00PM,SO22-95555,MPJU,MISSING PERSON,2100 Block of RIVIERA DR ,PINELLAS SO,33763
Sheriff,3/21/2022,04:36:00PM,SO22-87511,GTS,THEFT-SHOPLIFTING,11200 Block of PARK BLVD N ,SEMINOLE,33772
Clearwater PD,3/21/2022,07:30:00PM,CW22-39540,GT,THEFT-GRAND,2700 Block of GULF TO BAY BLVD ,CLEARWATER,33759
Clearwater PD,3/21/2022,04:08:00PM,CW22-39613,PTS,THEFT-SHOPLIFTING,27000 Block of US HIGHWAY 19 N ,CLEARWATER,33761
Sheriff,3/21/2022,05:00:00PM,SO22-87226,GT,THEFT-GRAND,8300 Block of SEMINOLE BLVD ,SEMINOLE,33772
Sheriff,3/20/2022,07:42:00AM,SO22-86539,BRGB,BURGLARY-BUSINESS,5600 Block of PARK ST N ,PINELLAS SO,33709
Sheriff,3/21/2022,08:02:00PM,SO22-87372,PTS,THEFT-SHOPLIFTING,35400 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Sheriff,3/22/2022,12:00:00AM,SO22-88558,GTF,THEFT-GRAND,500 Block of LAKEVIEW DR ,PINELLAS SO,34683
Clearwater PD,3/22/2022,12:00:00AM,CW22-40160,TUCS,THEFT-PETIT,1200 Block of DREW ST ,CLEARWATER,33755
Sheriff,3/21/2022,03:58:00AM,SO22-87282,BRGB,BURGLARY-BUSINESS,900 Block of 1ST AVE N ,SAFETY HARBOR,34695
Clearwater PD,3/22/2022,02:00:00AM,CW22-40014,PT,THEFT-PETIT,2700 Block of SEVILLE BLVD ,CLEARWATER,33764
