AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Gulfport PD,4/12/2018,05:05:00 PM,GP18-7377,PT,THEFT-PETIT,2300 Block of PREMIER DR S,GULFPORT,33707
Sheriff,4/13/2018,03:45:00 PM,SO18-110476,GT,THEFT-GRAND,7800 Block of PARK BLVD N,PINELLAS SO,33781
Treasure Island PD,4/10/2018,Unknown,TI18-6342,SBR,BATTERY-SEXUAL,100 Block of 108TH AVE,TREASURE ISLAND,33706
Sheriff,4/3/2018,07:35:00 PM,SO18-99897,TAWN,TRESPASS,14800 Block of 49TH ST N,PINELLAS SO,33762
Clearwater PD,4/7/2018,01:10:00 PM,CW18-52426,A,ASSAULT,27000 Block of US HIGHWAY 19 N,CLEARWATER,33761
Clearwater PD,4/6/2018,02:50:00 AM,CW18-51782,BAT,BATTERY,700 Block of BAYWAY BLVD,CLEARWATER,33767
Sheriff,4/3/2018,09:58:00 AM,SO18-99424,LSWU,TRAFFIC ACCIDENT,3400 Block of GULF BLVD,ST PETE BEACH,33706
Pinellas Park PD,4/11/2018,08:08:00 AM,201800027130,08B,BATTERY,8700 Block of 49TH ST,PINELLAS PARK,null
Largo PD,4/11/2018,11:29:00 PM,18003730,0690,THEFT-PETIT,9000 Block of ULMERTON RD,LARGO,33774
Sheriff,4/7/2018,04:38:00 PM,SO18-104098,BAT,BATTERY,11800 Block of SEMINOLE BLVD,PINELLAS SO,33778
Sheriff,4/11/2018,06:45:00 PM,SO18-108626,BRGC,BURGLARY-VEHICLE,11700 Block of 110TH TERR N,SEMINOLE,33778
Sheriff,4/12/2018,12:01:00 AM,SO18-109495,GT,THEFT-GRAND,6300 Block of 113TH ST N,PINELLAS SO,33772
Sheriff,4/11/2018,Unknown,SO18-108074,GTA,STOLEN VEHICLE,11100 Block of DUNCAN ST,SEMINOLE,33772
Pinellas Park PD,4/3/2018,05:33:00 PM,201800024927,06A,THEFT-GRAND,5200 Block of 101ST AVE,PINELLAS PARK,null
Gulfport PD,4/10/2018,12:00:00 AM,GP18-7181,GT,THEFT-GRAND,5500 Block of NEWTON AVE S,GULFPORT,33707
Sheriff,4/14/2018,07:30:00 PM,SO18-111371,GTA,STOLEN VEHICLE,9000 Block of BLIND PASS RD,ST PETE BEACH,33706
Sheriff,4/9/2018,08:55:00 PM,SO18-106205,MPJ,MISSING PERSON,7200 Block of 50TH AVE N,PINELLAS SO,33709
Sheriff,4/2/2018,03:00:00 PM,SO18-97982,PT,THEFT-PETIT,8400 Block of 131ST ST N,PINELLAS SO,33776
Sheriff,4/1/2018,03:30:00 PM,SO18-96731,BRGR,BURGLARY-RESIDENCE,1200 Block of SYRAH DR,OLDSMAR,34677
Sheriff,4/1/2018,07:15:00 PM,SO18-97393,MPA,MISSING PERSON,36700 Block of US HIGHWAY 19 N,PINELLAS SO,34684
Gulfport PD,3/31/2018,01:27:00 AM,GP18-6421,AB,BATTERY-AGGRAVATED,2800 Block of DUPONT ST S,GULFPORT,33707
Clearwater PD,4/4/2018,12:00:00 PM,CW18-50959,GTTB,THEFT-GRAND,1300 Block of S BELCHER RD,CLEARWATER,33764
Sheriff,4/8/2018,03:57:00 PM,SO18-106195,BOL,BATTERY,14400 Block of 49TH ST N,PINELLAS SO,33762
Sheriff,4/10/2018,09:00:00 PM,SO18-106734,BRGC,BURGLARY-VEHICLE,100 Block of CRESTWOOD LN,PINELLAS SO,33770
Sheriff,4/4/2018,04:00:00 PM,SO18-100393,PT,THEFT-PETIT,32500 Block of US HIGHWAY 19 N,PINELLAS SO,34684
Largo PD,4/6/2018,04:50:00 AM,18003547,0810,ASSAULT,800 Block of BELLEAIR PL,CLEARWATER,33770
Sheriff,4/9/2018,02:10:00 PM,SO18-106119,BAT,BATTERY,11900 Block of SEMINOLE BLVD,PINELLAS SO,33778
Sheriff,4/9/2018,09:08:00 PM,SO18-106435,TAWN,TRESPASS,3600 Block of E BAY DR,PINELLAS SO,33771
Sheriff,4/6/2018,12:16:00 PM,SO18-102888,BAT,BATTERY,13000 Block of VILLAGE BLVD,MADEIRA BEACH,33708
Sheriff,4/10/2018,12:00:00 AM,SO18-107308,GT,THEFT-GRAND,6500 Block of 44TH ST N,PINELLAS PARK,33781
Sheriff,4/10/2018,06:00:00 AM,SO18-107562,GTA,STOLEN VEHICLE,10100 Block of 130TH LN N,PINELLAS SO,33776
Sheriff,4/13/2018,12:33:00 PM,SO18-110665,MPA,MISSING PERSON,13000 Block of 95TH ST N,PINELLAS SO,33773
Clearwater PD,4/1/2018,Unknown,CW18-49373,TAWN,TRESPASS,1200 Block of S MISSOURI AVE,CLEARWATER,33756
Largo PD,4/14/2018,08:00:00 PM,18003817,0640,THEFT-PETIT,1100 Block of WOODBROOK DR,LARGO,33770
Tarpon Springs PD,4/11/2018,09:00:00 AM,TS18-10392,BRC,BURGLARY-RESIDENCE,800 Block of CAROLINA AVE,TARPON SPRINGS,34689
Sheriff,4/8/2018,10:32:00 PM,SO18-105542,PT,THEFT-PETIT,11400 Block of STARKEY RD,PINELLAS SO,33773
Pinellas Park PD,4/12/2018,02:20:00 PM,201800027494,04C,ASSAULT,9900 Block of 46TH ST,PINELLAS PARK,null
Clearwater PD,4/10/2018,08:00:00 PM,CW18-53833,GT,THEFT-GRAND,1300 Block of DREW ST,CLEARWATER,33755
Clearwater PD,4/9/2018,05:30:00 PM,CW18-53562,BRGC,BURGLARY-VEHICLE,200 Block of S GLENWOOD AVE,CLEARWATER,33755
Sheriff,4/7/2018,04:22:00 AM,SO18-103667,GTA,STOLEN VEHICLE,7400 Block of 138TH ST N,PINELLAS SO,33776
Sheriff,4/10/2018,08:31:00 PM,SO18-107602,PT,THEFT-PETIT,1200 Block of MAIN ST,DUNEDIN,34698
Pinellas Park PD,4/11/2018,09:40:00 AM,201800027205,08B,BATTERY,4400 Block of 70TH AVE,PINELLAS PARK,null
Clearwater PD,4/3/2018,02:30:00 PM,CW18-50333,ROBA,ROBBERY-ARMED,23600 Block of US HIGHWAY 19 N,CLEARWATER,33765
Largo PD,4/2/2018,09:57:00 PM,18003401,0300,ROBBERY-UNARMED,800 Block of WEST BAY DR,LARGO,33770
Sheriff,4/8/2018,08:17:00 PM,SO18-105428,PT,THEFT-PETIT,2400 Block of PHILIPPE PKWY,SAFETY HARBOR,34695
Treasure Island PD,4/10/2018,Unknown,TI85-3314,SBR,BATTERY-SEXUAL,100 Block of 108TH AVE,TREASURE ISLAND,33706
Pinellas Park PD,4/2/2018,07:00:00 PM,201800024692,08G,BATTERY,8600 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Clearwater PD,4/2/2018,07:00:00 AM,CW18-49670,GT,THEFT-GRAND,500 Block of S HERCULES AVE,CLEARWATER,33764
Pinellas Park PD,4/8/2018,02:00:00 PM,201800026188,05C,BURGLARY-VEHICLE,8400 Block of 60TH ST,PINELLAS PARK,null
