AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,10/9/2022,12:00:00PM,SO22-321538,PT,THEFT-PETIT,10700 Block of BAY ST NE ,PINELLAS SO,33702
Tarpon Springs PD,10/4/2022,11:00:00PM,TS22-28466,GT,THEFT-GRAND,1300 Block of GULFVIEW WOODS LN ,TARPON SPRINGS,34689
Sheriff,10/11/2022,09:30:00AM,SO22-323609,PTS,THEFT-SHOPLIFTING,1700 Block of MAIN ST ,DUNEDIN,34698
Sheriff,10/14/2022,03:00:00PM,SO22-327694,PTS,THEFT-SHOPLIFTING,3800 Block of TAMPA RD ,OLDSMAR,34677
Sheriff,10/14/2022,03:00:00PM,SO22-327622,BRGC,BURGLARY-VEHICLE,13600 Block of PARK BLVD N ,PINELLAS SO,33776
Clearwater PD,10/14/2022,11:45:00PM,CW22-148200,TAWN,TRESPASS,20500 Block of US HIGHWAY 19 N ,CLEARWATER,33759
Sheriff,9/30/2022,01:09:00PM,SO22-312026,PTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD ,SEMINOLE,33708
Sheriff,10/11/2022,08:00:00PM,SO22-323728,PT,THEFT-PETIT,3200 Block of HAVILAND CT ,PINELLAS SO,34684
Clearwater PD,10/11/2022,07:00:00PM,CW22-146575,BAT,BATTERY,2200 Block of GULF TO BAY BLVD ,CLEARWATER,33765
Sheriff,10/10/2022,06:00:00PM,SO22-323029,BRGC,BURGLARY-VEHICLE,9700 Block of 98TH ST N ,PINELLAS SO,33777
Sheriff,10/11/2022,09:43:00AM,SO22-323701,MPA,MISSING PERSON,700 Block of ROLLING HILLS DR ,PINELLAS SO,34683
Sheriff,10/13/2022,09:21:00PM,SO22-326745,GTA,STOLEN VEHICLE,1500 Block of S MISSOURI AVE ,PINELLAS SO,33756
Clearwater PD,10/11/2022,05:33:00AM,CW22-146264,TAWN,TRESPASS,500 Block of MANDALAY AVE ,CLEARWATER,33767
Sheriff,10/11/2022,07:31:00AM,SO22-323513,RSVO,STOLEN VEHICLE - REC,126TH ST N & 128TH AVE N,PINELLAS SO,33774
Sheriff,10/11/2022,07:00:00AM,SO22-323434,BAT,BATTERY,11100 Block of VALENCIA AVE ,SEMINOLE,33772
Sheriff,10/11/2022,02:20:00PM,SO22-324001,PTS,THEFT-SHOPLIFTING,30100 Block of US HIGHWAY 19 N ,PINELLAS SO,33761
Clearwater PD,10/11/2022,07:26:00PM,CW22-146579,TAWN,TRESPASS,600 Block of COURT ST ,CLEARWATER,33756
Clearwater PD,10/11/2022,01:00:00PM,CW22-146473,PT,THEFT-PETIT,2100 Block of GULF TO BAY BLVD ,CLEARWATER,33765
Sheriff,10/11/2022,07:44:00AM,SO22-323458,BAT,BATTERY,62ND ST N & 150TH AVE N,PINELLAS SO,33760
Sheriff,10/11/2022,01:00:00PM,SO22-324404,MPJU,MISSING PERSON,100 Block of E VIRGINIA LN ,PINELLAS SO,33759
