AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Largo PD,4/19/2018,11:00:00 AM,18004050,0690,THEFT-PETIT,1300 Block of MARKLEY DR,LARGO,33770
Sheriff,4/17/2018,09:00:00 AM,SO18-115181,PT,THEFT-PETIT,6000 Block of 49TH ST N,PINELLAS SO,33709
Gulfport PD,4/28/2018,02:00:00 PM,GP18-8478,TAWN,TRESPASS,5500 Block of SHORE BLVD S,GULFPORT,33707
Clearwater PD,4/16/2018,11:00:00 AM,CW18-57305,PT,THEFT-PETIT,1900 Block of BYRAM DR,CLEARWATER,33755
Pinellas Park PD,4/17/2018,04:40:00 AM,201800028902,05N,TRESPASS,3500 Block of ULMERTON RD,PINELLAS PARK,null
Clearwater PD,4/25/2018,02:45:00 PM,CW18-62084,GT,THEFT-GRAND,00 Block of CAUSEWAY BLVD,CLEARWATER,33767
Largo PD,4/24/2018,08:03:00 PM,18004233,0690,THEFT-PETIT,1700 Block of TALL PINES DR,LARGO,33771
Sheriff,4/19/2018,09:00:00 PM,SO18-117493,BRGC,BURGLARY-VEHICLE,4900 Block of LAMBRIDGE CT,PINELLAS SO,34685
Tarpon Springs PD,4/28/2018,02:00:00 PM,TS18-12034,GTA,STOLEN VEHICLE,42000 Block of US HIGHWAY 19 N,TARPON SPRINGS,34689
Sheriff,4/24/2018,09:03:00 AM,SO18-122788,AB,BATTERY-AGGRAVATED,12500 Block of ENTERPRISE BLVD,PINELLAS SO,33773
Largo PD,4/29/2018,10:00:00 AM,18004426,0690,THEFT-PETIT,400 Block of N MISSOURI AVE,LARGO,33770
Sheriff,4/29/2018,10:00:00 PM,SO18-128531,BRGC,BURGLARY-VEHICLE,11800 Block of 84TH WAY N,PINELLAS SO,33773
Sheriff,4/19/2018,Unknown,SO18-117625,BAT,BATTERY,4900 Block of 62ND ST N,PINELLAS SO,33709
Sheriff,4/29/2018,02:59:00 PM,SO18-129162,TAWN,TRESPASS,6200 Block of GULF BLVD,ST PETE BEACH,33706
Sheriff,4/21/2018,06:48:00 PM,SO18-120047,AOL,ASSAULT,6500 Block of 38TH AVE N,ST PETERSBURG,33710
Clearwater PD,4/15/2018,10:00:00 AM,CW18-56425,BAT,BATTERY,2100 Block of GULF TO BAY BLVD,CLEARWATER,33765
Largo PD,4/27/2018,07:05:00 AM,18004341,0640,THEFT-PETIT,13000 Block of 125TH AVE N,LARGO,33774
Sheriff,4/16/2018,12:30:00 AM,SO18-113751,BRGC,BURGLARY-VEHICLE,8800 Block of FLAME VINE AVE,PINELLAS SO,33777
Sheriff,4/20/2018,08:00:00 PM,SO18-118513,PT,THEFT-PETIT,9000 Block of STARKEY RD,PINELLAS SO,33777
Sheriff,4/24/2018,Unknown,SO18-122850,BAT,BATTERY,10700 Block of ULMERTON RD,PINELLAS SO,34685
Sheriff,4/19/2018,10:44:00 PM,SO18-118229,AL,ALARM,200 Block of 10TH AVE N,SAFETY HARBOR,34695
Sheriff,4/16/2018,04:00:00 PM,SO18-113798,PT,THEFT-PETIT,29100 Block of US HIGHWAY 19 N,PINELLAS SO,33761
Sheriff,4/20/2018,05:21:00 AM,SO18-118491,TW,TRESPASS,4600 Block of 66TH ST N,KENNETH CITY,33709
Largo PD,4/16/2018,Unknown,18003890,0810,ASSAULT,null,LARGO,33771
Largo PD,4/17/2018,Unknown,18003956,0690,THEFT-PETIT,null,CLEARWATER,33771
Largo PD,4/15/2018,Unknown,18003842,0640,THEFT-PETIT,null,CLEARWATER,33756
Sheriff,4/16/2018,12:00:00 PM,SO18-114097,PT,THEFT-PETIT,6000 Block of 49TH ST N,PINELLAS SO,33709
Sheriff,4/29/2018,02:00:00 PM,SO18-129354,PT,THEFT-PETIT,7800 Block of 42ND AVE N,PINELLAS SO,33709
Clearwater PD,4/26/2018,08:40:00 PM,CW18-62873,MPJ,MISSING PERSON,1400 Block of PARK ST,CLEARWATER,33755
Largo PD,4/19/2018,06:00:00 PM,18004042,0640,THEFT-PETIT,12700 Block of INDIAN ROCKS RD,LARGO,33774
Clearwater PD,4/29/2018,11:00:00 AM,CW18-64284,GTC,THEFT-GRAND,1700 Block of TURNER ST,CLEARWATER,33756
Sheriff,4/16/2018,03:00:00 PM,SO18-114055,FTPC,THEFT-GRAND,10200 Block of BAY PINES BLVD,SEMINOLE,33708
Largo PD,4/23/2018,10:30:00 AM,18004167,0810,ASSAULT,500 Block of CLEARWATER LARGO RD N,LARGO,33770
Clearwater PD,4/18/2018,08:00:00 PM,CW18-58155,PT,THEFT-PETIT,2600 Block of DREW ST,CLEARWATER,33759
Sheriff,4/28/2018,12:12:00 AM,SO18-127349,BRGC,BURGLARY-VEHICLE,1600 Block of OTTAWA RD,PINELLAS SO,33756
Largo PD,4/19/2018,11:00:00 AM,18004040,0690,THEFT-PETIT,12700 Block of INDIAN ROCKS RD,LARGO,33774
Clearwater PD,4/24/2018,01:40:00 AM,CW18-61303,ROBA,ROBBERY-ARMED,1500 Block of S WASHINGTON AVE,CLEARWATER,33756
Sheriff,4/15/2018,06:00:00 AM,SO18-112999,BRGC,BURGLARY-VEHICLE,11400 Block of 110TH TERR N,PINELLAS SO,33778
Sheriff,4/28/2018,03:00:00 AM,SO18-127811,BRGC,BURGLARY-VEHICLE,11100 Block of 65TH TERR N,PINELLAS SO,33772
Largo PD,4/27/2018,07:00:00 PM,18004347,0640,THEFT-PETIT,12500 Block of 115TH ST N,LARGO,33770
Clearwater PD,4/18/2018,08:32:00 PM,CW18-58294,GTS,THEFT-SHOPLIFTING,27000 Block of US HIGHWAY 19 N,CLEARWATER,33761
Clearwater PD,4/19/2018,10:00:00 PM,CW18-58635,BRGC,BURGLARY-VEHICLE,200 Block of SKIFF PT,CLEARWATER,33767
Sheriff,4/21/2018,07:30:00 AM,SO18-119668,PT,THEFT-PETIT,6000 Block of 49TH ST N,PINELLAS SO,33709
Largo PD,4/23/2018,02:25:00 PM,18004177,0690,THEFT-PETIT,300 Block of CENTRAL PARK DR,LARGO,33771
Clearwater PD,4/28/2018,07:29:00 PM,CW18-63947,TAWN,TRESPASS,1300 Block of CLEVELAND ST,CLEARWATER,33755
Sheriff,4/16/2018,04:30:00 PM,SO18-113572,BRGC,BURGLARY-VEHICLE,10400 Block of 64TH AVE N,SEMINOLE,33772
Sheriff,4/27/2018,01:00:00 AM,SO18-126419,GTA,STOLEN VEHICLE,2500 Block of CYPRUS DR,PINELLAS SO,34684
Clearwater PD,4/27/2018,08:58:00 PM,CW18-63453,LSAP,TRAFFIC ACCIDENT,FIFTH ST & S GULFVIEW BLVD,CLEARWATER,33767
Largo PD,4/26/2018,12:25:00 AM,18004290,0810,ASSAULT,5100 Block of EAST BAY DR,CLEARWATER,33770
Sheriff,4/26/2018,12:01:00 AM,SO18-125832,PT,THEFT-PETIT,37300 Block of US HIGHWAY 19 N,PINELLAS SO,34684
Largo PD,4/15/2018,Unknown,18003982,0680,THEFT-PETIT,null,CLEARWATER,33770
Sheriff,4/25/2018,05:45:00 PM,SO18-124507,PTS,THEFT-SHOPLIFTING,8000 Block of US HIGHWAY 19 N,PINELLAS PARK,33781
PCPO,4/26/2018,09:51:00 AM,PS18-3210,PT,THEFT-PETIT,8500 Block of 66TH ST N,PINELLAS PARK,33781
Treasure Island PD,4/15/2018,06:15:00 PM,TI18-6609,GT,THEFT-GRAND,9800 Block of GULF BLVD,TREASURE ISLAND,33706
Sheriff,4/18/2018,04:00:00 PM,SO18-116857,GT,THEFT-GRAND,9500 Block of BLIND PASS RD,ST PETE BEACH,33706
Largo PD,4/27/2018,Unknown,18004361,0690,THEFT-PETIT,null,LARGO,33770
Largo PD,4/27/2018,Unknown,18004362,0640,THEFT-PETIT,null,LARGO,33771
Largo PD,4/26/2018,Unknown,18004329,0640,THEFT-PETIT,null,CLEARWATER,33770
Clearwater PD,4/21/2018,04:02:00 PM,CW18-59916,PT,THEFT-PETIT,600 Block of MANDALAY AVE,CLEARWATER,33767
Clearwater PD,4/29/2018,12:00:00 AM,CW18-64360,GTH,THEFT-GRAND,1900 Block of SUNSET POINT RD,CLEARWATER,33765
Sheriff,4/29/2018,08:00:00 AM,SO18-128753,PT,THEFT-PETIT,9900 Block of ULMERTON RD,PINELLAS SO,33771
Sheriff,4/23/2018,03:00:00 PM,SO18-121938,BRGC,BURGLARY-VEHICLE,8600 Block of ORANGE BLOSSOM DR,PINELLAS SO,33772
Clearwater PD,4/18/2018,02:00:00 PM,CW18-58112,PT,THEFT-PETIT,1400 Block of S BELCHER RD,CLEARWATER,33764
Sheriff,4/23/2018,06:52:00 PM,SO18-122354,PT,THEFT-PETIT,2600 Block of ALT 19,DUNEDIN,34698
Sheriff,4/15/2018,09:00:00 PM,SO18-112389,BRGC,BURGLARY-VEHICLE,5600 Block of LIME WAY,SEMINOLE,33772
Sheriff,4/26/2018,03:00:00 PM,SO18-125724,BRGC,BURGLARY-VEHICLE,12800 Block of VILLAGE BLVD,MADEIRA BEACH,33708
Sheriff,4/25/2018,07:00:00 PM,SO18-123886,PT,THEFT-PETIT,12400 Block of 66TH ST N,PINELLAS SO,33773
Sheriff,4/17/2018,07:59:00 PM,SO18-115586,GT,THEFT-GRAND,14800 Block of 49TH ST N,PINELLAS SO,33762
Sheriff,4/28/2018,06:00:00 PM,SO18-128080,PTS,THEFT-SHOPLIFTING,1000 Block of PASADENA AVE S,SOUTH PASADENA,33707
Largo PD,4/24/2018,08:56:00 AM,18004204,0640,THEFT-PETIT,3300 Block of WHISPERING DR N,LARGO,33771
Sheriff,4/24/2018,07:07:00 AM,SO18-122699,RSVO,STOLEN VEHICLE - REC,RIDGE RD SW & 16TH AVE SW,LARGO,null
Sheriff,4/22/2018,12:00:00 AM,SO18-120901,PTS,THEFT-SHOPLIFTING,1400 Block of MAIN ST,DUNEDIN,34698
Sheriff,4/20/2018,05:00:00 PM,SO18-119008,PT,THEFT-PETIT,11900 Block of STARKEY RD,PINELLAS SO,33773
Sheriff,4/19/2018,07:37:00 PM,SO18-118024,BAT,BATTERY,2500 Block of 62ND AVE N,PINELLAS SO,33702
Clearwater PD,4/19/2018,12:00:00 AM,CW18-58748,GT,THEFT-GRAND,2600 Block of GULF TO BAY BLVD,CLEARWATER,33759
Sheriff,4/26/2018,10:15:00 AM,SO18-125230,PT,THEFT-PETIT,6100 Block of GULFPORT BLVD S,PINELLAS SO,33707
Sheriff,4/22/2018,09:00:00 PM,SO18-121313,PT,THEFT-PETIT,400 Block of SKINNER BLVD,DUNEDIN,34698
Sheriff,4/28/2018,04:25:00 PM,SO18-128034,GT,THEFT-GRAND,5200 Block of GULF BLVD,ST PETE BEACH,33706
Sheriff,4/19/2018,11:30:00 AM,SO18-117804,GT,THEFT-GRAND,10500 Block of ULMERTON RD,LARGO,33771
Sheriff,4/23/2018,11:09:00 AM,SO18-122721,PT,THEFT-PETIT,4900 Block of 62ND ST N,PINELLAS SO,33709
Sheriff,4/25/2018,04:00:00 PM,SO18-124575,BRC,BURGLARY-RESIDENCE,10500 Block of 117TH WAY N,SEMINOLE,33778
Sheriff,4/24/2018,03:57:00 PM,SO18-123190,BAT,BATTERY,1900 Block of ALLARD DR,PINELLAS SO,33763
Sheriff,4/17/2018,02:30:00 AM,SO18-114848,BRGC,BURGLARY-VEHICLE,2400 Block of OAKBEND DR,PINELLAS SO,34683
Sheriff,4/20/2018,09:19:00 AM,SO18-118632,TAWN,TRESPASS,3800 Block of 54TH AVE N,PINELLAS SO,33714
Clearwater PD,4/28/2018,03:48:00 PM,CW18-63882,GTTB,THEFT-GRAND,26200 Block of US HIGHWAY 19 N,CLEARWATER,33761
Sheriff,4/24/2018,11:38:00 AM,SO18-122932,GT,THEFT-GRAND,13800 Block of BARBADOS DR (MERGE),PINELLAS SO,33776
Sheriff,4/25/2018,12:00:00 AM,SO18-124115,GT,THEFT-GRAND,5100 Block of 68TH WAY N,PINELLAS SO,33709
Sheriff,4/19/2018,09:28:00 AM,SO18-117458,BOSP,BATTERY,6900 Block of 70TH AVE N,PINELLAS SO,33781
Sheriff,4/22/2018,12:00:00 AM,SO18-121297,GT,THEFT-GRAND,10200 Block of BAY PINES BLVD,SEMINOLE,33708
Pinellas Park PD,4/19/2018,03:00:00 PM,201800029546,05C,BURGLARY-VEHICLE,7500 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Largo PD,4/19/2018,11:30:00 PM,18004059,0110,HOMICIDE,16300 Block of BOLESTA RD,CLEARWATER,33760
Sheriff,4/23/2018,06:00:00 PM,SO18-121600,BRGC,BURGLARY-VEHICLE,13100 Block of DORCHESTER DR,PINELLAS SO,33776
Pinellas Park PD,4/27/2018,02:10:00 PM,201800031667,05C,BURGLARY-VEHICLE,6600 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Clearwater PD,4/24/2018,06:15:00 PM,CW18-61653,PTS,THEFT-SHOPLIFTING,27000 Block of US HIGHWAY 19 N,CLEARWATER,33761
Largo PD,4/16/2018,12:17:00 PM,18003893,0690,THEFT-PETIT,1300 Block of S BELCHER RD,LARGO,33771
Sheriff,4/21/2018,01:00:00 AM,SO18-119825,GTA,STOLEN VEHICLE,4800 Block of 34TH ST N,PINELLAS SO,33714
Largo PD,4/23/2018,07:30:00 PM,18004162,0710,STOLEN VEHICLE,1700 Block of CLEARWATER LARGO RD N,CLEARWATER,33756
Pinellas Park PD,4/18/2018,09:30:00 AM,201800029195,08B,BATTERY,11200 Block of 58TH ST,PINELLAS PARK,null
Clearwater PD,4/28/2018,01:00:00 PM,CW18-63783,PTS,THEFT-SHOPLIFTING,300 Block of S GULFVIEW BLVD,CLEARWATER,33767
Clearwater PD,4/15/2018,10:43:00 AM,CW18-56484,GTS,THEFT-SHOPLIFTING,26900 Block of US HIGHWAY 19 N,CLEARWATER,33761
Sheriff,4/15/2018,06:00:00 PM,SO18-113098,GT,THEFT-GRAND,10400 Block of 114TH TERR N,PINELLAS SO,33773
Sheriff,4/19/2018,01:00:00 PM,SO18-118107,PT,THEFT-PETIT,3000 Block of PINELLAS BAYWAY,PINELLAS SO,33715
Gulfport PD,4/16/2018,10:15:00 AM,GP18-7613,BAT,BATTERY,900 Block of 58TH ST S,GULFPORT,33707
Largo PD,4/26/2018,07:10:00 PM,18004324,0630,THEFT-SHOPLIFTING,2600 Block of ROOSEVELT BLVD,CLEARWATER,33760
Sheriff,4/23/2018,07:00:00 AM,SO18-121931,GTA,STOLEN VEHICLE,10500 Block of PARK BLVD N,SEMINOLE,33772
PCPO,4/19/2018,01:38:00 PM,PS18-2997,GTA,STOLEN VEHICLE,8500 Block of 66TH ST N,PINELLAS PARK,33781
Sheriff,4/18/2018,12:00:00 AM,SO18-116707,RSVO,STOLEN VEHICLE - REC,6400 Block of 146TH AVE N,PINELLAS SO,33760
Sheriff,4/16/2018,10:00:00 AM,SO18-114025,BRC,BURGLARY-RESIDENCE,13000 Block of BOCA CIEGA AVE,MADEIRA BEACH,33708
Largo PD,4/27/2018,09:00:00 PM,18004358,0640,THEFT-PETIT,13000 Block of 125TH AVE N,LARGO,337
Sheriff,4/29/2018,04:00:00 PM,SO18-128623,BSNB,BURGLARY-BUSINESS,5500 Block of 64TH WAY N,PINELLAS SO,33709
Largo PD,4/27/2018,09:00:00 AM,18004345,0680,THEFT-PETIT,1400 Block of N MISSOURI AVE,LARGO,3770
Largo PD,4/19/2018,Unknown,18004059,0110,HOMICIDE,null,CLEARWATER,33760
Largo PD,4/18/2018,Unknown,18003997,0810,ASSAULT,null,LARGO,33771
Largo PD,4/26/2018,Unknown,18004315,0690,THEFT-PETIT,null,LARGO,33770
Largo PD,4/16/2018,02:30:00 AM,18003880,0810,ASSAULT,1200 Block of EAST BAY DR,LARGO,33770
Largo PD,4/27/2018,12:21:00 PM,18004356,0640,THEFT-PETIT,13000 Block of 125TH AVE N,LARGO,33774
Largo PD,4/15/2018,03:00:00 AM,18003856,0680,THEFT-PETIT,1700 Block of CLEARWATER LARGO RD N,CLEARWATER,33770
Largo PD,4/15/2018,Unknown,18003877,0810,ASSAULT,null,CLEARWATER,33756
Largo PD,4/18/2018,Unknown,18003989,0690,THEFT-PETIT,null,CLEARWATER,33764
Largo PD,4/24/2018,Unknown,18004213,0690,THEFT-PETIT,null,LARGO,33771
Clearwater PD,4/16/2018,03:55:00 PM,CW18-57277,GTTB,THEFT-GRAND,2500 Block of MCMULLEN BOOTH RD,CLEARWATER,33761
Sheriff,4/17/2018,12:00:00 AM,SO18-114884,BRGS,BURGLARY-STRUCTURE,300 Block of MUNICIPAL DR,MADEIRA BEACH,33708
Sheriff,4/18/2018,02:01:00 PM,SO18-116575&,RSVO,STOLEN VEHICLE - REC,3100 Block of GRAND AVE,PINELLAS PARK,33782
Clearwater PD,4/24/2018,08:59:00 PM,CW18-61706,AB,BATTERY-AGGRAVATED,1400 Block of HAMLET AVE,CLEARWATER,33756
Sheriff,4/18/2018,04:00:00 PM,SO18-116777,BRGC,BURGLARY-VEHICLE,9300 Block of 117TH AVE N,PINELLAS SO,33773
Largo PD,4/24/2018,08:24:00 PM,18004232,0810,ASSAULT,1700 Block of CANTERBURY LN,LARGO,33770
Sheriff,4/16/2018,05:00:00 PM,SO18-113940,GT,THEFT-GRAND,200 Block of ELMWOOD CIR,SEMINOLE,33777
PCPO,4/19/2018,04:04:00 PM,PS18-3003,BAT,BATTERY,1800 Block of TAMPA RD,PINELLAS SO,34683
Clearwater PD,4/24/2018,01:45:00 PM,CW18-61643,BRGR,BURGLARY-RESIDENCE,3200 Block of SAN MATEO ST,CLEARWATER,33759
Clearwater PD,4/25/2018,01:33:00 AM,CW18-61825,BRGC,BURGLARY-VEHICLE,1800 Block of FEATHER TREE CIR,CLEARWATER,33765
PCPO,4/18/2018,10:51:00 AM,PS18-2924,ASP,ASSAULT,8500 Block of 66TH ST N,PINELLAS PARK,33781
Largo PD,4/19/2018,Unknown,18004036,4010,TRAFFIC ACCIDENT,null,CLEARWATER,33760
Sheriff,4/21/2018,09:26:00 PM,SO18-119790,BRGC,BURGLARY-VEHICLE,6900 Block of DALKEITH AVE N,PINELLAS SO,33709
Sheriff,4/23/2018,12:00:00 AM,SO18-121689,BRC,BURGLARY-RESIDENCE,2400 Block of N KEENE RD,DUNEDIN,34698
Sheriff,4/21/2018,08:00:00 PM,SO18-120126,PT,THEFT-PETIT,7400 Block of GULF BLVD,ST PETE BEACH,null
Sheriff,4/15/2018,12:00:00 AM,SO18-113128,MPA,MISSING PERSON,2800 Block of 54TH AVE N,PINELLAS SO,33714
