AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,2/3/2019,08:59:00 PM,SO19-37179,GT,THEFT-GRAND,6200 Block of 2ND ST E,ST PETE BEACH,33706
Clearwater PD,2/3/2019,02:00:00 PM,CW19-18925,BRGC,BURGLARY-VEHICLE,1800 Block of GULF TO BAY BLVD,CLEARWATER,33765
PCPO,2/12/2019,03:30:00 PM,PS19-815,GT,THEFT-GRAND,1800 Block of TAMPA RD,PINELLAS SO,34683
Sheriff,2/11/2019,09:00:00 PM,SO19-45102,BRGB,BURGLARY-BUSINESS,2500 Block of 54TH AVE N,PINELLAS SO,33714
Sheriff,2/14/2019,08:55:00 PM,SO19-49413,BRGR,BURGLARY-RESIDENCE,2400 Block of FINLANDIA LN,PINELLAS SO,33763
Clearwater PD,2/4/2019,11:00:00 PM,CW19-19412,GT,THEFT-GRAND,600 Block of SALLY LN,CLEARWATER,33756
Clearwater PD,2/9/2019,06:46:00 AM,CW19-22496,BRGC,BURGLARY-VEHICLE,1300 Block of PARK ST,CLEARWATER,33756
Treasure Island PD,2/7/2019,11:00:00 AM,TI19-2034,GTA,STOLEN VEHICLE,11100 Block of GULF BLVD,TREASURE ISLAND,33706
Sheriff,2/10/2019,01:21:00 PM,SO19-44327,PT,THEFT-PETIT,300 Block of DOUGLAS AVE,DUNEDIN,34698
Sheriff,2/13/2019,12:05:00 PM,SO19-47700,CCF,WEAPON,142ND AVE N & S BELCHER RD,LARGO,33771
Sheriff,2/4/2019,06:58:00 PM,SO19-38113,BRGC,BURGLARY-VEHICLE,8400 Block of JACARANDA AVE,PINELLAS SO,33777
Tarpon Springs PD,2/3/2019,08:00:00 PM,TS19-3005,GTA,STOLEN VEHICLE,100 Block of W CEDAR ST,TARPON SPRINGS,34689
Sheriff,2/2/2019,01:01:00 AM,SO19-35368,FBPC,BATTERY,4400 Block of 42ND AVE N,PINELLAS SO,33714
Sheriff,2/2/2019,08:00:00 PM,SO19-35817,BRGC,BURGLARY-VEHICLE,2200 Block of GRANGER DR,PINELLAS SO,33765
Sheriff,2/12/2019,02:17:00 AM,SO19-46066,ARS,ARSON,2500 Block of 55TH AVE N,PINELLAS SO,33714
Kenneth City PD,2/12/2019,Unknown,KC19-9518,B65,BATTERY ,6300 Block of 46TH AVE N,KENNETH CITY,33709
Sheriff,1/31/2019,07:19:00 PM,SO19-34025,ROBA,ROBBERY-ARMED,2500 Block of 54TH AVE N,PINELLAS SO,33714
Sheriff,2/11/2019,12:00:00 AM,SO19-45505,GTR,THEFT-GRAND,600 Block of TURNBERRY CT,PINELLAS SO,34688
Clearwater PD,2/9/2019,03:33:00 PM,CW19-22640,BAT,BATTERY,2600 Block of MCMULLEN BOOTH RD,CLEARWATER,33761
Sheriff,2/10/2019,12:30:00 PM,SO19-44361,BRGR,BURGLARY-RESIDENCE,16400 Block of US HIGHWAY 19 N,LARGO,33764
Sheriff,2/3/2019,07:45:00 PM,SO19-37133,PFF,WEAPON,2500 Block of HIGHLAND ACRES DR,PINELLAS SO,33761
Sheriff,2/12/2019,07:00:00 PM,SO19-46276,GTA,STOLEN VEHICLE,4800 Block of 66TH ST N,PINELLAS SO,33709
Sheriff,2/7/2019,08:00:00 AM,SO19-41354,BRGS,BURGLARY-STRUCTURE,31100 Block of US HIGHWAY 19 N,PINELLAS SO,34684
Sheriff,2/10/2019,03:14:00 PM,SO19-44452,RFF,WEAPON,9900 Block of ULMERTON RD,PINELLAS SO,33771
Pinellas Park PD,2/2/2019,10:45:00 AM,201900010306,06A,THEFT-GRAND,6900 Block of 84TH AVE,PINELLAS PARK,null
Clearwater PD,2/6/2019,06:50:00 PM,CW19-20663,MPA,MISSING PERSON,1000 Block of N FT HARRISON AVE,CLEARWATER,33755
Sheriff,2/8/2019,08:00:00 AM,SO19-42581,GT,THEFT-GRAND,100 Block of ALT 19-PH,PINELLAS SO,34683
Clearwater PD,2/1/2019,05:45:00 PM,CW19-18048,GTS,THEFT-SHOPLIFTING,2700 Block of GULF TO BAY BLVD,CLEARWATER,33759
Pinellas Park PD,2/6/2019,08:17:00 PM,201980000013,06A,THEFT-GRAND,7100 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Clearwater PD,2/3/2019,11:30:00 PM,CW19-18509,PT,THEFT-PETIT,200 Block of FAIRWOOD AVE,CLEARWATER,33759
Sheriff,2/8/2019,01:40:00 PM,SO19-42436,RSS,ROBBERY-UNARMED,12100 Block of PARK BLVD N,PINELLAS SO,33772
Sheriff,1/31/2019,12:00:00 AM,SO19-33453,GT,THEFT-GRAND,400 Block of HARBOR DR N,INDIAN ROCKS BEACH,33785
Clearwater PD,2/1/2019,08:00:00 PM,CW19-18882,GT,THEFT-GRAND,1200 Block of S MISSOURI AVE,CLEARWATER,33756
Clearwater PD,2/14/2019,06:30:00 PM,CW19-25650,MPJ,MISSING PERSON,100 Block of N MARTIN LUTHER KING JR AVE,CLEARWATER,33755
Treasure Island PD,2/14/2019,09:00:00 AM,TI19-2704,PT,THEFT-PETIT,10000 Block of GULF BLVD,TREASURE ISLAND,33706
Sheriff,2/9/2019,03:30:00 PM,SO19-43389,BRGC,BURGLARY-VEHICLE,6300 Block of 104TH ST N,SEMINOLE,33772
Pinellas Park PD,2/1/2019,06:00:00 PM,201900010130,03D,ROBBERY-UNARMED,11700 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Sheriff,2/11/2019,06:00:00 AM,SO19-45680,BRGC,BURGLARY-VEHICLE,1100 Block of THAYER ST,SAFETY HARBOR,34695
Clearwater PD,1/31/2019,08:12:00 AM,CW19-17227,BAT,BATTERY,2500 Block of HARN BLVD,CLEARWATER,33764
Sheriff,2/5/2019,09:29:00 PM,SO19-39464,GT,THEFT-GRAND,1200 Block of PASADENA AVE S,SOUTH PASADENA,33707
Sheriff,1/31/2019,06:00:00 PM,SO19-34161,BRGC,BURGLARY-VEHICLE,31100 Block of US HIGHWAY 19 N,PINELLAS SO,34684
Tarpon Springs PD,2/13/2019,11:00:00 AM,TS19-3802,PT,THEFT-PETIT,38500 Block of US HIGHWAY 19 N,TARPON SPRINGS,34684
Clearwater PD,2/5/2019,06:08:00 PM,CW19-20280,BRGC,BURGLARY-VEHICLE,MCMULLEN BOOTH RD & STATE RD 580,PINELLAS SO,33761
Clearwater PD,2/13/2019,02:30:00 PM,CW19-24994,SBR,BATTERY-SEXUAL,1500 Block of LONG ST,CLEARWATER,33755
Sheriff,2/4/2019,12:00:00 AM,SO19-37543,PT,THEFT-PETIT,1300 Block of COLUMBIA AVE,PINELLAS SO,34683
Sheriff,2/6/2019,08:00:00 PM,SO19-40581,PT,THEFT-PETIT,10800 Block of STARKEY RD,PINELLAS SO,33777
Sheriff,2/14/2019,09:00:00 PM,SO19-48796,SBR,BATTERY-SEXUAL,46TH AVE N & 43RD ST N,PINELLAS SO,33714
Sheriff,2/3/2019,04:25:00 AM,SO19-36329,PT,THEFT-PETIT,10300 Block of GANDY BLVD,PINELLAS SO,33702
Clearwater PD,2/5/2019,10:10:00 PM,CW19-19974,PT,THEFT-PETIT,500 Block of PARK ST,CLEARWATER,33756
Clearwater PD,2/9/2019,08:35:00 PM,CW19-22749,MPJ,MISSING PERSON,700 Block of S KEENE RD,CLEARWATER,33756
Pinellas Park PD,2/4/2019,08:22:00 PM,201900011192,08B,BATTERY,7500 Block of 60TH WAY,PINELLAS PARK,null
Clearwater PD,2/2/2019,03:00:00 PM,CW19-18525,PT,THEFT-PETIT,00 Block of CAUSEWAY BLVD,CLEARWATER,33767
Pinellas Park PD,1/31/2019,05:01:00 PM,201900009853,06A,THEFT-GRAND,4900 Block of 95TH AVE,PINELLAS PARK,null
Pinellas Park PD,2/1/2019,12:56:00 PM,201900010121,05C,BURGLARY-VEHICLE,5500 Block of 82ND TERR,PINELLAS PARK,null
Sheriff,2/1/2019,03:00:00 AM,SO19-35122,GTA,STOLEN VEHICLE,2300 Block of LAKEWOOD DR,PINELLAS SO,34698
Clearwater PD,2/4/2019,04:00:00 AM,CW19-19281,BRGB,BURGLARY-BUSINESS,1000 Block of S MISSOURI AVE,CLEARWATER,33756
Sheriff,1/31/2019,07:00:00 PM,SO19-33422,GTA,STOLEN VEHICLE,800 Block of LOUDEN AVE,DUNEDIN,34698
Clearwater PD,2/1/2019,07:40:00 AM,CW19-17797,PT,THEFT-PETIT,400 Block of TURNER ST,CLEARWATER,33756
Sheriff,2/13/2019,10:58:00 AM,SO19-47866,BBD,BATTERY ,14400 Block of 49TH ST N,PINELLAS SO,33762
Clearwater PD,2/3/2019,12:00:00 AM,CW19-18996,A,ASSAULT,700 Block of DRUID RD,CLEARWATER,33756
Clearwater PD,2/7/2019,08:00:00 PM,CW19-21229,GTC,THEFT-GRAND,800 Block of BELLEAIR RD,CLEARWATER,33756
Sheriff,2/11/2019,07:30:00 AM,SO19-45083,GT,THEFT-GRAND,300 Block of 5TH AVE N,SAFETY HARBOR,34695
Sheriff,2/12/2019,06:35:00 AM,SO19-46136,FBPC,BATTERY,3700 Block of 141ST PL N,PINELLAS SO,33771
Sheriff,2/13/2019,08:00:00 PM,SO19-47725,MPA,MISSING PERSON,3000 Block of LANDMARK BLVD,PINELLAS SO,34684
Sheriff,2/4/2019,09:00:00 PM,SO19-38045,BRGC,BURGLARY-VEHICLE,3600 Block of PINE CONE CIR,PINELLAS SO,33760
Sheriff,2/11/2019,09:00:00 PM,SO19-44977,BRGC,BURGLARY-VEHICLE,1700 Block of VERDE DR,PINELLAS SO,33765
Clearwater PD,2/11/2019,03:23:00 PM,CW19-23749,GTS,THEFT-SHOPLIFTING,21400 Block of US HIGHWAY 19 N,CLEARWATER,33765
Sheriff,2/10/2019,04:40:00 AM,SO19-43883,PT,THEFT-PETIT,6000 Block of 49TH ST N,PINELLAS SO,33709
Sheriff,2/13/2019,03:49:00 PM,SO19-47903,PT,THEFT-PETIT,9300 Block of PARK BLVD N,SEMINOLE,33777
Kenneth City PD,2/12/2019,05:12:00 PM,KC19-9562,BAT,BATTERY,4200 Block of 66TH ST N,KENNETH CITY,33709
