AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Pinellas Park PD,7/16/2021,08:27:00 PM,201700056822,06B,THEFT-PETIT,8900 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Sheriff,7/17/2021,01:00:00AM,SO21-195887,BRGR,BURGLARY-RESIDENCE,2800 Block of RESNIK CIR W ,DUNEDIN,34683
Sheriff,7/17/2021,12:00:00AM,SO21-196189,GTA,STOLEN VEHICLE,1500 Block of S MISSOURI AVE ,PINELLAS SO,33756
Clearwater PD,7/17/2021,03:30:00PM,CW21-88389,MPJU,MISSING PERSON,600 Block of OAK AVE ,CLEARWATER,33756
Sheriff,7/17/2021,12:00:00AM,CW21-88351,GTA,STOLEN VEHICLE,,,
Clearwater PD,7/17/2021,01:40:00PM,CW21-88417,GT,THEFT-GRAND,1600 Block of GULF TO BAY BLVD ,CLEARWATER,33755
Treasure Island PD,7/19/2021,12:00:00PM,TI21-15824,PT,THEFT-PETIT,200 Block of 107TH AVE ,TREASURE ISLAND,33706
Tarpon Springs PD,7/18/2021,12:00:00AM,TS21-19417,PT,THEFT-PETIT,41200 Block of US HIGHWAY 19 N ,TARPON SPRINGS,34689
Sheriff,7/19/2021,12:10:00PM,SO21-198079,BRGC,BURGLARY-VEHICLE,2300 Block of LILAC DR ,PINELLAS SO,34683
Sheriff,7/18/2021,11:45:00AM,SO21-197363,GT,THEFT-GRAND,5200 Block of 28TH ST N ,PINELLAS SO,33714
Sheriff,7/19/2021,01:14:00AM,SO21-197876,PTS,THEFT-SHOPLIFTING,30300 Block of US HIGHWAY 19 N ,PINELLAS SO,33761
Sheriff,7/19/2021,09:30:00AM,SO21-198206,GT,THEFT-GRAND,3800 Block of TAMPA RD ,OLDSMAR,34677
Clearwater PD,7/21/2021,04:15:00PM,CW21-90215,DOF,WEAPON,800 Block of MANDALAY AVE ,CLEARWATER,33767
Sheriff,7/20/2021,11:29:00AM,SO21-199619,BRGS,BURGLARY-STRUCTURE,16200 Block of US HIGHWAY 19 N ,PINELLAS SO,33764
Clearwater PD,7/19/2021,11:15:00AM,CW21-89554,PT,THEFT-PETIT,2100 Block of DRUID RD E ,CLEARWATER,33764
Clearwater PD,7/20/2021,05:37:00PM,CW21-89793,PTTB,THEFT-PETIT,1900 Block of MCKINLEY ST ,CLEARWATER,33765
Sheriff,7/19/2021,04:00:00AM,SO21-198696,BRGC,BURGLARY-VEHICLE,200 Block of DUNCAN LOOP W ,DUNEDIN,34698
Sheriff,7/18/2021,12:00:00AM,SO21-199498,GT,THEFT-GRAND,1800 Block of 62ND AVE N ,PINELLAS SO,33702
Clearwater PD,7/21/2021,01:11:00PM,CW21-90179,GTTB,THEFT-GRAND,400 Block of CHESTNUT ST ,CLEARWATER,33756
Gulfport PD,7/21/2021,10:26:00AM,GP21-13437,BOL,BATTERY,2400 Block of 53RD ST S ,GULFPORT,33707
Sheriff,7/28/2021,02:42:00PM,SO21-208287,GTHN,THEFT-GRAND,1600 Block of CINNAMON LN ,DUNEDIN,34698
Sheriff,7/29/2021,01:17:00AM,SO21-208699,BAT,BATTERY,2300 Block of CURLEW RD ,PINELLAS SO,34683
Clearwater PD,7/21/2021,11:30:00AM,CW21-90331,GTA,STOLEN VEHICLE,2600 Block of GULF TO BAY BLVD ,CLEARWATER,33759
Clearwater PD,7/19/2021,06:00:00PM,CW21-89380,GT,THEFT-GRAND,CLEARWATER BEACH,CLEARWATER,34673
Sheriff,7/20/2021,06:09:00PM,SO21-199890,BAT,BATTERY,300 Block of SCOTT CT ,PINELLAS SO,34684
Clearwater PD,7/20/2021,02:40:00AM,CW21-89500,BRGC,BURGLARY-VEHICLE,2800 Block of GULF TO BAY BLVD ,CLEARWATER,33759
Clearwater PD,7/21/2021,06:00:00PM,CW21-90151,BRGS,BURGLARY-STRUCTURE,2300 Block of ALEXANDER CIR ,CLEARWATER,33763
Sheriff,7/18/2021,08:00:00AM,SO21-199502,GT,THEFT-GRAND,1800 Block of 62ND AVE N ,PINELLAS SO,33702
Sheriff,7/20/2021,12:00:00AM,SO21-199636,MPJE,MISSING PERSON,29200 Block of US HIGHWAY 19 N ,PINELLAS SO,33761
Clearwater PD,7/18/2021,12:20:00AM,SO21-196763,BRGC,BURGLARY-VEHICLE,1900 Block of HASTINGS DR ,CLEARWATER,33763
Sheriff,7/19/2021,07:15:00PM,SO21-198830,PT,THEFT-PETIT,8800 Block of PARK BLVD N ,SEMINOLE,33777
Sheriff,7/20/2021,09:43:00AM,SO21-199428,TAWN,TRESPASS,4300 Block of DUHME RD ,MADEIRA BEACH,33708
Tarpon Springs PD,7/20/2021,10:30:00AM,TS21-19582,PT,THEFT-PETIT,0 Block of W BOYER ST ,TARPON SPRINGS,34689
Sheriff,7/20/2021,09:11:00AM,SO21-199392,GTA,STOLEN VEHICLE,36500 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Clearwater PD,7/20/2021,01:40:00AM,CW21-89489,RSS,ROBBERY-UNARMED,500 Block of MANDALAY AVE ,CLEARWATER,33767
Sheriff,7/21/2021,07:00:00PM,SO21-200432,PT,THEFT-PETIT,4000 Block of 58TH AVE N ,PINELLAS SO,33714
Clearwater PD,7/21/2021,12:00:00AM,CW21-89932,BRGC,BURGLARY-VEHICLE,700 Block of LINCOLN AVE ,CLEARWATER,33756
Sheriff,7/21/2021,08:00:00AM,SO21-200674,PT,THEFT-PETIT,12900 Block of 82ND AVE N ,PINELLAS SO,33776
Clearwater PD,7/18/2021,02:25:00PM,CW21-88810,BAT,BATTERY,1100 Block of COURT ST ,CLEARWATER,33756
Treasure Island PD,7/24/2021,08:25:00PM,TI21-16028,TAWN,TRESPASS,10400 Block of GULF BLVD ,TREASURE ISLAND,33706
Clearwater PD,7/24/2021,05:00:00PM,CW21-91505,BRGC,BURGLARY-VEHICLE,200 Block of MIDWAY IS ,CLEARWATER,33767
Clearwater PD,7/24/2021,Unknown,CW21-91450,BRGC,BURGLARY-VEHICLE,0 Block of WINDWARD IS ,CLEARWATER,33767
