AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Tarpon Springs PD,9/14/2022,07:00:00AM,TS22-26079,BAT,BATTERY,1900 Block of N PINELLAS AVE ,TARPON SPRINGS,34689
Sheriff,9/14/2022,12:00:00AM,SO22-296355,PT,THEFT-PETIT,37300 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Sheriff,8/31/2022,Unknown,CW22-124185,WVO,WEAPON,,,
Sheriff,9/2/2022,10:40:00AM,SO22-281394,PT,THEFT-PETIT,10200 Block of BAY PINES BLVD ,SEMINOLE,33708
Sheriff,9/2/2022,03:54:00PM,SO22-281776,TSC,TRESPASS,7500 Block of 46TH AVE N ,PINELLAS SO,33709
Clearwater PD,9/13/2022,10:50:00AM,CW22-130978,PT,THEFT-PETIT,0 Block of S MISSOURI AVE ,CLEARWATER,33756
Gulfport PD,9/12/2022,11:30:00AM,GP22-15339,BRGS,BURGLARY-STRUCTURE,5600 Block of 12TH AVE S ,GULFPORT,33707
Gulfport PD,9/2/2022,03:30:00AM,GP22-14763,PTTB,THEFT-PETIT,1600 Block of 58TH ST S ,GULFPORT,33707
Sheriff,9/14/2022,09:52:00AM,SO22-295745,BAT,BATTERY,3800 Block of 62ND AVE N ,PINELLAS SO,33781
Clearwater PD,9/10/2022,12:00:00AM,CW22-129470,GTA,STOLEN VEHICLE,1700 Block of N WASHINGTON AVE ,CLEARWATER,33755
Clearwater PD,9/14/2022,12:00:00AM,CW22-131471,GTCN,THEFT-GRAND,1800 Block of FULLER DR ,CLEARWATER,33755
Tarpon Springs PD,9/13/2022,05:09:00PM,TS22-26051,GTS,THEFT-SHOPLIFTING,41800 Block of US HIGHWAY 19 N ,TARPON SPRINGS,34689
Sheriff,9/1/2022,08:38:00PM,SO22-280790,FBPC,BATTERY,7800 Block of 42ND AVE N ,PINELLAS SO,33709
Sheriff,9/1/2022,10:40:00AM,SO22-280217,GTCN,THEFT-GRAND,10200 Block of S LAKE DR ,PINELLAS SO,33773
Sheriff,9/2/2022,01:20:00AM,SO22-281037,RFF,WEAPON,PARK BLVD N & 74TH AVE N,SEMINOLE,33772
Sheriff,9/13/2022,10:00:00PM,SO22-295084,PT,THEFT-PETIT,42ND AVE N & 28TH ST N,PINELLAS SO,33714
Clearwater PD,9/14/2022,08:16:00PM,CW22-131705,TAWN,TRESPASS,600 Block of LAURA ST ,CLEARWATER,33755
Sheriff,9/14/2022,03:53:00PM,SO22-296212,RFF,WEAPON,14700 Block of TERMINAL BLVD ,PINELLAS SO,33762
Clearwater PD,9/13/2022,03:00:00PM,CW22-131393,PT,THEFT-PETIT,2200 Block of SPRINGFLOWER DR ,CLEARWATER,33763
Sheriff,9/13/2022,12:36:00PM,SO22-294931,BRGR,BURGLARY-RESIDENCE,500 Block of BAY ST ,DUNEDIN,34698
Clearwater PD,9/3/2022,11:00:00PM,cw22-125639,BRGC,BURGLARY-VEHICLE,1000 Block of N MARTIN LUTHER KING JR ,CLEARWATER,33755
Sheriff,9/2/2022,07:09:00PM,SO22-281923,RSVO,STOLEN VEHICLE - REC,4900 Block of ALT 19 ,PINELLAS SO,34683
Gulfport PD,9/1/2022,10:55:00PM,GP22-14745,BAT,BATTERY,1000 Block of FREEMONT ST S ,GULFPORT,33707
Sheriff,9/14/2022,02:40:00PM,SO22-296128,TAWN,TRESPASS,3700 Block of TAMPA RD ,OLDSMAR,34677
Clearwater PD,9/14/2022,09:00:00AM,CW22-131551,BRGC,BURGLARY-VEHICLE,200 Block of SEMINOLE ST. (SEMINOLE DOCKS) ,CLEARWATER,33756
Clearwater PD,9/14/2022,01:27:00PM,CW22-131533,PTS,THEFT-SHOPLIFTING,2400 Block of GULF TO BAY BLVD ,CLEARWATER,33765
Gulfport PD,9/4/2022,05:30:00PM,GP22-14892,BRGC,BURGLARY-VEHICLE,2300 Block of 59TH ST S ,GULFPORT,33707
Sheriff,9/3/2022,09:18:00PM,SO22-283253,MPJU,MISSING PERSON,10500 Block of VILLAGE DR ,SEMINOLE,33772
Clearwater PD,9/14/2022,Unknown,CW22-131700,BRGC,BURGLARY-VEHICLE,1600 Block of DRUID RD ,CLEARWATER,33756
Sheriff,9/4/2022,12:00:00AM,SO22-284090,BRGC,BURGLARY-VEHICLE,400 Block of LAFAYETTE BLVD ,OLDSMAR,34677
Sheriff,9/4/2022,06:30:00PM,SO22-283806,BRGC,BURGLARY-VEHICLE,900 Block of PARKWOOD DR ,DUNEDIN,34698
Gulfport PD,9/4/2022,07:25:00AM,GP22-14871,MPJU,MISSING PERSON,57TH ST S & 26TH AVE S,GULFPORT,33707
Sheriff,9/12/2022,11:07:00AM,SO22-293252,TOSG,TRESPASS,1600 Block of PINEHURST RD ,DUNEDIN,34698
Sheriff,9/13/2022,01:13:00AM,SO22-294105,IEF,WEAPON,5700 Block of 34TH ST N ,PINELLAS SO,33714
Sheriff,9/12/2022,09:00:00AM,SO22-293072,BAT,BATTERY,NEBRASKA AVE & US HIGHWAY 19 N,PINELLAS SO,34684
Sheriff,9/3/2022,05:00:00PM,SO22-283116,BRGR,BURGLARY-RESIDENCE,13600 Block of GULF BLVD ,MADEIRA BEACH,33708
Clearwater PD,9/4/2022,02:15:00PM,CW22-126173,GT,THEFT-GRAND,24200 Block of US HIGHWAY 19 N ,CLEARWATER,33763
Treasure Island PD,9/4/2022,12:10:00PM,TI22-17402,PTS,THEFT-SHOPLIFTING,10500 Block of GULF BLVD ,TREASURE ISLAND,33706
Sheriff,9/12/2022,09:45:00AM,SO22-293161,LSAP,TRAFFIC ACCIDENT,600 Block of TOM STUART CSWY ,MADEIRA BEACH,33708
Clearwater PD,9/5/2022,10:00:00PM,CW22-126751,ABCO,BURGLARY-VEHICLE,600 Block of OLD COACHMAN RD ,CLEARWATER,33765
Sheriff,9/3/2022,09:54:00PM,SO22-283260,PTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD ,SEMINOLE,33708
Clearwater PD,9/4/2022,11:34:00PM,CW22-126553,FB,BATTERY,0 Block of CAUSEWAY BLVD ,CLEARWATER,33767
Sheriff,9/3/2022,07:00:00AM,SO22-282728,SBR,BATTERY-SEXUAL,10600 Block of GANDY BLVD ,PINELLAS SO,33702
Clearwater PD,9/5/2022,09:00:00PM,CW22-126697,MPJU,MISSING PERSON,1500 Block of YOUNG AVE ,CLEARWATER,33756
Treasure Island PD,9/4/2022,12:00:00PM,TI22-17401,PT,THEFT-PETIT,12000 Block of GULF BLVD ,TREASURE ISLAND,33706
Sheriff,8/31/2022,03:30:00PM,SO22-279391,PT,THEFT-PETIT,12900 Block of VILLAGE BLVD ,MADEIRA BEACH,33708
Sheriff,9/4/2022,03:00:00AM,KC22-37059,RSVO,STOLEN VEHICLE - REC,,,
Sheriff,9/11/2022,05:40:00PM,SO22-292372,PTS,THEFT-SHOPLIFTING,7800 Block of 113TH ST N ,PINELLAS SO,33772
Sheriff,9/7/2022,12:00:00AM,SO22-287657,GTF,THEFT-GRAND,5000 Block of BRIDGEPORT DR ,SAFETY HARBOR,34695
Gulfport PD,9/4/2022,09:09:00PM,GP22-14920,PT,THEFT-PETIT,5100 Block of GULFPORT BLVD S ,GULFPORT,33707
Clearwater PD,9/5/2022,12:30:00PM,CW22-127030,BRGC,BURGLARY-VEHICLE,2100 Block of NURSERY RD ,CLEARWATER,33764
Sheriff,9/5/2022,03:00:00PM,SO22-284820,BRGS,BURGLARY-STRUCTURE,16300 Block of REDINGTON DR ,REDINGTON BEACH,33708
Sheriff,9/4/2022,05:55:00PM,SO22-283883,PTS,THEFT-SHOPLIFTING,7800 Block of 113TH ST N ,PINELLAS SO,33772
Sheriff,9/5/2022,01:47:00AM,SO22-284625,GTF,THEFT-GRAND,113TH ST N & 67TH AVE N,PINELLAS SO,33772
Sheriff,9/5/2022,12:00:00PM,SO22-285207,BRGS,BURGLARY-STRUCTURE,4000 Block of 24TH ST N ,ST PETERSBURG,33714
Sheriff,9/4/2022,01:00:00AM,SO22-284242,BAT,BATTERY,12300 Block of 66TH ST N ,PINELLAS SO,33773
Sheriff,9/5/2022,03:39:00PM,SO22-285425,PTS,THEFT-SHOPLIFTING,7800 Block of 113TH ST N ,PINELLAS SO,33772
Clearwater PD,9/5/2022,10:57:00PM,CW22-126717,PT,THEFT-PETIT,0 Block of ROCKAWAY ST ,CLEARWATER,33767
