AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Pinellas Park PD,3/19/2017,09:45:00 PM,201700021743,08B,BATTERY,10100 Block of 64TH WAY,PINELLAS PARK,null
Clearwater PD,3/25/2017,02:40:00 AM,CW17-42580,BAT,BATTERY,600 Block of S GULFVIEW BLVD,CLEARWATER,33767
Clearwater PD,3/20/2017,12:00:00 AM,CW17-40221,GT,THEFT-GRAND,2600 Block of ENTERPRISE RD E,CLEARWATER,33763
Sheriff,3/27/2017,04:02:00 PM,SO17-95266,PTS,THEFT-SHOPLIFTING,7700 Block of SEMINOLE BLVD,SEMINOLE,33772
Kenneth City PD,3/27/2017,10:50:00 PM,KC17-14474,TW,TRESPASS,4600 Block of 66TH ST N,KENNETH CITY,33709
Sheriff,3/26/2017,12:15:00 AM,SO17-93684,BRGB,BURGLARY-BUSINESS,4400 Block of ALT 19,PINELLAS SO,34683
Clearwater PD,3/29/2017,10:00:00 AM,CW17-45023,ABCO,BURGLARY-VEHICLE,23300 Block of US HIGHWAY 19 N,CLEARWATER,33765
Sheriff,3/16/2017,02:44:00 AM,SO17-83030,PT,THEFT-PETIT,47TH AVE N & 28TH ST N,PINELLAS SO,33714
Tarpon Springs PD,3/16/2017,02:09:00 PM,TS17-8477,PT,THEFT-PETIT,700 Block of MANGO CIR,TARPON SPRINGS,34689
Clearwater PD,3/25/2017,09:30:00 PM,CW17-43003,PT,THEFT-PETIT,1100 Block of BECKETT ST,CLEARWATER,33755
Sheriff,3/26/2017,08:04:00 PM,SO17-94433,PT,THEFT-PETIT,400 Block of CAUSEWAY BLVD,DUNEDIN,34698
Largo PD,3/29/2017,12:10:00 PM,17003197,0640,THEFT-PETIT,11400 Block of ULMERTON RD,LARGO,33770
Sheriff,3/26/2017,07:31:00 PM,SO17-94288,PTS,THEFT-SHOPLIFTING,900 Block of PATRICIA AVE,DUNEDIN,34698
Sheriff,3/26/2017,12:52:00 PM,SO17-93915,A,ASSAULT,5200 Block of 66TH ST N,PINELLAS SO,33709
Sheriff,3/15/2017,12:34:00 AM,SO17-81839,PT,THEFT-PETIT,14100 Block of FEATHER SOUND DR,PINELLAS SO,33762
Sheriff,3/18/2017,04:32:00 PM,SO17-85641,FBPC,BATTERY,5400 Block of 42ND ST N,PINELLAS SO,33714
Sheriff,3/30/2017,05:00:00 PM,SO17-98379,BRGC,BURGLARY-VEHICLE,14100 Block of 82ND AVE N,PINELLAS SO,33776
Largo PD,3/28/2017,01:58:00 PM,17003161,0630,THEFT-SHOPLIFTING,2600 Block of ROOSEVELT BLVD,CLEARWATER,33760
Sheriff,3/17/2017,12:07:00 AM,SO17-84000,BAT,BATTERY,3400 Block of E LAKE RD,PINELLAS SO,34685
Sheriff,3/30/2017,02:30:00 PM,SO17-98671,GT,THEFT-GRAND,9000 Block of FAIRWEATHER DR,PINELLAS SO,33773
Clearwater PD,3/30/2017,12:00:00 PM,CW17-45610,PT,THEFT-PETIT,900 Block of RICHARDS AVE,CLEARWATER,33755
Sheriff,3/24/2017,12:34:00 PM,SO17-91991,BRGC,BURGLARY-VEHICLE,3800 Block of BELLE VISTA DR E,ST PETE BEACH,33706
Pinellas Park PD,3/26/2017,04:30:00 PM,201700019150,05C,BURGLARY-VEHICLE,6800 Block of 99TH AVE,PINELLAS PARK,null
Sheriff,3/25/2017,11:35:00 PM,SO17-93356,LSWU,TRAFFIC ACCIDENT,1000 Block of BASS BLVD,DUNEDIN,34698
Clearwater PD,3/28/2017,05:30:00 AM,CW17-44362,PT,THEFT-PETIT,900 Block of TURNER ST,CLEARWATER,33756
Sheriff,3/24/2017,07:59:00 PM,SO17-92615,MPJ,MISSING PERSON,2000 Block of TROTTER RD,PINELLAS SO,33774
Sheriff,3/20/2017,11:10:00 AM,SO17-87513,BBD,BATTERY ,14400 Block of 49TH ST N,PINELLAS SO,33762
PCPO,3/29/2017,01:15:00 PM,PS17-2574,BAT,BATTERY,6700 Block of 86TH AVE N,PINELLAS PARK,33782
Sheriff,3/17/2017,01:30:00 AM,SO17-84639,BRGC,BURGLARY-VEHICLE,11100 Block of 143RD ST N,PINELLAS SO,33774
Sheriff,3/21/2017,09:30:00 PM,SO17-88749,GT,THEFT-GRAND,3800 Block of TAMPA RD,OLDSMAR,34677
Treasure Island PD,3/26/2017,05:00:00 PM,TI17-5080,BAT,BATTERY,00 Block of KEY CAPRI,TREASURE ISLAND,33706
Clearwater PD,3/29/2017,09:20:00 AM,CW17-44922,BAT,BATTERY,1300 Block of YOUNG AVE,CLEARWATER,33756
Clearwater PD,3/16/2017,12:00:00 AM,CW17-38021,BRC,BURGLARY-RESIDENCE,1200 Block of N SATURN AVE,CLEARWATER,33755
Sheriff,3/30/2017,11:00:00 PM,SO17-98485,BRGC,BURGLARY-VEHICLE,14100 Block of 82ND AVE N,PINELLAS SO,33776
Sheriff,3/15/2017,01:00:00 AM,SO17-82276,PT,THEFT-PETIT,6000 Block of GULF BLVD,ST PETE BEACH,33706
Clearwater PD,3/20/2017,06:23:00 AM,CW17-39926,PTS,THEFT-SHOPLIFTING,1800 Block of N HIGHLAND AVE,CLEARWATER,33755
Largo PD,3/28/2017,12:00:00 PM,17003156,0690,THEFT-PETIT,2900 Block of KEENE PARK DR,LARGO,33770
Clearwater PD,3/30/2017,12:58:00 PM,CW17-45711,PTTB,THEFT-PETIT,1800 Block of SPRINGTIME AVE,CLEARWATER,33755
Clearwater PD,3/27/2017,01:30:00 AM,CW17-43846,BRGB,BURGLARY-BUSINESS,1500 Block of S HIGHLAND AVE,CLEARWATER,33756
Sheriff,3/29/2017,08:49:00 PM,SO17-97834,BAT,BATTERY,8000 Block of BLIND PASS RD,ST PETE BEACH,33706
Sheriff,3/23/2017,02:51:00 PM,SO17-91030,PTS,THEFT-SHOPLIFTING,2500 Block of SR 580,PINELLAS SO,33761
Largo PD,3/18/2017,09:30:00 PM,17002797,0710,STOLEN VEHICLE,13200 Block of 111TH LN N,LARGO,33778
Sheriff,3/17/2017,09:00:00 AM,SO17-84128,BRGR,BURGLARY-RESIDENCE,6000 Block of 150TH AVE N,PINELLAS SO,33760
Largo PD,3/18/2017,04:29:00 PM,17002812,0690,THEFT-PETIT,10600 Block of ULMERTON RD,LARGO,33770
Largo PD,3/30/2017,05:00:00 PM,17003236,0690,THEFT-PETIT,8700 Block of ULMERTON RD,LARGO,33771
Sheriff,3/16/2017,06:53:00 PM,SO17-83708,PTS,THEFT-SHOPLIFTING,6800 Block of GULFPORT BLVD S,SOUTH PASADENA,33707
Clearwater PD,3/16/2017,01:15:00 PM,CW17-37738,PT,THEFT-PETIT,21700 Block of US HIGHWAY 19 N,CLEARWATER,33765
Largo PD,3/23/2017,10:15:00 AM,17002973,0660,THEFT-PETIT,4300 Block of EAST BAY DR,CLEARWATER,33771
Sheriff,3/26/2017,12:15:00 AM,SO17-93597,BRGB,BURGLARY-BUSINESS,4400 Block of ALT 19,PINELLAS SO,34683
Sheriff,3/21/2017,Unknown,SO17-88665,BRGC,BURGLARY-VEHICLE,4300 Block of FALLBROOK BLVD,PINELLAS SO,34685
Clearwater PD,3/16/2017,02:30:00 AM,CW17-37584,GTA,STOLEN VEHICLE,1500 Block of S MARTIN LUTHER KING JR AVE,CLEARWATER,33756
Largo PD,3/29/2017,02:00:00 PM,17003215,0640,THEFT-PETIT,300 Block of SEACREST DR,LARGO,33771
Sheriff,3/15/2017,05:50:00 PM,SO17-82656,GTAA,STOLEN VEHICLE,2500 Block of 52ND AVE N,PINELLAS SO,33714
Sheriff,3/19/2017,08:20:00 PM,SO17-86789,A,ASSAULT,14800 Block of 49TH ST N,PINELLAS SO,33762
Largo PD,3/26/2017,06:48:00 PM,17003098,0810,ASSAULT,1400 Block of WATER VIEW DR W,LARGO,33770
Sheriff,3/21/2017,04:20:00 AM,SO17-88413,BRC,BURGLARY-RESIDENCE,100 Block of PATRICIA AVE,DUNEDIN,34698
Pinellas Park PD,3/22/2017,09:00:00 PM,201700022516,05C,BURGLARY-VEHICLE,5100 Block of 89TH TERR,PINELLAS PARK,null
Sheriff,3/18/2017,09:15:00 AM,SO17-85361,LSWU,TRAFFIC ACCIDENT,13300 Block of WASHINGTON DR,PINELLAS SO,33774
Treasure Island PD,3/27/2017,07:10:00 PM,TI17-5123,LSWU,TRAFFIC ACCIDENT,9000 Block of W GULF BLVD,TREASURE ISLAND,33706
Tarpon Springs PD,3/17/2017,11:54:00 PM,TS17-8514,LSWU,TRAFFIC ACCIDENT,100 Block of N SPRING BLVD,TARPON SPRINGS,34689
Sheriff,3/29/2017,02:00:00 PM,SO17-97379,PT,THEFT-PETIT,300 Block of MAIN ST,DUNEDIN,34698
Clearwater PD,3/29/2017,10:40:00 AM,CW17-44960,PTS,THEFT-SHOPLIFTING,400 Block of MANDALAY AVE,CLEARWATER,33767
Sheriff,3/24/2017,03:14:00 PM,SO17-92132,BAT,BATTERY,5600 Block of 59TH ST N,PINELLAS SO,33709
Sheriff,3/28/2017,06:00:00 PM,SO17-96610,FBPC,BATTERY,5300 Block of 80TH ST N,PINELLAS SO,33709
Clearwater PD,3/22/2017,07:00:00 PM,CW17-41378,PT,THEFT-PETIT,1700 Block of HARBOR DR,CLEARWATER,33755
Sheriff,3/16/2017,12:01:00 AM,SO17-83259,GTA,STOLEN VEHICLE,3300 Block of ALT 19,PINELLAS SO,34698
Sheriff,3/30/2017,11:00:00 PM,SO17-98238,BRGC,BURGLARY-VEHICLE,14200 Block of 82ND AVE N,PINELLAS SO,33776
Clearwater PD,3/29/2017,12:00:00 PM,CW17-45120,ABCO,BURGLARY-VEHICLE,2000 Block of STRATHMILL DR,CLEARWATER,33755
Sheriff,3/27/2017,07:00:00 PM,SO17-94607,BRGC,BURGLARY-VEHICLE,200 Block of DUNCAN LOOP W,DUNEDIN,34698
Pinellas Park PD,3/16/2017,02:47:00 PM,201700020979,06A,THEFT-GRAND,7700 Block of 52ND ST,PINELLAS PARK,null
Sheriff,3/22/2017,02:50:00 PM,SO17-90249,GT,THEFT-GRAND,1900 Block of PEPPER TREE DR,OLDSMAR,34677
Sheriff,3/20/2017,07:37:00 AM,SO17-87141,GTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD,SEMINOLE,33708
Sheriff,3/30/2017,10:00:00 PM,SO17-98235,BRGR,BURGLARY-RESIDENCE,5600 Block of 28TH ST N,PINELLAS SO,33714
Sheriff,3/20/2017,06:00:00 PM,SO17-87895,BRGC,BURGLARY-VEHICLE,9000 Block of COMMODORE DR,PINELLAS SO,33776
Sheriff,3/19/2017,11:00:00 PM,SO17-86550,GTH,THEFT-GRAND,00 Block of TOM STUART CSWY,MADEIRA BEACH,33708
Tarpon Springs PD,3/21/2017,02:33:00 PM,TS17-9024,PT,THEFT-PETIT,400 Block of S HUEY AVE,TARPON SPRINGS,34689
Sheriff,3/27/2017,01:50:00 PM,SO17-95165,BAT,BATTERY,12000 Block of 132ND AVE N,PINELLAS SO,33778
Sheriff,3/19/2017,11:30:00 AM,SO17-86367,GT,THEFT-GRAND,5800 Block of 150TH AVE N,PINELLAS SO,33760
Sheriff,3/22/2017,10:00:00 AM,SO17-90034,MPA,MISSING PERSON,100 Block of CAMILLE CT,PINELLAS SO,34677
Sheriff,3/22/2017,11:45:00 AM,SO17-89726,BRGR,BURGLARY-RESIDENCE,8400 Block of 78TH TERR N,PINELLAS SO,33777
Sheriff,3/29/2017,11:16:00 AM,SO17-97313,PT,THEFT-PETIT,3100 Block of 44TH AVE N,PINELLAS SO,33714
Sheriff,3/17/2017,04:48:00 AM,SO17-84174,LSAP,TRAFFIC ACCIDENT,2600 Block of BAYSHORE BLVD,DUNEDIN,34698
Clearwater PD,3/18/2017,06:00:00 PM,CW17-38989,BRGR,BURGLARY-RESIDENCE,300 Block of AVANDA CT,CLEARWATER,33756
Sheriff,3/15/2017,12:58:00 AM,SO17-81853,BAT,BATTERY,7400 Block of PARK BLVD N,PINELLAS SO,33781
Sheriff,3/26/2017,08:30:00 PM,SO17-94074,ARS,ARSON,9100 Block of 79TH AVE N,SEMINOLE,33777
Sheriff,3/24/2017,04:30:00 PM,SO17-92372,GT,THEFT-GRAND,1400 Block of MAIN ST,DUNEDIN,34698
Sheriff,3/24/2017,05:00:00 PM,SO17-91829,BRGC,BURGLARY-VEHICLE,500 Block of GULF WAY,ST PETE BEACH,33706
Pinellas Park PD,3/29/2017,06:00:00 PM,201700024140,05C,BURGLARY-VEHICLE,3500 Block of ULMERTON RD,PINELLAS PARK,null
Gulfport PD,3/18/2017,03:00:00 PM,GP17-6256,BRGC,BURGLARY-VEHICLE,3000 Block of 59TH ST S,GULFPORT,33707
Sheriff,3/27/2017,12:00:00 PM,SO17-95391,PT,THEFT-PETIT,00 Block of LAKE SHORE DR,PINELLAS SO,34684
Clearwater PD,3/25/2017,07:30:00 AM,CW17-42631,BAT,BATTERY,1100 Block of WOODLAWN ST,CLEARWATER,33756
Treasure Island PD,3/15/2017,08:16:00 PM,TI17-4383,PT,THEFT-PETIT,100 Block of 106TH AVE,TREASURE ISLAND,33706
Pinellas Park PD,3/22/2017,05:11:00 PM,201700022530,06B,THEFT-PETIT,5800 Block of 62ND AVE,PINELLAS PARK,null
Largo PD,3/19/2017,08:00:00 AM,17002850,0710,STOLEN VEHICLE,2100 Block of STARKEY RD,PINELLAS COUNTY,33770
Gulfport PD,3/28/2017,07:51:00 PM,GP17-7103,PTS,THEFT-SHOPLIFTING,5700 Block of GULFPORT BLVD S,GULFPORT,33707
Sheriff,3/24/2017,03:00:00 AM,SO17-91642,BAT,BATTERY,00 Block of GANDY BLVD WEST OF TOWERS-WB,PINELLAS SO,33702
Sheriff,3/28/2017,06:30:00 PM,SO17-96363,PT,THEFT-PETIT,6700 Block of 50TH AVE N,PINELLAS SO,33709
Clearwater PD,3/18/2017,08:10:00 PM,CW17-39148,LSAP,TRAFFIC ACCIDENT,BERMUDA ST & N BETTY LN,CLEARWATER,33755
Sheriff,3/23/2017,04:30:00 AM,SO17-91225,BRGC,BURGLARY-VEHICLE,14800 Block of 63RD WAY N,PINELLAS SO,33760
Pinellas Park PD,3/28/2017,07:00:00 AM,201700023974,08B,BATTERY,8600 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Largo PD,3/19/2017,06:00:00 PM,17002852,0640,THEFT-PETIT,1200 Block of N MISSOURI AVE,LARGO,33770
Pinellas Park PD,3/22/2017,03:00:00 PM,201700022532,06B,THEFT-PETIT,5500 Block of 67TH AVE,PINELLAS PARK,null
Clearwater PD,3/15/2017,08:00:00 PM,CW17-37161,PT,THEFT-PETIT,1900 Block of CLEARVIEW LAKE DR,CLEARWATER,33755
Sheriff,3/25/2017,04:25:00 PM,SO17-93077,AL,ALARM,8400 Block of 131ST ST N,PINELLAS SO,33776
Clearwater PD,3/29/2017,08:56:00 AM,CW17-44906,TOSG,TRESPASS,100 Block of N BELCHER RD,CLEARWATER,33765
Clearwater PD,3/24/2017,10:00:00 PM,CW17-42091,BSNR,BURGLARY-RESIDENCE,500 Block of FAIRWOOD AVE,CLEARWATER,33759
Sheriff,3/22/2017,03:32:00 AM,SO17-89271,BRGC,BURGLARY-VEHICLE,14500 Block of APACHE AVE,PINELLAS SO,33774
Clearwater PD,3/21/2017,06:22:00 PM,CW17-40807,PT,THEFT-PETIT,400 Block of N BELCHER RD,CLEARWATER,33765
Largo PD,3/23/2017,11:30:00 AM,17002993,0640,THEFT-PETIT,10600 Block of ULMERTON RD,LARGO,33770
Sheriff,3/17/2017,10:00:00 PM,SO17-85015,BRGC,BURGLARY-VEHICLE,11200 Block of 142ND ST N,PINELLAS SO,33774
Sheriff,3/27/2017,05:00:00 PM,SO17-94620,BRGC,BURGLARY-VEHICLE,10300 Block of 66TH AVE N,SEMINOLE,33772
Pinellas Park PD,3/23/2017,10:00:00 PM,201700022666,05C,BURGLARY-VEHICLE,6000 Block of 94TH AVE,PINELLAS PARK,null
Largo PD,3/23/2017,10:20:00 AM,17002978,0640,THEFT-PETIT,1200 Block of N MISSOURI AVE,LARGO,33770
Clearwater PD,3/24/2017,03:00:00 PM,CW17-42426,PT,THEFT-PETIT,00 Block of CAUSEWAY BLVD,CLEARWATER,33767
Sheriff,3/29/2017,08:00:00 AM,SO17-97545,MPA,MISSING PERSON,3500 Block of OLD KEYSTONE RD,PINELLAS SO,34688
Sheriff,3/28/2017,06:11:00 PM,SO17-96586,BAT,BATTERY,4300 Block of PARK ST N,SEMINOLE,33709
Clearwater PD,3/17/2017,02:00:00 PM,CW17-38299,PTS,THEFT-SHOPLIFTING,27000 Block of US HIGHWAY 19 N,CLEARWATER,33761
Pinellas Park PD,3/16/2017,10:00:00 PM,201700020942,06B,THEFT-PETIT,8000 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Treasure Island PD,3/23/2017,09:34:00 PM,TI17-4855,BAT,BATTERY,8800 Block of W GULF BLVD,TREASURE ISLAND,33706
Largo PD,3/29/2017,09:44:00 AM,17003194,0690,THEFT-PETIT,1000 Block of PHYLLIS AVE,LARGO,33771
Sheriff,3/22/2017,12:00:00 PM,SO17-89694,BRGC,BURGLARY-VEHICLE,1900 Block of ARGILE DR,DUNEDIN,34698
Sheriff,3/21/2017,11:02:00 AM,SO17-88472,A,ASSAULT,3100 Block of HOMER ST,PINELLAS SO,33760
Largo PD,3/18/2017,11:45:00 PM,17002827,4010,TRAFFIC ACCIDENT,14000 Block of S BELCHER RD,LARGO,33770
Largo PD,3/24/2017,12:01:00 AM,17003024,0510,BURGLARY-STRUCTURE,1400 Block of S BELCHER RD,LARGO,33770
Sheriff,3/20/2017,10:00:00 AM,SO17-87547,PT,THEFT-PETIT,900 Block of FLORIDA AVE,PINELLAS SO,34683
Pinellas Park PD,3/22/2017,12:30:00 AM,201700022486,05C,BURGLARY-VEHICLE,5000 Block of 98TH AVE,PINELLAS PARK,null
Sheriff,3/24/2017,02:00:00 PM,SO17-91800,PT,THEFT-PETIT,100 Block of ALT 19,PINELLAS SO,34683
