AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,9/19/2019,09:13:00 PM,SO19-302946,A,ASSAULT,5600 Block of 28TH ST N,PINELLAS SO,33714
Tarpon Springs PD,9/15/2019,08:00:00 AM,TS19-22357,GT,THEFT-GRAND,300 Block of S PINELLAS AVE,TARPON SPRINGS,34689
Clearwater PD,9/18/2019,05:54:00 PM,CW19-143324,PT,THEFT-PETIT,2000 Block of GULF TO BAY BLVD,CLEARWATER,33765
Clearwater PD,9/16/2019,08:10:00 PM,CW19-142325,BAT,BATTERY,1900 Block of COLES RD,CLEARWATER,33755
Kenneth City PD,9/29/2019,08:27:00 AM,KC19-41681,LSAP,TRAFFIC ACCIDENT,66TH ST N & 46TH AVE N,KENNETH CITY,33709
Sheriff,9/23/2019,10:35:00 AM,SO19-307087,PFF,WEAPON,1700 Block of 45TH ST S,ST PETERSBURG,33711
Sheriff,9/19/2019,12:00:00 AM,SO19-302543,GTA,STOLEN VEHICLE,5300 Block of 34TH ST N,PINELLAS SO,33714
Pinellas Park PD,9/16/2019,01:45:00 PM,201900073547,08B,BATTERY,00 Block of 78TH AVE N,PINELLAS PARK,null
Sheriff,9/19/2019,03:34:00 PM,SO19-302642,BRGR,BURGLARY-RESIDENCE,3100 Block of 57TH AVE N,PINELLAS SO,33714
Pinellas Park PD,9/18/2019,12:01:00 AM,201900074105,08B,BATTERY,11000 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Clearwater PD,9/16/2019,08:50:00 PM,CW19-142341,SBF,BATTERY-SEXUAL,2700 Block of STATE RD 580,CLEARWATER,33761
Clearwater PD,9/27/2019,12:00:00 PM,CW19-148248,BRGS,BURGLARY-STRUCTURE,2700 Block of VIA CIPRIANI,CLEARWATER,33764
Clearwater PD,9/27/2019,10:00:00 PM,CW19-148160,GT,THEFT-GRAND,2500 Block of STAG RUN BLVD,CLEARWATER,33765
Sheriff,9/25/2019,03:03:00 PM,SO19-309991,BAT,BATTERY,5900 Block of 34TH ST N,PINELLAS SO,33714
Sheriff,9/28/2019,10:00:00 PM,SO19-313559,BRGC,BURGLARY-VEHICLE,11400 Block of PARK BLVD N,PINELLAS SO,33772
Sheriff,9/28/2019,12:44:00 AM,SO19-312913,RSVO,STOLEN VEHICLE - REC,2300 Block of CURLEW RD,PINELLAS SO,34683
Gulfport PD,9/15/2019,05:56:00 PM,GP19-20017,PTS,THEFT-SHOPLIFTING,5700 Block of GULFPORT BLVD S,GULFPORT,33707
Sheriff,9/25/2019,04:00:00 PM,SO19-310309,PT,THEFT-PETIT,3200 Block of MCMULLEN BOOTH RD,SAFETY HARBOR,33761
Sheriff,9/15/2019,09:00:00 AM,SO19-297278,BRGS,BURGLARY-STRUCTURE,800 Block of OLEANDER WAY S,SOUTH PASADENA,33707
Tarpon Springs PD,9/26/2019,06:00:00 PM,TS19-23298,BRGR,BURGLARY-RESIDENCE,300 Block of N GROSSE AVE,TARPON SPRINGS,34689
Clearwater PD,9/21/2019,03:15:00 PM,CW19-144877,BOL,BATTERY,2100 Block of NURSERY RD,CLEARWATER,33764
Clearwater PD,9/17/2019,06:20:00 PM,CW19-142893,BRGC,BURGLARY-VEHICLE,23200 Block of US HIGHWAY 19 N,CLEARWATER,33765
Pinellas Park PD,9/17/2019,01:00:00 PM,201900073838,08B,BATTERY,7200 Block of 66TH ST,PINELLAS PARK,null
Sheriff,9/20/2019,07:20:00 PM,SO19-304125,BRGC,BURGLARY-VEHICLE,12900 Block of PARK BLVD N,PINELLAS SO,33776
Clearwater PD,9/27/2019,12:00:00 PM,CW19-148182,GT,THEFT-GRAND,24800 Block of US HIGHWAY 19 N,CLEARWATER,33763
Pinellas Park PD,9/18/2019,08:00:00 AM,201900074118,06A,THEFT-GRAND,7300 Block of PARK BLVD,PINELLAS PARK,null
Sheriff,9/29/2019,12:54:00 AM,SO19-313851,B65,BATTERY ,500 Block of HICKORYNUT AVE,PINELLAS SO,34677
Clearwater PD,9/24/2019,05:36:00 PM,CW19-146583,PT,THEFT-PETIT,HAVEN WOMENS SHELTER,CLEARWATER,33755
Sheriff,9/26/2019,10:30:00 PM,SO19-311682,AB,BATTERY-AGGRAVATED,4900 Block of 62ND ST N,PINELLAS SO,33709
Sheriff,9/16/2019,06:41:00 AM,SO19-298100,TAWN,TRESPASS,10800 Block of 108TH ST N,PINELLAS SO,33778
Sheriff,9/23/2019,02:23:00 PM,SO19-307398,PT,THEFT-PETIT,7500 Block of 46TH AVE N,PINELLAS SO,33709
Tarpon Springs PD,9/26/2019,11:17:00 AM,TS19-23225,BAT,BATTERY,500 Block of N FLORIDA AVE,TARPON SPRINGS,34689
Clearwater PD,9/25/2019,04:07:00 PM,CW19-147030,TBE,THEFT-PETIT,800 Block of S MISSOURI AVE,CLEARWATER,33756
Gulfport PD,9/28/2019,08:30:00 PM,GP19-21012,ABR,BURGLARY-RESIDENCE,5700 Block of 12TH AVE S,GULFPORT,33707
Pinellas Park PD,9/28/2019,04:30:00 AM,201900076470,08B,BATTERY,11300 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Sheriff,9/25/2019,03:34:00 PM,SO19-310016,BAT,BATTERY,2400 Block of MCMULLEN BOOTH RD,SAFETY HARBOR,33759
Clearwater PD,9/23/2019,12:35:00 AM,CW19-145641,BCNE,BURGLARY-VEHICLE,200 Block of S HILLCREST AVE,CLEARWATER,33756
Clearwater PD,9/20/2019,04:30:00 PM,CW19-144436,GTS,THEFT-SHOPLIFTING,23100 Block of US HIGHWAY 19 N,CLEARWATER,33765
Sheriff,9/24/2019,06:00:00 PM,SO19-308516,BRGR,BURGLARY-RESIDENCE,15900 Block of 1ST ST E,REDINGTON BEACH,33708
Sheriff,9/25/2019,08:30:00 PM,SO19-310286,BAT,BATTERY,10100 Block of 114TH TERR N,PINELLAS SO,33773
Kenneth City PD,9/18/2019,05:30:00 AM,KC19-40640,GT,THEFT-GRAND,4600 Block of 66TH ST N,KENNETH CITY,33709
Sheriff,9/29/2019,09:41:00 PM,SO19-314943,PT,THEFT-PETIT,7800 Block of PARK BLVD N,PINELLAS SO,33781
Sheriff,9/24/2019,01:07:00 PM,SO19-308616,PT,THEFT-PETIT,1000 Block of MAIN ST,DUNEDIN,34698
Gulfport PD,9/23/2019,10:00:00 AM,GP19-20634,PT,THEFT-PETIT,6300 Block of 11TH AVE S,GULFPORT,33707
Sheriff,9/24/2019,09:00:00 AM,SO19-308894,PT,THEFT-PETIT,ALLEN AVE & EGRET TERR,SAFETY HARBOR,34695
Clearwater PD,9/22/2019,06:17:00 PM,CW19-145480,TAWN,TRESPASS,500 Block of PARK ST,CLEARWATER,33756
Clearwater PD,9/21/2019,05:30:00 PM,CW19-144956,PTS,THEFT-SHOPLIFTING,23100 Block of US HIGHWAY 19 N,CLEARWATER,33765
Sheriff,9/15/2019,06:51:00 PM,SO19-297704,GTA,STOLEN VEHICLE,3700 Block of 58TH AVE N,PINELLAS SO,33714
Treasure Island PD,9/16/2019,07:20:00 PM,TI19-15644,BAT,BATTERY,11500 Block of GULF BLVD,TREASURE ISLAND,33706
Sheriff,9/17/2019,06:00:00 PM,SO19-300439,PT,THEFT-PETIT,10700 Block of 59TH AVE N,PINELLAS SO,33772
Kenneth City PD,9/20/2019,08:07:00 PM,KC19-40864,MPA,MISSING PERSON,5600 Block of 58TH WAY N,KENNETH CITY,33709
Pinellas Park PD,9/25/2019,05:05:00 PM,201900075828,06A,THEFT-GRAND,6900 Block of 40TH ST,PINELLAS PARK,null
Sheriff,9/17/2019,02:27:00 PM,SO19-300083,GT,THEFT-GRAND,400 Block of PATRICIA AVE,DUNEDIN,34698
Sheriff,9/16/2019,02:17:00 AM,SO19-298000,PTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD,SEMINOLE,33708
Sheriff,9/25/2019,08:00:00 PM,SO19-309422,BRGC,BURGLARY-VEHICLE,1900 Block of PINEHURST DR,PINELLAS SO,33763
Kenneth City PD,9/26/2019,07:13:00 PM,KC19-41437,BAT,BATTERY,4100 Block of 55TH ST N,KENNETH CITY,33709
Kenneth City PD,9/19/2019,09:45:00 AM,KC19-40721,PTS,THEFT-SHOPLIFTING,4600 Block of 66TH ST N,KENNETH CITY,33709
Clearwater PD,9/27/2019,06:00:00 AM,CW19-148087,PT,THEFT-PETIT,500 Block of PARK ST,CLEARWATER,33756
Clearwater PD,9/24/2019,12:00:00 PM,CW19-146617,TFP6,THEFT-PETIT,2500 Block of COUNTRYSIDE BLVD,CLEARWATER,33761
Sheriff,9/21/2019,08:12:00 PM,SO19-305215,BAT,BATTERY,600 Block of 12TH AVE N,SAFETY HARBOR,34695
Sheriff,9/24/2019,10:30:00 AM,SO19-308503,BRGC,BURGLARY-VEHICLE,2400 Block of RUTLAND LN,PINELLAS SO,33763
Sheriff,9/16/2019,07:34:00 PM,SO19-299063,PT,THEFT-PETIT,800 Block of PATRICIA AVE,DUNEDIN,34698
Sheriff,9/17/2019,02:00:00 PM,SO19-300071,GTS,THEFT-SHOPLIFTING,5400 Block of 49TH ST N,PINELLAS SO,33709
Pinellas Park PD,9/24/2019,10:00:00 PM,201900075584,06B,THEFT-PETIT,8000 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Pinellas Park PD,9/17/2019,05:03:00 PM,201900073882,08B,BATTERY,7700 Block of 40TH ST,PINELLAS PARK,null
Sheriff,9/22/2019,09:00:00 AM,SO19-306246,GT,THEFT-GRAND,00 Block of DONNA ST,PINELLAS SO,34684
Clearwater PD,9/16/2019,12:50:00 PM,CW19-142124,BRGC,BURGLARY-VEHICLE,00 Block of S MISSOURI AVE,CLEARWATER,33755
Sheriff,9/21/2019,01:00:00 AM,SO19-304875,PT,THEFT-PETIT,2500 Block of 62ND AVE N,PINELLAS SO,33702
Sheriff,9/20/2019,05:43:00 PM,SO19-303998,BAT,BATTERY,1000 Block of PASADENA AVE S,SOUTH PASADENA,33707
Sheriff,9/29/2019,07:07:00 AM,SO19-313993,PTS,THEFT-SHOPLIFTING,8800 Block of PARK BLVD N,SEMINOLE,33777
Sheriff,9/17/2019,10:00:00 AM,SO19-300055,PT,THEFT-PETIT,2400 Block of FRANCISCAN DR,PINELLAS SO,33763
Sheriff,9/19/2019,02:29:00 AM,SO19-302096,BRGC,BURGLARY-VEHICLE,9800 Block of 54TH AVE N,PINELLAS SO,33708
Pinellas Park PD,9/23/2019,01:00:00 PM,201900075366,06B,THEFT-PETIT,8800 Block of 66TH ST,PINELLAS PARK,null
Sheriff,9/28/2019,04:00:00 AM,SO19-313054,BRGB,BURGLARY-BUSINESS,13000 Block of FAXTON ST,PINELLAS SO,33760
Sheriff,9/15/2019,07:00:00 PM,SO19-296858,GTA,STOLEN VEHICLE,1800 Block of WILLOW OAK DR N,PINELLAS SO,34683
Clearwater PD,9/28/2019,12:50:00 PM,CW19-148749,PTS,THEFT-SHOPLIFTING,2700 Block of GULF TO BAY BLVD,CLEARWATER,33759
Clearwater PD,9/18/2019,09:00:00 PM,CW19-143516,GTS,THEFT-SHOPLIFTING,27000 Block of US HIGHWAY 19 N,CLEARWATER,33761
Clearwater PD,9/23/2019,10:00:00 PM,CW19-146011,GTC,THEFT-GRAND,19000 Block of US HIGHWAY 19 N,CLEARWATER,33764
Sheriff,9/24/2019,04:30:00 AM,SO19-308791,GT,THEFT-GRAND,8100 Block of 83RD ST N,PINELLAS SO,33777
Sheriff,9/26/2019,07:05:00 AM,SO19-311011,BRGR,BURGLARY-RESIDENCE,5800 Block of BAY LAKE DR S,PINELLAS SO,33708
Sheriff,9/19/2019,12:36:00 AM,SO19-301813,BRGC,BURGLARY-VEHICLE,6200 Block of 52ND AVE N,PINELLAS SO,33709
Sheriff,9/28/2019,07:31:00 PM,SO19-313670,BAT,BATTERY,9000 Block of 109TH AVE N,PINELLAS SO,33777
Sheriff,9/28/2019,11:58:00 PM,SO19-313830,AB,BATTERY-AGGRAVATED,00 Block of CAUSEWAY BLVD,DUNEDIN,34698
Sheriff,9/22/2019,10:23:00 PM,SO19-305372,BRGB,BURGLARY-BUSINESS,900 Block of CURLEW RD,DUNEDIN,34698
Kenneth City PD,9/29/2019,Unknown,KC19-41701,BAT,BATTERY,4200 Block of 66TH ST N,KENNETH CITY,33709
Sheriff,9/27/2019,11:35:00 AM,SO19-312251,RSVO,STOLEN VEHICLE - REC,11200 Block of 122ND AVE N,LARGO,33778
Sheriff,9/21/2019,08:45:00 PM,SO19-304867,GTS,THEFT-SHOPLIFTING,9500 Block of BAY PINES BLVD,PINELLAS SO,33708
Sheriff,9/21/2019,04:45:00 PM,SO19-305085,BAT,BATTERY,9300 Block of PARK BLVD N,SEMINOLE,33777
Sheriff,9/16/2019,01:07:00 AM,SO19-297957,ARS,ARSON,BEACH  W OF THE TOWERS,PINELLAS SO,33702
Treasure Island PD,9/26/2019,02:00:00 AM,TI19-16355,GT,THEFT-GRAND,100 Block of 124TH AVE,TREASURE ISLAND,33706
Clearwater PD,9/18/2019,12:00:00 AM,CW19-143290,GT,THEFT-GRAND,300 Block of VENETIAN DR,CLEARWATER,33755
Sheriff,9/24/2019,03:34:00 AM,SO19-308080,PTS,THEFT-SHOPLIFTING,3400 Block of ULMERTON RD,PINELLAS SO,33762
Sheriff,9/21/2019,02:00:00 PM,SO19-305149,PT,THEFT-PETIT,10200 Block of BAY PINES BLVD,SEMINOLE,33708
Largo PD,9/22/2019,01:00:00 PM,19009437,0680,THEFT-PETIT,null,LARGO,33774
Sheriff,9/26/2019,12:00:00 AM,SO19-311459,BRGR,BURGLARY-RESIDENCE,500 Block of BAYWOOD DR S,DUNEDIN,34698
Kenneth City PD,9/27/2019,12:59:00 AM,KC19-41469,BRC,BURGLARY-RESIDENCE,5000 Block of 58TH WAY N,KENNETH CITY,33709
Sheriff,9/15/2019,04:00:00 PM,SO19-297063,GTA,STOLEN VEHICLE,6300 Block of HAINES RD,PINELLAS SO,33702
Sheriff,9/29/2019,01:10:00 PM,SO19-314504,GT,THEFT-GRAND,1400 Block of PASADENA AVE S,SOUTH PASADENA,33707
Sheriff,9/28/2019,12:00:00 AM,SO19-313129,BRGR,BURGLARY-RESIDENCE,1200 Block of BOCA CIEGA ISLE DR,ST PETE BEACH,33706
Clearwater PD,9/29/2019,04:38:00 PM,CW19-149276,PTS,THEFT-SHOPLIFTING,23100 Block of US HIGHWAY 19 N,CLEARWATER,33765
Sheriff,9/29/2019,11:30:00 PM,SO19-315003,B65,BATTERY ,2900 Block of 166TH AVE N,PINELLAS SO,33760
Sheriff,9/18/2019,08:00:00 AM,SO19-300876,PT,THEFT-PETIT,3000 Block of 110TH AVE N,PINELLAS PARK,33716
Tarpon Springs PD,9/28/2019,11:30:00 PM,TS19-23435,BRGB,BURGLARY-BUSINESS,41200 Block of US HIGHWAY 19 N,TARPON SPRINGS,34689
PCPO,9/16/2019,07:48:00 AM,PS19-3828,PWSP,WEAPON,900 Block of UNION ST,DUNEDIN,34698
Gulfport PD,9/24/2019,11:41:00 AM,GP19-20705,GTF,THEFT-GRAND,62ND ST S & 8TH AVE S,GULFPORT,33707
Largo PD,9/16/2019,12:46:00 AM,19009236,0810,ASSAULT,null,LARGO,33770
Clearwater PD,9/19/2019,12:00:00 AM,CW19-143825,PT,THEFT-PETIT,1500 Block of SOUVENIR DR,CLEARWATER,33755
Sheriff,9/26/2019,10:15:00 AM,SO19-311162,BRGR,BURGLARY-RESIDENCE,4900 Block of CAMBRIDGE BLVD,PINELLAS SO,34685
Kenneth City PD,9/28/2019,04:01:00 PM,KC19-41658,BAT,BATTERY,5200 Block of 62ND ST N,KENNETH CITY,33709
Pinellas Park PD,9/15/2019,03:30:00 AM,201900073238,03D,ROBBERY-UNARMED,7800 Block of 72ND ST,PINELLAS PARK,null
Clearwater PD,9/24/2019,07:18:00 PM,CW19-146606,TAWN,TRESPASS,1200 Block of CLEVELAND ST,CLEARWATER,33755
Sheriff,9/16/2019,02:22:00 PM,SO19-298787,BAT,BATTERY,8900 Block of PARK BLVD N,SEMINOLE,33777
Sheriff,9/25/2019,03:00:00 PM,SO19-309746,PT,THEFT-PETIT,10800 Block of TEMPLE TERR,SEMINOLE,33772
Kenneth City PD,9/29/2019,01:06:00 PM,KC19-41702,GT,THEFT-GRAND,5800 Block of 44TH AVE N,KENNETH CITY,33709
Kenneth City PD,9/15/2019,03:07:00 PM,KC19-40339,BAT,BATTERY,4200 Block of 66TH ST N,KENNETH CITY,33709
Pinellas Park PD,9/20/2019,11:54:00 PM,201900074651,04C,ASSAULT,6900 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Clearwater PD,9/23/2019,04:45:00 PM,CW19-145978,BAT,BATTERY,900 Block of SEMINOLE ST,CLEARWATER,33755
