AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Largo PD,3/1/2017,09:05:00 AM,17002199,0690,THEFT-PETIT,5000 Block of ULMERTON RD,LARGO,33770
Clearwater PD,3/5/2017,08:00:00 PM,CW17-31657,BRGC,BURGLARY-VEHICLE,00 Block of CAUSEWAY BLVD,CLEARWATER,33767
Clearwater PD,3/13/2017,04:28:00 PM,CW17-36275,GTA,STOLEN VEHICLE,2100 Block of GULF TO BAY BLVD,CLEARWATER,33765
Pinellas Park PD,3/12/2017,05:00:00 PM,201700019923,05C,BURGLARY-VEHICLE,6000 Block of 114TH TERR,PINELLAS PARK,null
Sheriff,3/12/2017,12:55:00 PM,SO17-79135,PTS,THEFT-SHOPLIFTING,35400 Block of US HIGHWAY 19 N,PINELLAS SO,34684
Gulfport PD,3/7/2017,08:30:00 AM,GP17-5413,BRGR,BURGLARY-RESIDENCE,5200 Block of 14TH AVE S,GULFPORT,33707
Gulfport PD,3/2/2017,10:00:00 PM,GP17-5021,SBR,BATTERY-SEXUAL,58TH ST S & 11TH AVE S,GULFPORT,33707
Sheriff,3/6/2017,05:12:00 PM,SO17-72617,BRGR,BURGLARY-RESIDENCE,7000 Block of 46TH AVE N,PINELLAS SO,33709
Clearwater PD,3/7/2017,10:06:00 AM,CW17-32732,GT,THEFT-GRAND,2100 Block of HARTFORD WAY,CLEARWATER,33763
Gulfport PD,3/13/2017,12:19:00 AM,GP17-5828,GTR,THEFT-GRAND,5000 Block of 9TH AVE S,GULFPORT,33707
Sheriff,3/1/2017,08:37:00 AM,SO17-66271,TAWN,TRESPASS,13200 Block of 49TH ST N,PINELLAS PARK,33762
Sheriff,3/1/2017,10:00:00 AM,SO17-66413,PT,THEFT-PETIT,500 Block of PINELLAS BAYWAY S,PINELLAS SO,33715
Sheriff,3/6/2017,12:49:00 AM,SO17-72479,BSNR,BURGLARY-RESIDENCE,900 Block of FLORIDA AVE,PINELLAS SO,34683
Sheriff,3/14/2017,10:00:00 PM,SO17-81196,PT,THEFT-PETIT,1600 Block of S BELCHER RD,PINELLAS SO,33771
Largo PD,3/2/2017,12:00:00 AM,17002271,0640,THEFT-PETIT,12700 Block of 114TH ST N,LARGO,33770
Sheriff,3/3/2017,11:51:00 PM,SO17-69695,BAT,BATTERY,6100 Block of GULF BLVD,ST PETE BEACH,33706
Clearwater PD,3/8/2017,11:00:00 PM,CW17-33313,BRGC,BURGLARY-VEHICLE,19100 Block of US HIGHWAY 19,CLEARWATER,33764
Largo PD,3/6/2017,05:04:00 PM,17002411,4010,TRAFFIC ACCIDENT,2500 Block of EAST BAY DR,LARGO,33771
Sheriff,3/1/2017,04:16:00 PM,SO17-66741,BAT,BATTERY,00 Block of PATRICIA AVE,DUNEDIN,34698
Clearwater PD,3/14/2017,02:00:00 PM,CW17-36544,GTR,THEFT-GRAND,1200 Block of N SATURN AVE,CLEARWATER,33755
Pinellas Park PD,3/11/2017,03:00:00 PM,201700019797,05C,BURGLARY-VEHICLE,7500 Block of 54TH ST,PINELLAS PARK,null
Clearwater PD,3/1/2017,08:00:00 PM,CW17-29561,PT,THEFT-PETIT,1600 Block of CLEVELAND ST,CLEARWATER,33755
Sheriff,3/12/2017,11:45:00 AM,SO17-79213,BRGC,BURGLARY-VEHICLE,00 Block of CAUSEWAY BLVD,DUNEDIN,34698
Sheriff,3/14/2017,Unknown,SO17-81800,BAT,BATTERY,3100 Block of PHLOX DR,PINELLAS SO,34684
Sheriff,3/12/2017,10:19:00 PM,SO17-79559,BAT,BATTERY,3100 Block of TAMPA RD,OLDSMAR,34677
Sheriff,2/28/2017,09:52:00 AM,SO17-65197,RFF,WEAPON,14200 Block of 85TH AVE N,PINELLAS SO,33776
Sheriff,3/10/2017,04:44:00 AM,SO17-76792,BRGC,BURGLARY-VEHICLE,9800 Block of 113TH ST N,PINELLAS SO,33772
