AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,12/9/2016,05:34:00 PM,SO16-480436,AL,ALARM,900 Block of BROADWAY,DUNEDIN,34698
Sheriff,11/30/2016,01:26:00 PM,SO16-470995,TAWN,TRESPASS,12300 Block of 134TH AVE N,PINELLAS SO,33774
Sheriff,12/4/2016,05:04:00 PM,SO16-475221,BAT,BATTERY,5100 Block of 43RD AVE N,PINELLAS SO,33709
Sheriff,12/8/2016,06:00:00 PM,SO16-479240,BRGR,BURGLARY-RESIDENCE,11300 Block of CANTERBURY LN,SEMINOLE,33778
Clearwater PD,12/5/2016,06:00:00 PM,CW16-169668,BRGR,BURGLARY-RESIDENCE,500 Block of EDENVILLE AVE,CLEARWATER,33764
Clearwater PD,12/3/2016,04:10:00 PM,CW16-168703,PT,THEFT-PETIT,1200 Block of N MYRTLE AVE,CLEARWATER,33755
Sheriff,12/5/2016,Unknown,SO16-475620,GTA,STOLEN VEHICLE,1700 Block of HARBOR PL S,SOUTH PASADENA,33707
Sheriff,12/3/2016,08:00:00 PM,SO16-473890,BRGC,BURGLARY-VEHICLE,4600 Block of AYRON TERR,PINELLAS SO,34685
Clearwater PD,12/5/2016,09:00:00 AM,CW16-169748,BRGR,BURGLARY-RESIDENCE,1300 Block of N HIGHLAND AVE,CLEARWATER,33755
Sheriff,12/5/2016,07:59:00 PM,SO16-476341,AL,ALARM,11600 Block of GROVE ST N,PINELLAS SO,33772
Gulfport PD,12/12/2016,02:50:00 PM,GP16-24988,RSVO,STOLEN VEHICLE - REC,5100 Block of 9TH AVE S,GULFPORT,33707
Clearwater PD,12/12/2016,09:49:00 PM,CW16-172823,PT,THEFT-PETIT,2700 Block of GULF TO BAY BLVD,CLEARWATER,33759
Largo PD,12/8/2016,Unknown,16012845,0810,ASSAULT,null,LARGO,33770
Sheriff,12/4/2016,08:00:00 PM,SO16-475259,BRGC,BURGLARY-VEHICLE,11400 Block of 64TH AVE N,PINELLAS SO,33772
Sheriff,12/1/2016,12:00:00 PM,SO16-472065,BRGS,BURGLARY-STRUCTURE,11000 Block of 100TH AVE N,SEMINOLE,33772
Sheriff,12/2/2016,08:00:00 AM,SO16-473452,GTF,THEFT-GRAND,1000 Block of TARPON WOODS BLVD,PINELLAS SO,34685
Gulfport PD,12/3/2016,04:00:00 PM,GP16-24193,PT,THEFT-PETIT,5700 Block of SHORE BLVD S,GULFPORT,33707
Sheriff,12/11/2016,11:00:00 PM,SO16-482472,BBD,BATTERY ,14400 Block of 49TH ST N,PINELLAS SO,33762
