AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,9/7/2021,01:00:00PM,SO21-251404,PT,THEFT-PETIT,16800 Block of GULF BLVD ,REDINGTON BEACH,33708
Sheriff,9/7/2021,08:12:00AM,SO21-251033,GT,THEFT-GRAND,5600 Block of 62ND ST N ,PINELLAS SO,33709
Clearwater PD,9/3/2021,12:00:00AM,CW21-109946,BRGC,BURGLARY-VEHICLE,1100 Block of MISSION CIR ,CLEARWATER,33759
Sheriff,9/1/2021,07:25:00AM,SO21-244421,BRGC,BURGLARY-VEHICLE,6100 Block of DR MARTIN LUTHER KING JR ,ST PETERSBURG,33705
Sheriff,9/6/2021,03:24:00PM,SO21-250387,GTA,STOLEN VEHICLE,16400 Block of US HIGHWAY 19 N ,PINELLAS SO,33764
Kenneth City PD,9/3/2021,12:56:00PM,KC21-39805,BRGR,BURGLARY-RESIDENCE,6400 Block of 46TH AVE N ,KENNETH CITY,33709
Sheriff,9/7/2021,12:00:00AM,SO21-251631,PT,THEFT-PETIT,14800 Block of WALSINGHAM RD ,LARGO,33774
Gulfport PD,9/4/2021,12:08:00AM,GP21-16137,BCC,BURGLARY-BUSINESS,2200 Block of 49TH ST S ,GULFPORT,33707
Sheriff,9/7/2021,07:30:00AM,SO21-251692,MPJU,MISSING PERSON,11000 Block of DUNCAN ST ,SEMINOLE,33772
Sheriff,9/7/2021,01:20:00PM,SO21-251423,BAT,BATTERY,9200 Block of 102ND AVE N ,PINELLAS SO,33777
Tarpon Springs PD,9/2/2021,12:00:00AM,SO21-245583,BRGR,BURGLARY-RESIDENCE,800 Block of VIRGINIA AVE ,TARPON SPRINGS,34689
Clearwater PD,9/7/2021,02:49:00PM,CW21-112055,A,ASSAULT,1200 Block of N MARTIN LUTHER KING JR ,CLEARWATER,33755
Sheriff,9/7/2021,08:12:00AM,SO21-251033,GT,THEFT-GRAND,5600 Block of 62ND ST N ,PINELLAS SO,33709
Sheriff,9/5/2021,05:25:00AM,SO21-249039,BRGC,BURGLARY-VEHICLE,6000 Block of 109TH AVE N ,PINELLAS SO,33782
Clearwater PD,9/6/2021,11:07:00PM,CW21-111800,BRGR,BURGLARY-RESIDENCE,1400 Block of GULF TO BAY BLVD ,CLEARWATER,33755
Clearwater PD,9/6/2021,01:00:00PM,CW21-111795,BAT,BATTERY,1100 Block of BECKETT ST ,CLEARWATER,33755
Sheriff,9/7/2021,05:00:00PM,SO21-251342,BBD,BATTERY ,14400 Block of 49TH ST N ,PINELLAS SO,33762
Sheriff,9/6/2021,07:50:00PM,SO21-250633,GTA,STOLEN VEHICLE,6700 Block of 16TH PL N ,ST PETERSBURG,33710
Gulfport PD,9/6/2021,08:58:00AM,GP21-16233,GTA,STOLEN VEHICLE,1800 Block of 49TH ST S ,GULFPORT,33707
Clearwater PD,9/8/2021,06:00:00PM,CW21-112630,BCC,BURGLARY-BUSINESS,1100 Block of COURT ST ,CLEARWATER,33756
Gulfport PD,9/8/2021,04:48:00PM,GP21-16404,BAT,BATTERY,5000 Block of GULFPORT BLVD S ,GULFPORT,33707
Clearwater PD,8/31/2021,03:49:00AM,CW21-108427,AB,BATTERY-AGGRAVATED,1100 Block of HOLT AVE ,CLEARWATER,33755
Clearwater PD,9/8/2021,05:30:00AM,CW21-112344,BRGB,BURGLARY-BUSINESS,900 Block of PALMETTO ST ,CLEARWATER,33755
Sheriff,9/14/2021,10:00:00AM,SO21-259164,GT,THEFT-GRAND,30700 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Sheriff,9/7/2021,10:34:00PM,SO21-251963,CCF,WEAPON,10700 Block of 63RD AVE N ,PINELLAS SO,33772
Sheriff,9/8/2021,12:00:00AM,SO21-252857,BAT,BATTERY,10500 Block of 94TH PL N ,PINELLAS SO,33772
Sheriff,9/8/2021,06:00:00PM,SO21-252262,BRGB,BURGLARY-BUSINESS,1000 Block of MAIN ST ,DUNEDIN,34698
Sheriff,9/7/2021,07:44:00PM,SO21-251809,GTA,STOLEN VEHICLE,4500 Block of 14TH AVE S ,ST PETERSBURG,33711
Clearwater PD,9/9/2021,08:00:00AM,CW21-112890,BRGR,BURGLARY-RESIDENCE,200 Block of S STARCREST DR ,CLEARWATER,33765
Sheriff,9/12/2021,08:16:00AM,SO21-256998,BBD,BATTERY ,14400 Block of 49TH ST N ,PINELLAS SO,33762
Clearwater PD,8/31/2021,09:25:00PM,CW21-108763,BAT,BATTERY,100 Block of N LADY MARY DR ,CLEARWATER,33755
Tarpon Springs PD,8/31/2021,08:15:00PM,TS21-23098,GT,THEFT-GRAND,1900 Block of N PINELLAS AVE ,TARPON SPRINGS,34689
Clearwater PD,9/1/2021,04:06:00PM,CW21-109006,PTS,THEFT-SHOPLIFTING,27000 Block of US HIGHWAY 19 N ,CLEARWATER,33761
Sheriff,9/7/2021,10:34:00PM,SO21-251963,CCF,WEAPON,10700 Block of 63RD AVE N ,PINELLAS SO,33772
Sheriff,9/2/2021,06:58:00PM,SO21-246323,BAT,BATTERY,6200 Block of ROOSEVELT BLVD ,PINELLAS SO,33760
Clearwater PD,9/2/2021,Unknown,CW21-109815,GTA,STOLEN VEHICLE,1500 Block of TIOGA AVE ,CLEARWATER,33756
Sheriff,9/3/2021,01:20:00AM,SO21-246647,BAT,BATTERY,24600 Block of US HIGHWAY 19 N ,PINELLAS SO,33763
Gulfport PD,9/1/2021,06:12:00PM,GP21-15917,BAT,BATTERY,3000 Block of BEACH BLVD S ,GULFPORT,33707
