AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Pinellas Park PD,1/27/2016,08:30:00 PM,201600007222,06B,THEFT-PETIT,4300 Block of 71ST AVE,PINELLAS PARK,null
Largo PD,1/15/2016,11:00:00 PM,16000553,0710,STOLEN VEHICLE,12800 Block of SEMINOLE BLVD,LARGO,33771
Sheriff,1/17/2016,12:45:00 AM,SO16-24604,BRGC,BURGLARY-VEHICLE,1700 Block of OAK POND CT,OLDSMAR,34677
Gulfport PD,1/15/2016,12:00:00 PM,GP16-1056,PT,THEFT-PETIT,4900 Block of 9TH AVE S,GULFPORT,33707
Sheriff,1/23/2016,Unknown,SO16-32485,ABR,BURGLARY-RESIDENCE,2500 Block of 48TH AVE N,PINELLAS SO,33714
Pinellas Park PD,1/24/2016,10:00:00 AM,201600006188,06A,THEFT-GRAND,7000 Block of 90TH AVE,PINELLAS PARK,null
Sheriff,1/22/2016,12:15:00 AM,SO16-30927,BAT,BATTERY,15500 Block of 60TH ST N,PINELLAS SO,33760
Largo PD,1/29/2016,Unknown,16001088,0690,THEFT-PETIT,null,LARGO,33771
Clearwater PD,1/29/2016,12:19:00 PM,CW16-13970,TUCS,THEFT-PETIT,1300 Block of MARY L RD,CLEARWATER,33755
Sheriff,1/16/2016,Unknown,SO16-22734,A,ASSAULT,2700 Block of 52ND AVE N,PINELLAS SO,33714
Pinellas Park PD,1/15/2016,06:00:00 PM,201600003990,06A,THEFT-GRAND,6300 Block of 94TH AVE,PINELLAS PARK,null
Pinellas Park PD,1/18/2016,07:13:00 PM,201600004796,06B,THEFT-PETIT,6900 Block of 40TH ST,PINELLAS PARK,null
Gulfport PD,1/17/2016,12:00:00 PM,GP16-1193,BRGC,BURGLARY-VEHICLE,5300 Block of 26TH AVE S,GULFPORT,33707
Sheriff,1/22/2016,10:30:00 PM,SO16-31399,BRGC,BURGLARY-VEHICLE,8400 Block of KING ST N,PINELLAS SO,33772
Pinellas Park PD,1/17/2016,06:00:00 PM,201600004381,06B,THEFT-PETIT,6700 Block of 63RD WAY,PINELLAS PARK,null
Clearwater PD,1/27/2016,07:45:00 PM,CW16-13199,FTPC,THEFT-GRAND,2100 Block of GULF TO BAY BLVD,CLEARWATER,33765
Clearwater PD,1/30/2016,11:15:00 AM,CW16-14424,MPA,MISSING PERSON,1300 Block of GULF BLVD,CLEARWATER,33767
Largo PD,1/27/2016,04:30:00 PM,16001003,0810,ASSAULT,1500 Block of SEMINOLE BLVD,LARGO,33770
Clearwater PD,1/25/2016,10:00:00 AM,CW16-11916,PTTB,THEFT-PETIT,1900 Block of SUNSET POINT RD,CLEARWATER,33765
Clearwater PD,1/23/2016,07:00:00 PM,CW16-11068,BAT,BATTERY,1300 Block of PARK ST,CLEARWATER,33756
Sheriff,1/26/2016,08:00:00 AM,SO16-37916,GT,THEFT-GRAND,1100 Block of WEXFORD LEAS BLVD,PINELLAS SO,34683
Clearwater PD,1/27/2016,08:38:00 AM,CW16-12988,PTS,THEFT-SHOPLIFTING,1800 Block of GULF TO BAY BLVD,CLEARWATER,33765
Sheriff,1/19/2016,04:45:00 PM,SO16-27599,BRGR,BURGLARY-RESIDENCE,13400 Block of ADAMS CIR,PINELLAS SO,33774
