AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Largo PD,4/13/2020,01:00:00PM,20003194,0810,ASSAULT,1200 Block of SEMINOLE BLVD ,LARGO,33771
Sheriff,4/14/2020,09:11:00PM,SO20-107786,AB,BATTERY-AGGRAVATED,5200 Block of 80TH ST N ,PINELLAS SO,33709
Largo PD,4/13/2020,08:00:00PM,20003193,0710,STOLEN VEHICLE,7200 Block of AMHURST WAY ,CLEARWATER,33765
Largo PD,4/14/2020,01:08:00PM,20003208,0810,ASSAULT,12900 Block of 128TH AVE N ,LARGO,33778
Largo PD,3/31/2020,08:00:00PM,20002920,2670,TRESPASS,1600 Block of N MISSOURI AVE ,LARGO,33770
Largo PD,4/8/2020,12:00:00PM,20003098,0680,THEFT-PETIT,400 Block of 3RD ST NW ,LARGO,33771
Largo PD,4/9/2020,03:00:00AM,20003112,0640,THEFT-PETIT,3000 Block of BROOKVIEW AVE ,LARGO,33771
Largo PD,4/12/2020,10:00:00AM,20003172,0510,BURGLARY-STRUCTURE,1200 Block of SEMINOLE BLVD ,LARGO,33770
Largo PD,4/13/2020,03:20:00PM,20003201,0680,THEFT-PETIT,2500 Block of EAST BAY DR ,LARGO,33770
Clearwater PD,3/31/2020,12:00:00PM,CW20-47682,FRHV,STOLEN VEHICLE,1200 Block of COURT ST ,CLEARWATER,33756
Sheriff,3/31/2020,08:35:00AM,SO20-97065,TAWN,TRESPASS,2500 Block of 54TH AVE N ,PINELLAS SO,33714
Sheriff,4/1/2020,02:34:00AM,SO20-97635,BSNB,BURGLARY-BUSINESS,6200 Block of HAINES RD ,PINELLAS SO,33702
Sheriff,3/31/2020,02:20:00AM,SO20-97086,BRGC,BURGLARY-VEHICLE,7900 Block of 43RD AVE N ,PINELLAS SO,33709
Sheriff,4/1/2020,05:40:00PM,SO20-98113,MPJU,MISSING PERSON,5400 Block of 68TH WAY N ,PINELLAS SO,33709
Sheriff,4/2/2020,02:23:00PM,SO20-98777,BAT,BATTERY,MAIN ST & KEENE RD,DUNEDIN,34698
Pinellas Park PD,3/31/2020,10:15:00PM,202000022150,08B,BATTERY,4900 Block of ULMERTON RD ,PINELLAS PARK,33780
Largo PD,3/31/2020,10:30:00AM,20002898,0510,BURGLARY-STRUCTURE,12800 Block of VONN RD ,LARGO,33778
Sheriff,4/1/2020,09:48:00PM,SO20-98245,GT,THEFT-GRAND,400 Block of OAK VIEW TER ,PINELLAS SO,34684
Clearwater PD,4/1/2020,06:30:00PM,CW20-48358,GTHN,THEFT-GRAND,500 Block of S LAKE AVE ,CLEARWATER,33756
Sheriff,4/2/2020,10:45:00AM,SO20-98504,LSAP,TRAFFIC ACCIDENT,7000 Block of SEMINOLE BLVD ,SEMINOLE,33772
Gulfport PD,4/10/2020,05:45:00PM,GP20-7715,LSAP,TRAFFIC ACCIDENT,1100 Block of 49TH ST S ,GULFPORT,33707
Largo PD,4/4/2020,01:15:00PM,20002997,0810,ASSAULT,14400 Block of STARBOARD LN ,LARGO,33770
Sheriff,4/11/2020,01:25:00PM,SO20-104985,PTS,THEFT-SHOPLIFTING,30100 Block of US HIGHWAY 19 N ,PINELLAS SO,33761
Sheriff,4/10/2020,03:00:00AM,SO20-104109,GTA,STOLEN VEHICLE,2700 Block of GROVE PARK AVE N ,PINELLAS SO,33714
Sheriff,4/11/2020,11:53:00PM,SO20-104692,BOL,BATTERY,5400 Block of 68TH WAY N ,PINELLAS SO,33709
Sheriff,4/11/2020,05:00:00PM,SO20-104871,GT,THEFT-GRAND,12300 Block of SEMINOLE BLVD ,PINELLAS SO,33778
Sheriff,4/5/2020,01:13:00PM,SO20-100517,FBPC,BATTERY,3800 Block of 54TH AVE N ,PINELLAS SO,33714
Sheriff,4/10/2020,11:56:00PM,SO20-104701,BOL,BATTERY,5400 Block of 68TH WAY N ,PINELLAS SO,33709
Sheriff,4/9/2020,09:35:00PM,SO20-103928,PTS,THEFT-SHOPLIFTING,33300 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Sheriff,4/11/2020,12:40:00PM,SO20-104958,GT,THEFT-GRAND,7400 Block of 25TH ST N ,PINELLAS SO,33702
Sheriff,4/11/2020,11:53:00AM,SO20-104935,MPJU,MISSING PERSON,4200 Block of 42ND AVE N ,PINELLAS SO,33714
Sheriff,4/10/2020,05:48:00PM,SO20-104466,BAT,BATTERY,5900 Block of BURCH ST N ,PINELLAS SO,33709
Sheriff,4/11/2020,05:00:00PM,SO20-105036,BRGC,BURGLARY-VEHICLE,100 Block of STEEPLECHASE LN ,PINELLAS SO,34684
Sheriff,4/11/2020,09:00:00PM,SO20-105217,ADR,ASSAULT,2200 Block of COIT RD ,PINELLAS SO,33764
Sheriff,4/12/2020,12:00:00PM,SO20-105730,BRGC,BURGLARY-VEHICLE,200 Block of WOODLAKE WYNDE ,PINELLAS SO,34677
Gulfport PD,4/12/2020,03:53:00AM,GP20-7793,BRGC,BURGLARY-VEHICLE,1300 Block of 60TH ST S ,GULFPORT,33707
Largo PD,4/6/2020,02:46:00AM,20003052,0640,THEFT-PETIT,2100 Block of RIDGE RD SW ,LARGO,33778
Largo PD,4/8/2020,12:00:00PM,20003098,0680,THEFT-PETIT,400 Block of 3RD ST NW ,LARGO,33771
Gulfport PD,4/8/2020,08:00:00AM,GP20-7540,GT,THEFT-GRAND,5000 Block of GULFPORT BLVD S ,GULFPORT,33707
Sheriff,4/12/2020,03:33:00AM,SO20-105327,GTA,STOLEN VEHICLE,11300 Block of 122ND TER N ,PINELLAS SO,33778
Sheriff,4/11/2020,06:46:00PM,SO20-105144,TAWN,TRESPASS,6000 Block of 49TH ST N ,PINELLAS SO,33709
Clearwater PD,4/12/2020,12:00:00PM,CW20-54227,GT,THEFT-GRAND,2000 Block of GULF TO BAY BLVD ,CLEARWATER,33765
Largo PD,4/13/2020,05:00:00PM,20003185,0810,ASSAULT,900 Block of 4TH AVE NW ,LARGO,33770
Sheriff,4/13/2020,08:00:00PM,SO20-106245,BRGC,BURGLARY-VEHICLE,7100 Block of DANBURY WAY ,PINELLAS SO,33764
Treasure Island PD,4/13/2020,11:40:00AM,TI20-6517,TO,TRESPASS,10500 Block of GULF BLVD ,TREASURE ISLAND,33706
Sheriff,4/13/2020,09:13:00AM,SO20-106371,PT,THEFT-PETIT,2000 Block of GENTRY ST ,PINELLAS SO,33765
Sheriff,4/13/2020,12:00:00PM,SO20-106382,PT,THEFT-PETIT,10800 Block of 1ST LN N ,PINELLAS SO,33702
Clearwater PD,4/14/2020,08:11:00PM,CW20-55572,TAWN,TRESPASS,500 Block of PARK ST ,CLEARWATER,33756
Sheriff,4/12/2020,01:11:00AM,SO20-105298,BRGB,BURGLARY-BUSINESS,1400 Block of PINEHURST RD ,DUNEDIN,34698
Tarpon Springs PD,4/1/2020,11:31:00AM,TS20-8728,FTPC,THEFT-GRAND,41200 Block of US HIGHWAY 19 N ,TARPON SPRINGS,34689
Largo PD,3/31/2020,09:00:00AM,20002897,0810,ASSAULT,6900 Block of ULMERTON RD ,LARGO,33764
