AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,6/12/2019,09:00:00 AM,SO19-185154,ABCO,BURGLARY-VEHICLE,10100 Block of 106TH TERR N,PINELLAS SO,33773
Sheriff,6/4/2019,06:58:00 PM,SO19-175851,BBD,BATTERY ,14400 Block of 49TH ST N,PINELLAS SO,33762
Tarpon Springs PD,6/5/2019,05:42:00 PM,TS19-13890,RFF,WEAPON,400 Block of S HUEY AVE,TARPON SPRINGS,34689
Sheriff,6/9/2019,12:00:00 PM,SO19-181564,PT,THEFT-PETIT,16400 Block of US HIGHWAY 19 N,PINELLAS SO,33764
Clearwater PD,6/2/2019,12:00:00 AM,CW19-87267,BAT,BATTERY,1300 Block of COURT ST,CLEARWATER,33756
Sheriff,6/9/2019,02:27:00 AM,SO19-181063,BRGB,BURGLARY-BUSINESS,1300 Block of TAMPA RD,PINELLAS SO,34683
Sheriff,6/10/2019,10:00:00 PM,SO19-183326,MPA,MISSING PERSON,1500 Block of PASADENA AVE S,SOUTH PASADENA,33707
Tarpon Springs PD,6/9/2019,09:00:00 PM,TS19-14213,BRGR,BURGLARY-RESIDENCE,100 Block of N PINELLAS AVE,TARPON SPRINGS,34689
Sheriff,6/12/2019,11:04:00 PM,SO19-185704,GT,THEFT-GRAND,200 Block of WHISPER LAKE RD,PINELLAS SO,34683
Sheriff,6/2/2019,05:26:00 AM,SO19-173192,GTA,STOLEN VEHICLE,900 Block of CANINO CT,PINELLAS SO,34683
Clearwater PD,6/13/2019,04:00:00 PM,CW19-92527,PT,THEFT-PETIT,SUNSET POINT RD & N BETTY LN,CLEARWATER,33755
Clearwater PD,6/8/2019,12:40:00 AM,CW19-89989,PTS,THEFT-SHOPLIFTING,2800 Block of GULF TO BAY BLVD,CLEARWATER,33759
Sheriff,6/13/2019,10:55:00 AM,SO19-186230,TAWN,TRESPASS,6600 Block of 54TH AVE N,PINELLAS SO,33709
Sheriff,6/8/2019,04:50:00 PM,SO19-180789,AL,ALARM,10800 Block of 109TH WAY N,PINELLAS SO,33778
Sheriff,6/13/2019,02:37:00 PM,SO19-186471,GT,THEFT-GRAND,1400 Block of NURSERY RD,PINELLAS SO,33756
Sheriff,6/14/2019,07:00:00 PM,SO19-187279,GT,THEFT-GRAND,14800 Block of 49TH ST N,PINELLAS SO,33762
Sheriff,6/11/2019,12:00:00 AM,SO19-184184,GTA,STOLEN VEHICLE,4800 Block of 66TH ST N,PINELLAS SO,33709
Sheriff,6/5/2019,09:30:00 PM,SO19-177858,BAT,BATTERY,30TH ST N & 62ND AVE N,PINELLAS SO,33702
Indian Shores PD,6/4/2019,09:15:00 AM,IS19-9286,BAT,BATTERY,19300 Block of GULF BLVD,INDIAN SHORES,33785
Sheriff,5/31/2019,11:34:00 PM,SO19-171874,AB,BATTERY-AGGRAVATED,800 Block of MAIN ST,SAFETY HARBOR,34695
Sheriff,6/12/2019,07:00:00 PM,SO19-185631,PT,THEFT-PETIT,700 Block of ALT 19, PALM HARBOR, 34683,PINELLAS SO,34683
Tarpon Springs PD,6/5/2019,12:00:00 PM,TS19-13869,BRGS,BURGLARY-STRUCTURE,38800 Block of US HIGHWAY 19 N,TARPON SPRINGS,34689
Sheriff,6/2/2019,10:12:00 AM,SO19-173411,RFF,WEAPON,2200 Block of SWEDISH DR,PINELLAS SO,33763
