AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,10/21/2023,04:00:00PM,CW23-154567,MPJU,MISSING PERSON,600 Block of 2ND AVE NE ,ST PETERSBURG,33701
Tarpon Springs PD,10/21/2023,01:20:00AM,TS23-31330,PT,THEFT-PETIT,1000 Block of N PINELLAS AVE ,TARPON SPRINGS,34689
Sheriff,10/21/2023,11:25:00AM,SO23-343062,B65,BATTERY ,400 Block of DAVENTRY SQ ,PINELLAS SO,34683
Clearwater PD,10/21/2023,12:00:00PM,CW23-154569,BRGC,BURGLARY-VEHICLE,3000 Block of LEANNE CT ,CLEARWATER,33759
Clearwater PD,10/21/2023,11:45:00AM,SO23-343077,TAWN,TRESPASS,1600 Block of S MARTIN LUTHER KING JR ,CLEARWATER,33756
Clearwater PD,10/20/2023,09:30:00PM,CW23-154381,BAT,BATTERY,1400 Block of FRANKLIN ST ,CLEARWATER,33756
Clearwater PD,10/21/2023,06:10:00PM,CW23-154750,BAT,BATTERY,1100 Block of ENGMAN ST ,CLEARWATER,33755
Sheriff,10/28/2023,10:00:00PM,SO23-351020,GTR,THEFT-GRAND,9900 Block of 108TH ST N ,PINELLAS SO,33772
Clearwater PD,10/29/2023,12:30:00AM,CW23-158666,GT,THEFT-GRAND,2900 Block of GULF TO BAY BLVD ,CLEARWATER,33759
Kenneth City PD,10/28/2023,12:00:00AM,KC23-31666,BAT,BATTERY,4200 Block of 66TH ST N ,KENNETH CITY,33709
Clearwater PD,10/24/2023,03:16:00PM,CW23-156244,TAWN,TRESPASS,1600 Block of S MARTIN LUTHER KING JR ,CLEARWATER,33756
Sheriff,10/29/2023,03:52:00AM,SO23-351192,BRGR,BURGLARY-RESIDENCE,10700 Block of HAMLIN BLVD ,PINELLAS SO,33774
Clearwater PD,10/29/2023,06:00:00PM,CW23-158965,PT,THEFT-PETIT,900 Block of N MARTIN LUTHER KING JR ,CLEARWATER,33755
Sheriff,10/22/2023,10:00:00PM,SO23-344114,BRGC,BURGLARY-VEHICLE,31100 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Sheriff,10/22/2023,04:41:00AM,SO23-343690,MPJU,MISSING PERSON,12600 Block of WILCOX RD ,PINELLAS SO,33774
Clearwater PD,10/19/2023,09:00:00PM,CW23-153885,BAT,BATTERY,900 Block of SEMINOLE ST ,CLEARWATER,33755
Sheriff,10/22/2023,03:30:00PM,SO23-344552,PT,THEFT-PETIT,1300 Block of BAY HARBOR DR ,PINELLAS SO,34685
Clearwater PD,10/29/2023,12:00:00AM,CW23-158890,GT,THEFT-GRAND,800 Block of COURT ST ,CLEARWATER,33756
Clearwater PD,10/29/2023,10:00:00PM,CW23-158919,GT,THEFT-GRAND,2400 Block of ENTERPRISE RD ,CLEARWATER,33763
Clearwater PD,10/28/2023,11:00:00PM,CW23-158549,FB,BATTERY,1300 Block of S MARTIN LUTHER KING JR ,CLEARWATER,33756
Sheriff,10/27/2023,09:00:00PM,SO23-350226,GTV,THEFT-GRAND,8600 Block of BURNING TREE CIR ,SEMINOLE,33777
Clearwater PD,10/21/2023,09:49:00AM,CW23-154581,PT,THEFT-PETIT,1700 Block of SCOTT ST ,CLEARWATER,33755
Sheriff,10/20/2023,11:00:00PM,SO23-341936,GTV,THEFT-GRAND,100 Block of 10TH ST E ,PINELLAS SO,33715
Sheriff,10/20/2023,10:31:00PM,SO23-342648,TAWN,TRESPASS,6100 Block of 32ND ST N ,PINELLAS SO,33702
Sheriff,10/27/2023,09:46:00PM,SO23-350210,GTA,STOLEN VEHICLE,52ND ST N & PARK BLVD N,PINELLAS PARK,33781
Sheriff,10/22/2023,03:00:00PM,SO23-343834,GT,THEFT-GRAND,3600 Block of E BAY DR ,LARGO,33771
