AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,8/2/2021,09:42:00AM,SO21-212806,TSC,TRESPASS,3600 Block of E BAY DR ,LARGO,33771
Sheriff,8/3/2021,12:00:00AM,SO21-213977,TSC,TRESPASS,6300 Block of 54TH AVE N ,PINELLAS SO,33709
Sheriff,8/3/2021,03:30:00AM,SO21-213681,SBR,BATTERY-SEXUAL,34TH ST N & 64TH AVE N,PINELLAS PARK,33781
Clearwater PD,8/3/2021,06:00:00PM,CW21-95929,GTTB,THEFT-GRAND,27000 Block of US HIGHWAY 19 N ,CLEARWATER,33761
Sheriff,8/3/2021,04:00:00PM,SO21-213865,BRGB,BURGLARY-BUSINESS,11500 Block of SEMINOLE BLVD ,PINELLAS SO,33778
Gulfport PD,8/2/2021,12:00:00AM,GP21-14160,BRGC,BURGLARY-VEHICLE,3000 Block of 52ND ST S ,GULFPORT,33707
Clearwater PD,8/3/2021,01:15:00PM,CW21-95847,MPJU,MISSING PERSON,2800 Block of HOMEWOOD ST ,CLEARWATER,33759
Sheriff,8/1/2021,08:20:00PM,SO21-212379,B65,BATTERY ,8500 Block of PARK BLVD N ,PINELLAS SO,33777
Sheriff,8/2/2021,12:00:00AM,SO21-213017,PT,THEFT-PETIT,6700 Block of 298TH AVE N ,PINELLAS SO,33761
Sheriff,8/1/2021,09:00:00AM,SO21-212320,BRGR,BURGLARY-RESIDENCE,12800 Block of US HIGHWAY 19 N ,PINELLAS SO,33764
Sheriff,8/1/2021,01:30:00PM,SO21-212071,FBPC,BATTERY,5000 Block of 34TH ST N ,PINELLAS SO,33714
Sheriff,8/2/2021,04:18:00PM,SO21-213207,MPJU,MISSING PERSON,8400 Block of ULMERTON RD ,PINELLAS SO,33771
Sheriff,8/2/2021,04:56:00PM,SO21-213222,LSAP,TRAFFIC ACCIDENT,102ND AVE N & 113TH ST N,SEMINOLE,33778
Clearwater PD,8/5/2021,06:00:00PM,CW21-96648,PT,THEFT-PETIT,2600 Block of COUNTRYSIDE BLVD ,CLEARWATER,33761
Sheriff,8/6/2021,01:36:00AM,SO21-216823,PT,THEFT-PETIT,4900 Block of 34TH ST N ,PINELLAS SO,33714
Clearwater PD,8/6/2021,11:30:00PM,CW21-97074,GTA,STOLEN VEHICLE,1000 Block of SEDEEVA ST ,CLEARWATER,33755
Sheriff,8/2/2021,12:00:00AM,SO21-213017,GT,THEFT-GRAND,6700 Block of 298TH AVE N ,PINELLAS SO,33761
Sheriff,8/7/2021,10:27:00AM,SO21-218224,MPJE,MISSING PERSON,100 Block of MAIN ST ,SAFETY HARBOR,34695
Sheriff,8/7/2021,06:44:00AM,SO21-218564,GTA,STOLEN VEHICLE,2500 Block of ARBELIA ST ,PINELLAS SO,33763
Clearwater PD,8/8/2021,12:58:00AM,CW21-97859,BAT,BATTERY,600 Block of S GULFVIEW BLVD ,CLEARWATER,33767
Tarpon Springs PD,8/7/2021,08:30:00PM,SO21-218108,BRGC,BURGLARY-VEHICLE,38700 Block of US HIGHWAY 19 N ,TARPON SPRINGS,34689
Treasure Island PD,8/8/2021,01:00:00PM,TI21-16998,BAT,BATTERY,10600 Block of GULF BLVD ,TREASURE ISLAND,33706
Sheriff,8/8/2021,12:00:00AM,SO21-219325,PTS,THEFT-SHOPLIFTING,30100 Block of US HIGHWAY 19 N ,PINELLAS SO,33761
Clearwater PD,8/8/2021,08:30:00AM,CW21-97998,MPJU,MISSING PERSON,2000 Block of LOS LOMAS DR ,CLEARWATER,33763
