AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,3/13/2019,12:00:00 PM,SO19-79742,PT,THEFT-PETIT,1900 Block of LILLIAN AVE,PINELLAS SO,34689
Clearwater PD,3/13/2019,03:40:00 PM,CW19-41554,GTS,THEFT-SHOPLIFTING,2600 Block of GULF TO BAY BLVD,CLEARWATER,33759
Pinellas Park PD,3/11/2019,03:20:00 PM,201900020297,08B,BATTERY,4700 Block of PARK BLVD,PINELLAS PARK,null
Clearwater PD,2/28/2019,05:00:00 PM,CW19-33669,GT,THEFT-GRAND,27000 Block of US HIGHWAY 19 N,CLEARWATER,33761
Treasure Island PD,3/13/2019,11:30:00 AM,TI19-4263,LSWU,TRAFFIC ACCIDENT,9000 Block of W GULF BLVD,TREASURE ISLAND,33706
Sheriff,3/3/2019,10:55:00 AM,SO19-67435,RSVO,STOLEN VEHICLE - REC,3800 Block of 45TH AVE N,PINELLAS SO,33714
Clearwater PD,3/12/2019,11:40:00 AM,CW19-40774,ROBA,ROBBERY-ARMED,2200 Block of NURSERY RD,CLEARWATER,33764
Sheriff,3/8/2019,04:55:00 PM,SO19-73552,PTS,THEFT-SHOPLIFTING,3900 Block of TAMPA RD,OLDSMAR,34677
Sheriff,3/11/2019,10:28:00 PM,SO19-77208,BAT,BATTERY,13600 Block of GULF BLVD,MADEIRA BEACH,33708
Pinellas Park PD,2/28/2019,10:43:00 AM,201900017901,06A,THEFT-GRAND,9500 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Gulfport PD,3/1/2019,04:00:00 AM,GP19-4682,GTA,STOLEN VEHICLE,5TH AVE N & PARK ST N,ST PETERSBURG,33710
Pinellas Park PD,3/1/2019,01:52:00 AM,201900018007,08B,BATTERY,6200 Block of 108TH AVE,PINELLAS PARK,null
Gulfport PD,3/3/2019,09:30:00 PM,GP19-4879,BRGC,BURGLARY-VEHICLE,5900 Block of 9TH AVE S,GULFPORT,33707
Clearwater PD,3/4/2019,10:00:00 PM,CW19-35831,BRGC,BURGLARY-VEHICLE,1500 Block of SCRANTON AVE,CLEARWATER,33756
Clearwater PD,3/1/2019,09:00:00 AM,CW19-34169,PT,THEFT-PETIT,1000 Block of LASALLE ST,CLEARWATER,33755
Sheriff,3/3/2019,11:27:00 PM,SO19-68171,BRGC,BURGLARY-VEHICLE,8100 Block of 81ST WAY N,PINELLAS SO,33777
Sheriff,3/12/2019,10:00:00 PM,SO19-78235,ABCO,BURGLARY-VEHICLE,1600 Block of STEVENSONS DR,PINELLAS SO,33755
