AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Clearwater PD,5/11/2017,04:12:00 AM,CW17-67531,ROBA,ROBBERY-ARMED,1600 Block of GULF TO BAY BLVD,CLEARWATER,33755
Sheriff,5/10/2017,03:00:00 PM,SO17-148302,PT,THEFT-PETIT,1600 Block of DOUGLAS AVE,DUNEDIN,34698
Clearwater PD,5/3/2017,01:00:00 PM,CW17-63678,PT,THEFT-PETIT,00 Block of CAUSEWAY BLVD,CLEARWATER,33767
Sheriff,4/30/2017,09:35:00 PM,SO17-134637,BAT,BATTERY,5500 Block of WILLIAMSDALE CT,PINELLAS SO,33772
Sheriff,5/11/2017,11:39:00 PM,SO17-150105,A,ASSAULT,1200 Block of BAYSHORE BLVD,DUNEDIN,34698
Sheriff,5/4/2017,10:00:00 PM,SO17-139480,GT,THEFT-GRAND,7500 Block of BLIND PASS RD,ST PETE BEACH,33706
Largo PD,5/7/2017,07:15:00 PM,17004693,0810,ASSAULT,7500 Block of 142ND AVE N,LARGO,33771
Sheriff,5/8/2017,07:06:00 AM,SO17-144392,BRGC,BURGLARY-VEHICLE,100 Block of 11TH AVE,INDIAN ROCKS BEACH,33785
Largo PD,5/11/2017,06:44:00 AM,17004823,1530,WEAPON,1300 Block of CHESTERFIELD DR,CLEARWATER,33756
Sheriff,5/8/2017,05:43:00 PM,SO17-145323,TAWN,TRESPASS,15400 Block of WAVERLY ST,PINELLAS SO,33760
Largo PD,5/7/2017,11:59:00 AM,17004674,0510,BURGLARY-STRUCTURE,7200 Block of ULMERTON RD,LARGO,33770
Sheriff,5/14/2017,10:50:00 AM,SO17-152934,PT,THEFT-PETIT,5400 Block of 66TH ST N,PINELLAS SO,33709
Clearwater PD,5/5/2017,09:00:00 PM,CW17-64613,BRGC,BURGLARY-VEHICLE,2500 Block of COUNTRYSIDE BLVD,CLEARWATER,33761
Sheriff,5/13/2017,08:00:00 PM,SO17-151565,GTA,STOLEN VEHICLE,10300 Block of 67TH AVE N,PINELLAS SO,33772
Clearwater PD,5/7/2017,03:20:00 PM,CW17-65701,GT,THEFT-GRAND,500 Block of S MISSOURI AVE,CLEARWATER,33756
Clearwater PD,5/9/2017,11:30:00 AM,CW17-66788,BRGC,BURGLARY-VEHICLE,1100 Block of ENGMAN ST,CLEARWATER,33755
Largo PD,5/14/2017,Unknown,17004929,0660,THEFT-PETIT,null,LARGO,33774
PCPO,5/11/2017,11:00:00 AM,PS17-3962,BAT,BATTERY,900 Block of 34TH ST S,ST PETERSBURG,33711
Largo PD,5/10/2017,12:50:00 AM,17004769,2670,TRESPASS,15700 Block of US HIGHWAY 19 N,CLEARWATER,33760
Sheriff,5/2/2017,10:30:00 PM,SO17-136352,BRGC,BURGLARY-VEHICLE,8500 Block of 94TH AVE N,PINELLAS SO,33777
Largo PD,5/4/2017,Unknown,17004563,0710,STOLEN VEHICLE,null,LARGO,33770
Largo PD,4/30/2017,Unknown,17004413,0680,THEFT-PETIT,null,LARGO,33771
Sheriff,5/7/2017,01:20:00 PM,SO17-143477,PTS,THEFT-SHOPLIFTING,30100 Block of US HIGHWAY 19 N,PINELLAS SO,33761
Pinellas Park PD,5/10/2017,12:00:00 AM,201700036123,06B,THEFT-PETIT,8200 Block of 45TH ST,PINELLAS PARK,null
Pinellas Park PD,5/8/2017,07:45:00 PM,201700035742,06B,THEFT-PETIT,8400 Block of 49TH ST,PINELLAS PARK,null
