AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Tarpon Springs PD,3/16/2023,09:25:00PM,TS23-7143,LSWU,TRAFFIC ACCIDENT,US HIGHWAY 19 N & E MLK DR,TARPON SPRINGS,34689
Clearwater PD,3/17/2023,11:46:00AM,CW23-41196,CM,VANDAL/CRIM MISCH,2600 Block of GULF TO BAY BLVD ,CLEARWATER,33759
Sheriff,3/17/2023,01:20:00PM,SO23-86958,GT,THEFT-GRAND,300 Block of DOUGLAS AVE ,DUNEDIN,34698
Sheriff,3/25/2023,12:00:00AM,SO23-96198,BRGC,BURGLARY-VEHICLE,11700 Block of 84TH AVE N ,PINELLAS SO,33772
Clearwater PD,3/25/2023,11:05:00PM,CW23-45814,PT,THEFT-PETIT,400 Block of POINSETTIA AVE ,CLEARWATER,33767
Clearwater PD,3/26/2023,03:00:00AM,CW23-45864,BRGR,BURGLARY-RESIDENCE,600 Block of FAIRWOOD AVE ,CLEARWATER,33759
Sheriff,3/25/2023,01:30:00PM,SO23-96399,CM,VANDAL/CRIM MISCH,3200 Block of LAUREL AVE ,PINELLAS SO,33762
Clearwater PD,3/16/2023,06:00:00PM,CW23-40845,CM,VANDAL/CRIM MISCH,0 Block of DEVON DR ,CLEARWATER,33767
Sheriff,3/17/2023,02:32:00PM,SO23-86530,CMF,VANDAL/CRIM MISCH,17100 Block of GULF BLVD ,N REDINGTON BEACH,33708
Sheriff,3/17/2023,02:50:00PM,SO23-87029,GT,THEFT-GRAND,3700 Block of DE SOTO BLVD ,PINELLAS SO,34683
Clearwater PD,3/17/2023,11:00:00PM,CW23-41143,BRGC,BURGLARY-VEHICLE,600 Block of ALDEN AVE ,CLEARWATER,33755
Sheriff,3/24/2023,06:24:00PM,SO23-95054,PTS,THEFT-SHOPLIFTING,4400 Block of 66TH ST N ,PINELLAS SO,33709
Sheriff,3/17/2023,03:00:00PM,SO23-87200,BRGC,BURGLARY-VEHICLE,2200 Block of E LAKE RD ,PINELLAS SO,34685
Clearwater PD,3/18/2023,04:50:00PM,CW23-41764,GTTB,THEFT-GRAND,800 Block of MANDALAY AVE ,CLEARWATER,33767
Sheriff,3/17/2023,04:30:00PM,SO23-87102,BAT,BATTERY,12700 Block of 82ND AVE N ,PINELLAS SO,33776
Sheriff,3/18/2023,06:40:00AM,SO23-87803,GT,THEFT-GRAND,14700 Block of TERMINAL BLVD ,PINELLAS SO,33762
Sheriff,3/17/2023,11:26:00PM,SO23-87479,TAWN,TRESPASS,4000 Block of TAMPA RD ,OLDSMAR,34677
Sheriff,3/26/2023,12:00:00AM,SO23-97405,PT,THEFT-PETIT,3600 Block of 53RD AVE N ,PINELLAS SO,33714
Sheriff,3/25/2023,02:55:00PM,SO23-95994,GTA,STOLEN VEHICLE,US HIGHWAY 19 N & HAMMOCK PINE BLVD,PINELLAS SO,33761
Sheriff,3/26/2023,01:20:00PM,SO23-96779,BRGR,BURGLARY-RESIDENCE,6800 Block of SEA GULL DR S ,PINELLAS SO,33707
Treasure Island PD,3/25/2023,08:36:00PM,TI23-7097,BAT,BATTERY,8800 Block of W GULF BLVD ,TREASURE ISLAND,33706
Sheriff,3/26/2023,12:00:00PM,SO23-96979,BRGR,BURGLARY-RESIDENCE,8700 Block of MERRIMOOR BLVD E ,PINELLAS SO,33777
Sheriff,3/17/2023,12:28:00PM,SO23-86924,BRGC,BURGLARY-VEHICLE,7000 Block of 72ND ST N ,PINELLAS SO,33781
Clearwater PD,3/18/2023,10:00:00AM,CW23-41616,GT,THEFT-GRAND,1300 Block of WOODBINE ST ,CLEARWATER,33755
Sheriff,3/26/2023,12:00:00PM,SO23-97330,PT,THEFT-PETIT,11500 Block of SEMINOLE BLVD ,PINELLAS SO,33778
Sheriff,3/27/2023,02:57:00AM,SO23-97785,BRGC,BURGLARY-VEHICLE,4300 Block of 28TH ST N ,PINELLAS SO,33714
Sheriff,3/26/2023,09:10:00PM,SO23-97533,MPJU,MISSING PERSON,4500 Block of 78TH LN N ,PINELLAS SO,33709
Sheriff,3/27/2023,11:30:00AM,SO23-98224,PT,THEFT-PETIT,14200 Block of 49TH ST N ,PINELLAS SO,33762
Clearwater PD,3/26/2023,08:47:00PM,CW23-46269,GTA,STOLEN VEHICLE,S BELCHER RD & GULF TO BAY BLVD,CLEARWATER,33765
Sheriff,3/26/2023,05:00:00PM,SO23-96780,BRGC,BURGLARY-VEHICLE,3200 Block of 40TH AVE N ,PINELLAS SO,33714
