AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,6/28/2017,12:00:00 PM,SO17-210408,PT,THEFT-PETIT,5700 Block of CALAIS BLVD N,PINELLAS SO,33714
Clearwater PD,6/26/2017,11:00:00 AM,CW17-90588,BRGC,BURGLARY-VEHICLE,00 Block of ROCKAWAY ST,CLEARWATER,33767
Sheriff,6/15/2017,08:18:00 PM,SO17-194908,TW,TRESPASS,600 Block of 9TH AVE S,SAFETY HARBOR,34695
Sheriff,6/26/2017,05:00:00 PM,SO17-208145,PTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD,SEMINOLE,33708
Pinellas Park PD,6/15/2017,08:00:00 AM,201700046990,06B,THEFT-PETIT,6200 Block of 109TH TERR,PINELLAS PARK,null
Clearwater PD,6/23/2017,03:15:00 PM,CW17-88986,BAT,BATTERY,3400 Block of LANDMARK DR,CLEARWATER,33761
Largo PD,6/18/2017,11:00:00 AM,17006145,0690,THEFT-PETIT,200 Block of 14TH ST SW,LARGO,33770
Pinellas Park PD,6/19/2017,10:00:00 AM,201700048082,06B,THEFT-PETIT,6300 Block of 60TH ST,PINELLAS PARK,null
Clearwater PD,6/15/2017,06:00:00 PM,CW17-85085,GT,THEFT-GRAND,18600 Block of US HIGHWAY 19 N,CLEARWATER,33764
Sheriff,6/29/2017,01:39:00 AM,SO17-211042,BRGC,BURGLARY-VEHICLE,6100 Block of 59TH PL N,PINELLAS SO,33709
Sheriff,6/16/2017,08:10:00 PM,SO17-196207,TAWN,TRESPASS,6100 Block of GULF BLVD,ST PETE BEACH,33706
Sheriff,6/26/2017,01:30:00 PM,SO17-208507,MPA,MISSING PERSON,3500 Block of MERIDEN AVE,OLDSMAR,34677
Sheriff,6/16/2017,08:00:00 AM,SO17-195875,GT,THEFT-GRAND,3100 Block of STATE RD 580,PINELLAS SO,34695
Sheriff,6/22/2017,09:00:00 PM,SO17-203658,BRGC,BURGLARY-VEHICLE,500 Block of 9TH AVE S,SAFETY HARBOR,34695
Gulfport PD,6/16/2017,06:00:00 PM,GP17-13216,PT,THEFT-PETIT,1000 Block of 49TH ST S,GULFPORT,33707
Largo PD,6/23/2017,11:30:00 PM,17006314,0510,BURGLARY-STRUCTURE,1100 Block of CLEARWATER LARGO RD N,LARGO,33770
Pinellas Park PD,6/15/2017,09:41:00 PM,201700047087,05D,TRESPASS,5500 Block of 97TH TERR,PINELLAS PARK,null
Sheriff,6/17/2017,06:00:00 PM,SO17-196717,GT,THEFT-GRAND,6600 Block of 48TH AVE N,PINELLAS SO,33709
Sheriff,6/20/2017,10:45:00 AM,SO17-200400,BRGR,BURGLARY-RESIDENCE,5700 Block of HAINES RD,PINELLAS SO,33714
Gulfport PD,6/22/2017,07:58:00 PM,GP17-13659,BAT,BATTERY,1800 Block of YORK ST S,GULFPORT,33707
Clearwater PD,6/28/2017,11:15:00 AM,CW17-91506,BRGC,BURGLARY-VEHICLE,300 Block of N MYRTLE AVE,CLEARWATER,33755
Sheriff,6/24/2017,01:32:00 PM,SO17-205489,ABCO,BURGLARY-VEHICLE,2400 Block of INDIGO DR,PINELLAS SO,33763
Tarpon Springs PD,6/22/2017,06:37:00 AM,TS17-18148,GTA,STOLEN VEHICLE,41000 Block of US HIGHWAY 19 N,TARPON SPRINGS,34689
Clearwater PD,6/26/2017,07:00:00 PM,CW17-90628,BRGS,BURGLARY-STRUCTURE,2300 Block of GULF TO BAY BLVD,CLEARWATER,33765
Clearwater PD,6/25/2017,12:01:00 AM,CW17-90071,PT,THEFT-PETIT,DREW ST & CLEVELAND ST,CLEARWATER,33755
Clearwater PD,6/27/2017,06:00:00 PM,CW17-91192,BRGC,BURGLARY-VEHICLE,21700 Block of US HIGHWAY 19 N,CLEARWATER,33765
Tarpon Springs PD,6/27/2017,05:00:00 PM,TS17-18698,LSAP,TRAFFIC ACCIDENT,ALT 19 & ANCLOTE BLVD,TARPON SPRINGS,34689
Clearwater PD,6/22/2017,06:42:00 PM,CW17-88401,BRGC,BURGLARY-VEHICLE,1000 Block of GULF BLVD,CLEARWATER,33767
Pinellas Park PD,6/25/2017,11:24:00 PM,201700049594,05C,BURGLARY-VEHICLE,10100 Block of 66TH ST,PINELLAS PARK,null
Sheriff,6/26/2017,Unknown,SO17-208449,GTA,STOLEN VEHICLE,5TH AVE S & 34TH ST S,ST PETERSBURG,33711
Sheriff,6/26/2017,08:00:00 AM,SO17-207601,GT,THEFT-GRAND,4700 Block of 126TH AVE N,PINELLAS SO,33762
Sheriff,6/23/2017,04:55:00 PM,SO17-204567,BRGC,BURGLARY-VEHICLE,6800 Block of SUNSET WAY,ST PETE BEACH,33706
Clearwater PD,6/29/2017,02:13:00 AM,CW17-91890,BOL,BATTERY,2200 Block of GULF TO BAY BLVD,CLEARWATER,33765
Largo PD,6/16/2017,10:30:00 AM,17006067,0660,THEFT-PETIT,500 Block of ROSERY RD NW,LARGO,33770
Largo PD,6/22/2017,10:38:00 PM,17006352,0810,ASSAULT,800 Block of 13TH CT SW,LARGO,33770
Largo PD,6/25/2017,05:20:00 PM,17006407,0810,ASSAULT,2100 Block of EAST BAY DR,LARGO,33770
Gulfport PD,6/15/2017,08:00:00 AM,GP17-13099,B65,BATTERY ,1400 Block of 59TH ST S,GULFPORT,33707
Clearwater PD,6/25/2017,01:30:00 PM,CW17-89970,BRGC,BURGLARY-VEHICLE,1000 Block of GULF BLVD,CLEARWATER,33767
Clearwater PD,6/28/2017,06:30:00 AM,CW17-91363,FBPC,BATTERY,800 Block of DRUID RD,CLEARWATER,33756
Largo PD,6/25/2017,10:00:00 AM,17006398,0810,ASSAULT,11400 Block of 137TH ST N,LARGO,33774
Clearwater PD,6/20/2017,07:07:00 AM,CW17-87365,BRGC,BURGLARY-VEHICLE,1200 Block of S HILLCREST AVE,CLEARWATER,33756
Clearwater PD,6/22/2017,04:20:00 PM,CW17-88512,PTS,THEFT-SHOPLIFTING,23100 Block of US HIGHWAY 19 N,CLEARWATER,33765
Sheriff,6/19/2017,02:00:00 PM,SO17-199449,PT,THEFT-PETIT,6600 Block of 54TH AVE N,PINELLAS SO,33709
Treasure Island PD,6/23/2017,04:20:00 PM,TI17-10240,TAWN,TRESPASS,100 Block of BLK 107TH AVE,TREASURE ISLAND,33706
Largo PD,6/21/2017,04:00:00 AM,17006234,0710,STOLEN VEHICLE,2600 Block of ROOSEVELT BLVD,CLEARWATER,33770
