AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Pinellas Park PD,7/16/2023,08:00:00 AM,201700057302,06B,THEFT-PETIT,3500 Block of ULMERTON RD,PINELLAS PARK,null
Sheriff,7/15/2023,04:40:00PM,SO23-230488,BRGB,BURGLARY-BUSINESS,13500 Block of 66TH ST N ,PINELLAS SO,33771
Clearwater PD,7/27/2023,03:30:00PM,CW23-108957,B65,BATTERY ,300 Block of MCMULLEN BOOTH RD S ,CLEARWATER,33759
Gulfport PD,7/15/2023,05:40:00AM,GP23-10750,BRGC,BURGLARY-VEHICLE,5100 Block of 27TH AVE S ,GULFPORT,33707
Sheriff,7/15/2023,02:12:00PM,SO23-230759,CMM,VANDAL/CRIM MISCH,35400 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Tarpon Springs PD,7/23/2023,12:44:00AM,TS23-20501,BRGC,BURGLARY-VEHICLE,1400 Block of RIVER OAKS DR ,TARPON SPRINGS,34689
Sheriff,7/23/2023,03:49:00PM,SO23-239821,BCNE,BURGLARY-VEHICLE,2700 Block of 60TH AVE N ,PINELLAS SO,33714
Sheriff,7/19/2023,08:20:00PM,SO23-236095,LSAP,TRAFFIC ACCIDENT,500 Block of MAIN ST ,DUNEDIN,34698
Clearwater PD,7/30/2023,03:00:00AM,CW23-110626,BRGC,BURGLARY-VEHICLE,1300 Block of MELONWOOD AVE ,CLEARWATER,33759
Sheriff,7/30/2023,11:00:00PM,SO23-248429,BRC,BURGLARY-RESIDENCE,100 Block of E GRAPEFRUIT CIR ,PINELLAS SO,33759
Sheriff,7/30/2023,01:00:00AM,SO23-248394,BRGC,BURGLARY-VEHICLE,2700 Block of NAVEL DR ,PINELLAS SO,33759
Sheriff,7/30/2023,12:30:00PM,SO23-248488,TAWN,TRESPASS,6800 Block of GULFPORT BLVD S ,SOUTH PASADENA,33707
Sheriff,7/30/2023,06:00:00AM,SO23-248592,LSAP,TRAFFIC ACCIDENT,2800 Block of 46TH AVE N ,PINELLAS SO,33714
Sheriff,7/30/2023,02:39:00AM,SO23-248738,BRGC,BURGLARY-VEHICLE,100 Block of W GRAPEFRUIT CIR ,PINELLAS SO,33759
Sheriff,7/30/2023,11:00:00PM,SO23-248408,BRC,BURGLARY-RESIDENCE,100 Block of E GRAPEFRUIT CIR ,PINELLAS SO,33759
Clearwater PD,7/30/2023,12:00:00AM,CW23-110573,GTA,STOLEN VEHICLE,1900 Block of BYRAM DR ,CLEARWATER,33755
Sheriff,7/30/2023,06:40:00PM,SO23-248628,MPA,MISSING PERSON,1100 Block of E ROHE ST ,PINELLAS SO,34689
Sheriff,7/30/2023,04:00:00PM,SO23-248349,BRGC,BURGLARY-VEHICLE,2700 Block of KUMQUAT DR ,PINELLAS SO,33759
Clearwater PD,7/30/2023,03:00:00AM,CW23-110669,BRGC,BURGLARY-VEHICLE,1300 Block of MELONWOOD AVE ,CLEARWATER,33759
Clearwater PD,7/22/2023,03:10:00PM,CW23-106615,FTPC,THEFT-GRAND,1500 Block of GULF TO BAY BLVD ,CLEARWATER,33755
Sheriff,7/15/2023,04:11:00AM,SO23-230581,CM,VANDAL/CRIM MISCH,5100 Block of 42ND PL N ,PINELLAS SO,33709
Clearwater PD,7/15/2023,03:30:00AM,CW23-103274,PT,THEFT-PETIT,1100 Block of DRUID RD ,CLEARWATER,33756
