AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,11/7/2016,07:30:00 PM,SO16-446798,PT,THEFT-PETIT,3000 Block of LAKE VISTA DR,PINELLAS SO,33759
Sheriff,11/4/2016,10:00:00 PM,SO16-443267,BRGC,BURGLARY-VEHICLE,4100 Block of GRANDCHAMP CIR,PINELLAS SO,34685
Sheriff,11/6/2016,08:00:00 PM,SO16-445594,GTA,STOLEN VEHICLE,2000 Block of 23RD ST SW,PINELLAS SO,33774
Largo PD,11/1/2016,05:15:00 PM,16011531,0810,ASSAULT,1000 Block of 15TH AVE NW,LARGO,33770
Sheriff,11/2/2016,03:00:00 PM,SO16-441051,BRGC,BURGLARY-VEHICLE,200 Block of HARBOR VIEW LN,PINELLAS SO,33770
Pinellas Park PD,11/6/2016,10:25:00 AM,201600082695,08B,BATTERY,8900 Block of 49TH ST,PINELLAS PARK,null
Sheriff,11/10/2016,12:00:00 PM,SO16-449764,BRGC,BURGLARY-VEHICLE,300 Block of 1ST ST,INDIAN ROCKS BEACH,33785
Clearwater PD,11/14/2016,09:57:00 PM,CW16-160096,BRGC,BURGLARY-VEHICLE,2200 Block of GLENMOOR RD N,CLEARWATER,33764
Sheriff,11/8/2016,01:26:00 PM,SO16-447675,PTS,THEFT-SHOPLIFTING,100 Block of PATRICIA AVE,DUNEDIN,34698
Sheriff,11/10/2016,09:00:00 AM,SO16-450022,PT,THEFT-PETIT,3200 Block of 54TH AVE N,PINELLAS SO,33714
Sheriff,11/3/2016,03:00:00 PM,SO16-442557,BRGR,BURGLARY-RESIDENCE,5000 Block of 97TH WAY N,PINELLAS SO,33708
Largo PD,11/3/2016,11:32:00 AM,16011605,0650,THEFT-GRAND,14900 Block of ROOSEVELT BLVD,CLEARWATER,33770
Largo PD,11/4/2016,01:00:00 PM,16011635,0710,STOLEN VEHICLE,2300 Block of SETON LN,LARGO,33774
Sheriff,11/5/2016,02:15:00 PM,SO16-444266,GTA,STOLEN VEHICLE,4200 Block of 28TH ST N,PINELLAS SO,33714
Clearwater PD,11/3/2016,10:00:00 PM,CW16-154684,PT,THEFT-PETIT,2000 Block of N HIGHLAND AVE,CLEARWATER,33755
Gulfport PD,11/9/2016,10:00:00 PM,GP16-22358,BRGC,BURGLARY-VEHICLE,1600 Block of 55TH ST S,GULFPORT,33707
Gulfport PD,11/8/2016,01:00:00 PM,GP16-22309,PTS,THEFT-SHOPLIFTING,5000 Block of GULFPORT BLVD S,GULFPORT,33707
Gulfport PD,11/8/2016,10:00:00 PM,GP16-22340,BAT,BATTERY,4800 Block of 29TH AVE S,GULFPORT,33711
Largo PD,11/4/2016,06:02:00 PM,16011641,0810,ASSAULT,7300 Block of ULMERTON RD,LARGO,33771
Clearwater PD,11/4/2016,07:00:00 PM,CW16-155365,BRGS,BURGLARY-STRUCTURE,100 Block of N MYRTLE AVE,CLEARWATER,33755
