AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,5/31/2024,03:54:00PM,SO24-168230,PT,THEFT-PETIT,700 Block of FLORIDA AVE ,PINELLAS SO,34683
Clearwater PD,5/31/2024,10:00:00PM,CW24-79512,BRGC,BURGLARY-VEHICLE,1400 Block of MONROE AVE ,CLEARWATER,33755
Clearwater PD,5/31/2024,02:50:00PM,CW24-79596,CM,VANDAL/CRIM MISCH,900 Block of MCMULLEN BOOTH RD ,CLEARWATER,33759
Sheriff,5/31/2024,08:00:00PM,SO24-167684,BRGR,BURGLARY-RESIDENCE,15700 Block of MORGAN ST ,PINELLAS SO,33760
Sheriff,5/31/2024,03:55:00PM,SO24-168227,PTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD ,SEMINOLE,33708
Sheriff,6/1/2024,12:00:00AM,SO24-168975,GT,THEFT-GRAND,4500 Block of 34TH ST N ,PINELLAS SO,33714
Gulfport PD,6/1/2024,02:00:00PM,GP24-8906,CM,VANDAL/CRIM MISCH,ESSEX AVE S & BEACH BLVD S,GULFPORT,
Sheriff,6/1/2024,09:35:00PM,SO24-169352,TAWN,TRESPASS,8800 Block of PARK BLVD N ,SEMINOLE,33777
Clearwater PD,6/1/2024,02:49:00AM,CW24-79988,BRGS,BURGLARY-STRUCTURE,500 Block of MANDALAY AVE ,CLEARWATER,33767
Sheriff,5/31/2024,07:54:00PM,SO24-168421,B65,BATTERY ,14300 Block of 66TH ST N ,PINELLAS SO,33764
Clearwater PD,6/1/2024,12:00:00AM,CW24-79956,CM,VANDAL/CRIM MISCH,2000 Block of NUGGET DR ,CLEARWATER,33755
Tarpon Springs PD,6/1/2024,06:35:00AM,TS24-17042,BRGC,BURGLARY-VEHICLE,900 Block of DODECANESE BLVD ,TARPON SPRINGS,34689
Sheriff,5/31/2024,06:48:00PM,SO24-168357,PT,THEFT-PETIT,4900 Block of 34TH ST N ,PINELLAS SO,33714
Sheriff,6/1/2024,05:38:00PM,SO24-169165,PTS,THEFT-SHOPLIFTING,3800 Block of TAMPA RD ,OLDSMAR,34677
Clearwater PD,6/2/2024,05:00:00PM,CW24-80585,PT,THEFT-PETIT,0 Block of S MISSOURI AVE ,CLEARWATER,33755
Clearwater PD,6/1/2024,08:38:00PM,CW24-80146,BAT,BATTERY,600 Block of S GULFVIEW BLVD ,CLEARWATER,33767
Tarpon Springs PD,6/2/2024,03:30:00PM,TS24-17130,GT,THEFT-GRAND,100 Block of RAINVILLE RD ,TARPON SPRINGS,34689
Gulfport PD,6/2/2024,06:13:00PM,GP24-8938,LSAP,TRAFFIC ACCIDENT,2800 Block of BEACH BLVD S ,GULFPORT,33707
Treasure Island PD,6/3/2024,12:00:00AM,TI24-15332,CM,VANDAL/CRIM MISCH,11400 Block of 1ST ST E ,TREASURE ISLAND,33706
Sheriff,6/3/2024,01:10:00PM,SO24-171030,TAWN,TRESPASS,4400 Block of 66TH ST N ,PINELLAS SO,33709
Tarpon Springs PD,6/3/2024,12:00:00PM,TS24-17258,BRGC,BURGLARY-VEHICLE,1400 Block of BRIDGEWATER DR ,TARPON SPRINGS,34689
Sheriff,6/2/2024,06:56:00PM,SO24-170266,PT,THEFT-PETIT,7500 Block of 46TH AVE N ,PINELLAS SO,33709
Tarpon Springs PD,6/2/2024,02:30:00PM,TS24-17128,BRGB,BURGLARY-BUSINESS,100 Block of RAINVILLE RD ,TARPON SPRINGS,34689
Sheriff,6/3/2024,02:00:00PM,SO24-171175,CM,VANDAL/CRIM MISCH,700 Block of SMITH ST ,PINELLAS SO,33756
Sheriff,6/3/2024,07:30:00PM,SO24-171021,RSS,ROBBERY-UNARMED,100 Block of VETERANS MEMORIAL LN ,SAFETY HARBOR,34695
Sheriff,5/31/2024,10:35:00AM,SO24-167946,RFF,WEAPON,3800 Block of OLD MILL CT ,PINELLAS SO,34684
Sheriff,6/1/2024,09:34:00AM,SO24-169056,LSAP,TRAFFIC ACCIDENT,14700 Block of N BAYSHORE DR ,MADEIRA BEACH,33708
Sheriff,6/1/2024,12:54:00PM,SO24-169080,PTS,THEFT-SHOPLIFTING,4800 Block of PARK ST N ,SEMINOLE,33709
Treasure Island PD,6/1/2024,12:00:00AM,TI24-15134,PT,THEFT-PETIT,100 Block of 92ND AVE ,TREASURE ISLAND,33706
Clearwater PD,5/31/2024,01:17:00PM,CW24-79594,PT,THEFT-PETIT,1300 Block of FRIEND AVE ,CLEARWATER,33756
Sheriff,6/1/2024,02:43:00AM,SO24-168625,GTA,STOLEN VEHICLE,34TH ST N & 54TH AVE N,PINELLAS SO,33714
Sheriff,6/3/2024,08:44:00AM,SO24-170706,RSVO,STOLEN VEHICLE - REC,4500 Block of 45TH AVE N ,PINELLAS SO,33714
Sheriff,6/3/2024,12:45:00AM,SO24-170461,AL,ALARM,4000 Block of ULMERTON RD ,PINELLAS SO,33762
Sheriff,6/3/2024,07:00:00AM,SO24-171110,MPJU,MISSING PERSON,500 Block of 4TH AVE NE ,LARGO,33770
Clearwater PD,6/3/2024,12:00:00AM,CW24-80871,PT,THEFT-PETIT,1100 Block of N BAYSHORE BLVD ,CLEARWATER,33766
Treasure Island PD,6/3/2024,12:00:00AM,TI24-15350,GTA,STOLEN VEHICLE,11100 Block of 2ND ST E ,TREASURE ISLAND,33706
Sheriff,6/3/2024,06:50:00AM,SO24-171242,CM,VANDAL/CRIM MISCH,5200 Block of 65TH ST N ,PINELLAS SO,33709
Tarpon Springs PD,6/3/2024,04:52:00PM,TS24-17317,BAT,BATTERY,1300 Block of STARLIGHT CV ,TARPON SPRINGS,34689
Sheriff,6/1/2024,12:54:00PM,SO24-169080,FTPC,THEFT-GRAND,4800 Block of PARK ST N ,SEMINOLE,33709
Tarpon Springs PD,6/2/2024,03:30:00PM,TS24-17130,BRGB,BURGLARY-BUSINESS,100 Block of RAINVILLE RD ,TARPON SPRINGS,34689
Sheriff,6/3/2024,12:00:00PM,SO24-170819,GT,THEFT-GRAND,4100 Block of 55TH AVE N ,PINELLAS SO,33714
Sheriff,6/3/2024,01:21:00AM,SO24-170477,BAT,BATTERY,37600 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Clearwater PD,6/3/2024,12:00:00AM,CW24-80984,CMF,VANDAL/CRIM MISCH,1500 Block of SANDY LN ,CLEARWATER,33755
Clearwater PD,6/2/2024,10:26:00PM,CW24-80653,MPJU,MISSING PERSON,1000 Block of MARSHALL ST ,CLEARWATER,33755
Sheriff,6/3/2024,05:10:00PM,SO24-171270,ROBU,ROBBERY-UNARMED,11500 Block of WALSINGHAM RD ,PINELLAS SO,33778
Sheriff,6/3/2024,01:30:00AM,SO24-171173,CM,VANDAL/CRIM MISCH,3400 Block of E LAKE RD ,PINELLAS SO,34685
Sheriff,6/2/2024,06:09:00PM,SO24-170258,PTS,THEFT-SHOPLIFTING,8700 Block of PARK BLVD N ,SEMINOLE,33777
Sheriff,6/2/2024,12:00:00AM,SO24-170174,SBR,BATTERY-SEXUAL,5000 Block of 76TH AVE N ,PINELLAS PARK,33781
Sheriff,6/6/2024,06:54:00PM,SO24-174656,BAT,BATTERY,300 Block of E LAKE CLUB DR ,OLDSMAR,34677
Clearwater PD,6/5/2024,12:00:00AM,CW24-81969,BAT,BATTERY,1500 Block of SATURN AVE ,CLEARWATER,33755
Clearwater PD,6/2/2024,12:00:00AM,CW24-80235,GT,THEFT-GRAND,24500 Block of US HIGHWAY 19 N ,CLEARWATER,33763
Clearwater PD,6/4/2024,10:00:00PM,CW24-81308,GTA,STOLEN VEHICLE,100 Block of HAMPTON RD ,CLEARWATER,33759
Sheriff,6/2/2024,06:06:00AM,SO24-169532,TAWN,TRESPASS,34TH ST N & CSX RR,PINELLAS SO,33703
Sheriff,6/4/2024,02:30:00PM,SO24-172148,GT,THEFT-GRAND,8200 Block of 134TH ST N ,PINELLAS SO,33776
Clearwater PD,6/4/2024,12:00:00AM,CW24-81510,GT,THEFT-GRAND,200 Block of N MISSOURI AVE ,CLEARWATER,33755
Clearwater PD,6/1/2024,05:00:00AM,CW24-80204,SBR,BATTERY-SEXUAL,2100 Block of NURSERY RD ,CLEARWATER,33764
Sheriff,6/4/2024,11:35:00AM,SO24-172401,BAT,BATTERY,1800 Block of SEMINOLE BLVD ,PINELLAS SO,33778
Sheriff,6/4/2024,06:22:00PM,SO24-172574,PT,THEFT-PETIT,4900 Block of 34TH ST N ,PINELLAS SO,33714
Sheriff,6/7/2024,04:04:00PM,SO24-175466,PTS,THEFT-SHOPLIFTING,35400 Block of US HIGHWAY 19N ,PINELLAS SO,34684
Clearwater PD,6/8/2024,12:58:00AM,CW24-83118,BAT,BATTERY,1800 Block of SUNSET POINT RD ,CLEARWATER,33765
Sheriff,6/7/2024,05:08:00PM,SO24-175464,PTS,THEFT-SHOPLIFTING,35400 Block of US HIGHWAY 19N ,PINELLAS SO,34684
Sheriff,6/5/2024,08:00:00PM,SO24-173791,CM,VANDAL/CRIM MISCH,BROADWAY & MAIN ST,DUNEDIN,
Sheriff,6/9/2024,04:59:00PM,SO24-177966,PTS,THEFT-SHOPLIFTING,3800 Block of TAMPA RD ,OLDSMAR,34677
Sheriff,6/7/2024,05:08:00PM,SO24-175464,PTS,THEFT-SHOPLIFTING,35400 Block of US HIGHWAY 19N ,PINELLAS SO,34684
Clearwater PD,6/6/2024,01:27:00PM,CW24-82291,PTS,THEFT-SHOPLIFTING,2400 Block of GULF TO BAY BLVD ,CLEARWATER,33765
Clearwater PD,6/8/2024,12:00:00PM,CW24-83504,MPJU,MISSING PERSON,2100 Block of NE COACHMAN RD ,CLEARWATER,33765
Sheriff,6/8/2024,11:52:00PM,SO24-176139,CM,VANDAL/CRIM MISCH,7000 Block of CROSSLAKE CIR ,PINELLAS SO,33709
Sheriff,6/7/2024,04:30:00PM,SO24-175230,BRGB,BURGLARY-BUSINESS,100 Block of RACETRACK RD ,OLDSMAR,34677
Sheriff,6/7/2024,04:48:00PM,SO24-175393,PTS,THEFT-SHOPLIFTING,35400 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Sheriff,6/8/2024,02:35:00AM,SO24-176914,BRGC,BURGLARY-VEHICLE,2000 Block of SUMMIT DR ,DUNEDIN,34698
Gulfport PD,6/8/2024,12:00:00AM,GP24-9321,CM,VANDAL/CRIM MISCH,5000 Block of 9TH AVE S ,GULFPORT,33707
