AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Clearwater PD,9/25/2022,03:23:00AM,CW22-136920,ROBA,ROBBERY-ARMED,1500 Block of GULF TO BAY BLVD ,CLEARWATER,33755
Clearwater PD,9/25/2022,06:00:00PM,CW22-137221,PT,THEFT-PETIT,27000 Block of US HIGHWAY 19 N ,CLEARWATER,33761
Sheriff,9/22/2022,10:50:00AM,SO22-305503,PT,THEFT-PETIT,1300 Block of PINEHURST RD ,DUNEDIN,34698
Sheriff,9/23/2022,03:07:00AM,SO22-306145,BAT,BATTERY,900 Block of BROADWAY ,DUNEDIN,34698
Clearwater PD,9/25/2022,05:10:00PM,CW22-137222,RSS,ROBBERY-UNARMED,3100 Block of GULF TO BAY BLVD ,CLEARWATER,33759
Clearwater PD,9/24/2022,12:00:00AM,CW22-136430,GTF,THEFT-GRAND,1700 Block of N MARTIN LUTHER KING JR ,CLEARWATER,33755
Sheriff,9/25/2022,02:34:00PM,SO22-308334,AL,ALARM,2300 Block of JONES CT ,DUNEDIN,34698
Sheriff,9/25/2022,08:30:00PM,SO22-308407,BRGC,BURGLARY-VEHICLE,1600 Block of LAGO VISTA BLVD ,PINELLAS SO,34685
Gulfport PD,9/25/2022,04:30:00AM,GP22-15996,GTA,STOLEN VEHICLE,5500 Block of NEWTON AVE S ,GULFPORT,33707
Sheriff,9/25/2022,08:00:00PM,SO22-307874,BRGC,BURGLARY-VEHICLE,600 Block of 9TH AVE S ,SAFETY HARBOR,34695
Clearwater PD,9/25/2022,08:30:00AM,CW22-137058,PT,THEFT-PETIT,22000 Block of US HIGHWAY 19 N ,CLEARWATER,33765
Sheriff,9/25/2022,08:30:00PM,SO22-308380,BRGC,BURGLARY-VEHICLE,1500 Block of LAGO VISTA BLVD ,PINELLAS SO,34685
Clearwater PD,9/24/2022,03:30:00PM,CW22-136738,BRGC,BURGLARY-VEHICLE,1300 Block of S MARTIN LUTHER KING JR ,CLEARWATER,33756
Sheriff,9/20/2022,01:02:00PM,SO22-303242,GT,THEFT-GRAND,14800 Block of 49TH ST N ,LARGO,33762
Sheriff,9/24/2022,11:42:00AM,SO22-307307,FBPC,BATTERY,5300 Block of 80TH ST N ,PINELLAS SO,33709
Treasure Island PD,9/15/2022,11:37:00PM,TI22-18151,BAT,BATTERY,12000 Block of GULF BLVD ,TREASURE ISLAND,33706
Sheriff,9/15/2022,01:00:00PM,SO22-297375,BAT,BATTERY,14700 Block of TERMINAL BLVD ,PINELLAS SO,33762
Clearwater PD,9/15/2022,07:00:00AM,CW22-131917,GT,THEFT-GRAND,1900 Block of GULF TO BAY BLVD ,CLEARWATER,33764
Sheriff,9/15/2022,06:36:00AM,SO22-296847,BAT,BATTERY,5400 Block of 66TH ST N ,PINELLAS SO,33709
Sheriff,9/15/2022,12:00:00AM,SO22-296865,BRGC,BURGLARY-VEHICLE,800 Block of 2ND AVE S ,PINELLAS SO,33715
Sheriff,9/28/2022,06:50:00AM,SO22-309841,BAT,BATTERY,300 Block of JOHN F KENNEDY ST ,PINELLAS SO,34698
Clearwater PD,9/28/2022,04:29:00PM,CW22-140294,BRGB,BURGLARY-BUSINESS,1200 Block of FRANKLIN CIR NW ,CLEARWATER,33756
Sheriff,9/27/2022,01:40:00AM,SO22-309293,BAT,BATTERY,5400 Block of 68TH LN N ,PINELLAS SO,33709
Sheriff,9/23/2022,12:00:00AM,SO22-306522,PTTB,THEFT-PETIT,17100 Block of GULF BLVD ,N REDINGTON BEACH,33708
Sheriff,9/15/2022,12:39:00PM,SO22-297290,BRGR,BURGLARY-RESIDENCE,1600 Block of S JEFFERSON AVE ,PINELLAS SO,33756
Sheriff,9/29/2022,01:54:00PM,SO22-311022,LSAP,TRAFFIC ACCIDENT,3900 Block of TAMPA RD ,OLDSMAR,34677
