AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,8/31/2023,04:29:00PM,SO23-285963,FBPC,BATTERY,2400 Block of INDIAN AVE ,BELLEAIR BLUFFS,33770
Sheriff,9/14/2023,06:43:00PM,SO23-302319,TAWN,TRESPASS,14800 Block of 49TH ST N ,PINELLAS SO,33762
Sheriff,9/11/2023,01:27:00PM,PS23-3643,BAT,BATTERY,4900 Block of 28TH ST N ,PINELLAS SO,33714
Sheriff,9/14/2023,08:00:00PM,SO23-301701,ABCO,BURGLARY-VEHICLE,8900 Block of 79TH AVE N ,SEMINOLE,33777
Sheriff,9/12/2023,06:51:00PM,SO23-300033,TAWN,TRESPASS,3400 Block of ULMERTON RD ,PINELLAS SO,33762
Sheriff,9/13/2023,09:00:00PM,SO23-301196,PT,THEFT-PETIT,1600 Block of MAIN ST ,DUNEDIN,34698
Clearwater PD,9/7/2023,04:00:00PM,CW23-131969,GTS,THEFT-SHOPLIFTING,2500 Block of GULF TO BAY BLVD ,CLEARWATER,33765
Sheriff,9/7/2023,12:00:00AM,SO23-293803,PT,THEFT-PETIT,3600 Block of 46TH AVE N ,PINELLAS SO,33714
Clearwater PD,8/31/2023,06:00:00PM,CW23-127909,CM,VANDAL/CRIM MISCH,1100 Block of GLENMOOR CT ,CLEARWATER,33764
Tarpon Springs PD,9/12/2023,10:00:00AM,TS23-26830,PWSP,WEAPON,1400 Block of GULF RD ,TARPON SPRINGS,34689
Sheriff,9/13/2023,02:20:00PM,SO23-300958,PTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD ,SEMINOLE,33708
Sheriff,9/7/2023,06:30:00PM,SO23-293965,GT,THEFT-GRAND,4600 Block of MIRAMAR DR ,SEMINOLE,33708
Clearwater PD,8/31/2023,09:00:00AM,CW23-127837,PT,THEFT-PETIT,MANDALAY AVE & CAMBRIA ST,CLEARWATER,33767
Sheriff,8/31/2023,03:30:00PM,SO23-285960,SBR,BATTERY-SEXUAL,7200 Block of STONE HAVEN CT N ,PINELLAS SO,33781
Sheriff,8/31/2023,12:37:00AM,SO23-285125,TSC,TRESPASS,2100 Block of MAIN ST ,DUNEDIN,34698
Gulfport PD,9/3/2023,09:30:00AM,GP23-13405,BOL,BATTERY,1900 Block of 56TH ST S ,GULFPORT,33707
Sheriff,9/10/2023,07:00:00PM,SO23-297589,PTS,THEFT-SHOPLIFTING,7800 Block of 113TH ST N ,SEMINOLE,33772
Sheriff,8/31/2023,01:30:00PM,SO23-285768,MPA,MISSING PERSON,14400 Block of 49TH ST N ,PINELLAS SO,33762
Sheriff,9/8/2023,10:37:00AM,SO23-295085,RSVO,STOLEN VEHICLE - REC,2000 Block of TANGLEWOOD DR NE ,ST PETERSBURG,33702
Clearwater PD,9/8/2023,03:30:00AM,CW23-132305,BRGR,BURGLARY-RESIDENCE,500 Block of PLUMOSA AVE ,CLEARWATER,33756
Sheriff,9/14/2023,07:43:00PM,SO23-302367,FBPC,BATTERY,11000 Block of 112TH AVE N ,PINELLAS SO,33778
Gulfport PD,9/1/2023,08:00:00AM,GP23-13284,GTA,STOLEN VEHICLE,5700 Block of SHORE BLVD S ,GULFPORT,33707
Tarpon Springs PD,8/31/2023,10:47:00PM,TS23-25144,CM,VANDAL/CRIM MISCH,700 Block of TALON BLVD ,TARPON SPRINGS,34689
Clearwater PD,9/1/2023,01:38:00PM,CW23-128515,GTCN,THEFT-GRAND,2600 Block of ALEXANDER PL ,CLEARWATER,33763
Sheriff,8/31/2023,10:21:00AM,SO23-285556,PT,THEFT-PETIT,8800 Block of PARK BLVD N ,SEMINOLE,33777
Clearwater PD,9/1/2023,03:28:00AM,CW23-128382,GTA,STOLEN VEHICLE,1400 Block of SAN JUAN CT ,CLEARWATER,33756
Clearwater PD,8/31/2023,02:20:00AM,CW23-127746,ROBA,ROBBERY-ARMED,N MARTIN LUTHER KING JR AVE & MAPLE ST,CLEARWATER,33755
Clearwater PD,9/1/2023,03:25:00AM,CW23-128375,GTA,STOLEN VEHICLE,1400 Block of SAN JUAN CT ,CLEARWATER,33756
Gulfport PD,9/1/2023,02:00:00PM,GP23-13286,PTV,THEFT-PETIT,5500 Block of SHORE BLVD S ,GULFPORT,33707
Tarpon Springs PD,8/31/2023,04:00:00PM,TS23-25063,PT,THEFT-PETIT,1100 Block of LAUREN LN ,TARPON SPRINGS,34689
Clearwater PD,9/2/2023,03:00:00AM,CW23-128984,RSS,ROBBERY-UNARMED,1400 Block of FRANKLIN ST ,CLEARWATER,33755
Clearwater PD,9/1/2023,05:30:00PM,CW23-128694,BAT,BATTERY,2800 Block of PARK TRAIL LN ,CLEARWATER,33759
Sheriff,9/1/2023,06:32:00PM,SO23-287092,TAWN,TRESPASS,7500 Block of STARKEY RD ,SEMINOLE,33777
Clearwater PD,9/2/2023,01:00:00PM,CW23-129117,PTS,THEFT-SHOPLIFTING,27000 Block of US HIGHWAY 19 ,CLEARWATER,33761
Sheriff,9/2/2023,12:00:00AM,SO23-287793,BRGR,BURGLARY-RESIDENCE,11100 Block of 100TH WAY N ,PINELLAS SO,33773
Sheriff,9/14/2023,06:00:00PM,SO23-302445,PT,THEFT-PETIT,3900 Block of W BAY DR ,BELLEAIR BLUFFS,33770
Sheriff,9/9/2023,Unknown,SO23-296520,TAWN,TRESPASS,5300 Block of 66TH ST N ,PINELLAS SO,33709
Sheriff,9/8/2023,08:06:00PM,SO23-295581,AB,BATTERY-AGGRAVATED,2100 Block of MAIN ST ,DUNEDIN,34698
Kenneth City PD,9/1/2023,05:32:00AM,KC23-25092,CM,VANDAL/CRIM MISCH,4800 Block of 66TH ST N ,KENNETH CITY,33709
Sheriff,9/2/2023,04:15:00PM,SO23-288088,PT,THEFT-PETIT,700 Block of BROADWAY ,DUNEDIN,34698
Sheriff,9/2/2023,05:00:00PM,SO23-288229,MPJU,MISSING PERSON,7800 Block of 86TH WAY N ,PINELLAS SO,33777
Clearwater PD,9/2/2023,07:00:00AM,CW23-128982,BAT,BATTERY,2600 Block of GULF TO BAY BLVD ,CLEARWATER,33759
Sheriff,9/1/2023,05:41:00PM,SO23-287081,PT,THEFT-PETIT,4100 Block of 43RD ST N ,PINELLAS SO,33714
Sheriff,9/8/2023,08:39:00PM,SO23-295614,PTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD ,SEMINOLE,33708
