AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Largo PD,7/10/2018,08:45:00 PM,18007219,0630,THEFT-SHOPLIFTING,11100 Block of ULMERTON RD,LARGO,33774
Clearwater PD,7/13/2018,02:47:00 PM,CW18-103957,BRGC,BURGLARY-VEHICLE,500 Block of PARK ST,CLEARWATER,33756
Sheriff,7/14/2018,10:41:00 PM,SO18-221624,BAT,BATTERY,35600 Block of US HIGHWAY 19 N,PINELLAS SO,34684
Sheriff,7/11/2018,08:00:00 AM,SO18-217333,PT,THEFT-PETIT,1300 Block of WICKFORD ST,SAFETY HARBOR,34695
Sheriff,7/10/2018,05:12:00 PM,SO18-216556,PT,THEFT-PETIT,2000 Block of SEMINOLE BLVD,LARGO,33778
Clearwater PD,7/11/2018,08:35:00 AM,CW18-102696,BRGR,BURGLARY-RESIDENCE,2800 Block of GULF TO BAY BLVD,CLEARWATER,33759
Clearwater PD,7/5/2018,06:00:00 PM,CW18-100078,LSAP,TRAFFIC ACCIDENT,1800 Block of N HIGHLAND AVE,CLEARWATER,33755
Sheriff,7/1/2018,11:00:00 PM,SO18-204824,PT,THEFT-PETIT,1100 Block of BEVERLY AVE NW,PINELLAS SO,33770
Clearwater PD,7/13/2018,10:00:00 AM,CW18-103861,ROBA,ROBBERY-ARMED,23100 Block of US HIGHWAY 19 N,CLEARWATER,33765
Largo PD,7/10/2018,01:00:00 AM,18007202,0810,ASSAULT,7300 Block of ULMERTON RD,LARGO,33770
Tarpon Springs PD,7/4/2018,09:30:00 PM,TS18-18896,GTA,STOLEN VEHICLE,200 Block of MERES BLVD,TARPON SPRINGS,34689
Gulfport PD,7/10/2018,05:00:00 PM,GP18-14079,GT,THEFT-GRAND,6000 Block of SHORE BLVD S,GULFPORT,33707
Clearwater PD,7/13/2018,02:00:00 PM,CW18-103938,B65,BATTERY ,2700 Block of GULF TO BAY BLVD,CLEARWATER,33759
Pinellas Park PD,7/3/2018,01:34:00 PM,201800053043,05D,TRESPASS,5100 Block of PARK BLVD,PINELLAS PARK,null
Clearwater PD,7/8/2018,04:30:00 PM,CW18-101513,BRGC,BURGLARY-VEHICLE,2400 Block of DREW ST,CLEARWATER,33765
Clearwater PD,7/1/2018,09:30:00 AM,CW18-97749,GTA,STOLEN VEHICLE,2100 Block of CALUMET ST,CLEARWATER,33765
Largo PD,7/10/2018,12:00:00 PM,18007243,0690,THEFT-PETIT,900 Block of N MISSOURI AVE,LARGO,33770
Sheriff,7/4/2018,12:00:00 AM,SO18-208393,BAT,BATTERY,1700 Block of JADE AVE,PINELLAS SO,33755
Sheriff,7/11/2018,07:30:00 AM,SO18-217623,MPA,MISSING PERSON,700 Block of LAFAYETTE BLVD,OLDSMAR,34677
Sheriff,7/7/2018,09:13:00 AM,SO18-212494,BOL,BATTERY,3700 Block of TAMPA RD,OLDSMAR,34677
Largo PD,7/3/2018,09:15:00 PM,18006961,0690,THEFT-PETIT,12800 Block of 101ST WAY N,LARGO,33774
Largo PD,7/4/2018,09:00:00 AM,18006978,0510,BURGLARY-STRUCTURE,null,LARGO,33770
Clearwater PD,7/8/2018,05:00:00 PM,CW18-101726,GT,THEFT-GRAND,1400 Block of GULF TO BAY BLVD,CLEARWATER,33755
Sheriff,7/11/2018,06:31:00 PM,SO18-217901,RSS,ROBBERY-UNARMED,3200 Block of SCHERER DR,PINELLAS SO,33716
Largo PD,7/5/2018,12:30:00 AM,18007029,0660,THEFT-PETIT,null,LARGO,33771
Largo PD,7/10/2018,12:00:00 PM,18007243,0690,THEFT-PETIT,null,LARGO,33770
Largo PD,7/11/2018,08:10:00 AM,18007248,4010,TRAFFIC ACCIDENT,null,PINELLAS COUNTY,33774
Largo PD,7/11/2018,10:00:00 PM,18007252,0640,THEFT-PETIT,null,LARGO,33770
Clearwater PD,7/14/2018,05:15:00 PM,CW18-104572,TAWN,TRESPASS,400 Block of CHESTNUT ST,CLEARWATER,33756
Sheriff,7/14/2018,12:00:00 PM,SO18-221206,PT,THEFT-PETIT,200 Block of COUNTRYSIDE KEY BLVD,OLDSMAR,34677
Sheriff,7/8/2018,03:24:00 PM,SO18-213871,TAWN,TRESPASS,1000 Block of NEBRASKA AVE,PINELLAS SO,34683
Tarpon Springs PD,7/9/2018,01:38:00 PM,TS18-19609,BAT,BATTERY,500 Block of CHESAPEAKE DR,TARPON SPRINGS,34689
Sheriff,7/12/2018,06:30:00 PM,SO18-218765,BRGC,BURGLARY-VEHICLE,600 Block of 150TH AVE,MADEIRA BEACH,33708
Sheriff,7/11/2018,07:30:00 PM,SO18-217981,SBR,BATTERY-SEXUAL,500 Block of 129TH AVE E,MADEIRA BEACH,33708
Sheriff,7/8/2018,02:00:00 PM,SO18-213900,BRGR,BURGLARY-RESIDENCE,10500 Block of 1ST ST N,PINELLAS SO,33702
Clearwater PD,7/9/2018,06:40:00 PM,CW18-101946,BAT,BATTERY,2600 Block of CEDAR VIEW CT,CLEARWATER,33761
Clearwater PD,7/8/2018,07:45:00 AM,CW18-101277,BRGC,BURGLARY-VEHICLE,2400 Block of GULF TO BAY BLVD,CLEARWATER,33765
Kenneth City PD,7/2/2018,08:09:00 PM,KC18-23525,AB,BATTERY-AGGRAVATED,4600 Block of 66TH ST N,KENNETH CITY,33709
Sheriff,7/6/2018,01:50:00 AM,SO18-211001,BAT,BATTERY,8800 Block of 66TH ST N,PINELLAS SO,33782
Clearwater PD,7/14/2018,12:00:00 AM,CW18-104432,BRGC,BURGLARY-VEHICLE,1300 Block of TERRACE RD,CLEARWATER,33755
Sheriff,7/13/2018,09:06:00 PM,SO18-220481,BOL,BATTERY,16300 Block of US HIGHWAY 19 N,PINELLAS SO,33764
Treasure Island PD,7/11/2018,08:00:00 PM,TI18-12025,PT,THEFT-PETIT,10400 Block of BLK TI BCH,TREASURE ISLAND,33706
Sheriff,7/4/2018,12:30:00 AM,SO18-209309,GTH,THEFT-GRAND,00 Block of MANGROVE PT,Unknown (SPB),33706
Sheriff,7/10/2018,11:20:00 PM,SO18-216903,ADR,ASSAULT,3900 Block of 46TH AVE N,PINELLAS SO,33714
Sheriff,7/2/2018,05:00:00 PM,SO18-206787,PT,THEFT-PETIT,3600 Block of 43RD AVE N,PINELLAS SO,33714
Clearwater PD,7/1/2018,02:00:00 AM,CW18-97589,BRGC,BURGLARY-VEHICLE,1800 Block of N HERCULES AVE,CLEARWATER,33765
