AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Clearwater PD,3/12/2024,03:30:00PM,cw24-40164,LSAP,TRAFFIC ACCIDENT,0 Block of MEMORIAL CSWY ,CLEARWATER,33767
Sheriff,3/14/2024,07:00:00AM,SO24-79825,PT,THEFT-PETIT,5100 Block of 34TH ST N ,PINELLAS SO,33714
Sheriff,3/14/2024,06:51:00AM,SO24-79397,TAWN,TRESPASS,300 Block of MUNICIPAL DR ,MADEIRA BEACH,33708
Sheriff,3/4/2024,10:02:00AM,SO24-68002,BBD,BATTERY ,14400 Block of 49TH ST N ,PINELLAS SO,33762
Clearwater PD,3/4/2024,04:10:00PM,CW24-35733,PT,THEFT-PETIT,0 Block of CAUSEWAY BLVD ,CLEARWATER,33767
Sheriff,3/10/2024,01:06:00AM,SO24-74482,AL,ALARM,15300 Block of GULF BLVD ,MADEIRA BEACH,33708
Clearwater PD,3/10/2024,07:30:00PM,CW24-39173,GTR,THEFT-GRAND,2000 Block of N HIGHLAND AVE ,CLEARWATER,33755
Sheriff,3/9/2024,06:40:00PM,SO24-74261,BAT,BATTERY,4900 Block of 71ST WAY N ,PINELLAS SO,33709
Clearwater PD,3/13/2024,09:47:00PM,CW24-40991,LSAP,TRAFFIC ACCIDENT,BELLEAIR RD & FRONTAGE RD,CLEARWATER,
Clearwater PD,3/13/2024,06:00:00PM,CW24-40865,PT,THEFT-PETIT,400 Block of POINSETTIA AVE ,CLEARWATER,33767
Clearwater PD,3/14/2024,08:45:00PM,CW24-41528,PTS,THEFT-SHOPLIFTING,2100 Block of GULF TO BAY BLVD ,CLEARWATER,33765
Sheriff,3/4/2024,10:15:00AM,SO24-68402,CM,VANDAL/CRIM MISCH,8600 Block of SEMINOLE BLVD ,SEMINOLE,33772
Gulfport PD,3/4/2024,10:00:00PM,GP24-3560,BRGC,BURGLARY-VEHICLE,5100 Block of GULFPORT BLVD S ,GULFPORT,33707
Sheriff,3/4/2024,10:08:00PM,SO24-68856,AL,ALARM,300 Block of MAIN ST ,DUNEDIN,34698
Sheriff,3/10/2024,12:00:00PM,SO24-75214,GTA,STOLEN VEHICLE,3100 Block of HIGHLANDS BLVD ,PINELLAS SO,34684
Treasure Island PD,3/10/2024,03:48:00PM,TI24-6862,TAWN,TRESPASS,10400 Block of GULF BLVD ,TREASURE ISLAND,33706
Sheriff,3/10/2024,05:39:00PM,SO24-75264,BRGC,BURGLARY-VEHICLE,12700 Block of 126TH AVE N ,PINELLAS SO,33774
Clearwater PD,3/10/2024,04:00:00PM,CW24-39143,PT,THEFT-PETIT,1100 Block of CLEVELAND ST ,CLEARWATER,33755
Clearwater PD,3/11/2024,03:30:00PM,CW24-39534,BRGC,BURGLARY-VEHICLE,1800 Block of N HIGHLAND AVE ,CLEARWATER,33755
Sheriff,3/11/2024,07:20:00PM,SO24-76530,PTS,THEFT-SHOPLIFTING,35300 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Sheriff,3/13/2024,02:41:00PM,SO24-78721,FTPC,THEFT-GRAND,4800 Block of PARK ST N ,SEMINOLE,33709
Sheriff,3/14/2024,02:13:00PM,SO24-79798,PTS,THEFT-SHOPLIFTING,2700 Block of W BAY DR ,BELLEAIR BLUFFS,33770
Tarpon Springs PD,3/14/2024,07:00:00PM,TS24-8324,PT,THEFT-PETIT,800 Block of N PINELLAS AVE ,TARPON SPRINGS,34689
Clearwater PD,3/13/2024,10:50:00AM,CW24-40645,TAWN,TRESPASS,300 Block of PINELLAS ST ,CLEARWATER,33756
Clearwater PD,3/14/2024,05:34:00PM,CW24-41423,BAT,BATTERY,400 Block of MANDALAY AVE ,CLEARWATER,33767
Sheriff,3/14/2024,01:30:00PM,SO24-79418,PT,THEFT-PETIT,30100 Block of US HIGHWAY 19 N ,PINELLAS SO,33761
Sheriff,3/13/2024,06:48:00PM,SO24-78950,FBPC,BATTERY,6900 Block of BONNER AVE ,PINELLAS SO,33761
Sheriff,3/13/2024,06:08:00PM,SO24-78922,RSVO,STOLEN VEHICLE - REC,6000 Block of 49TH ST N ,PINELLAS SO,33709
Sheriff,3/14/2024,11:12:00AM,SO24-79561,PT,THEFT-PETIT,14000 Block of ROOSEVELT BLVD ,PINELLAS SO,33762
Sheriff,3/14/2024,04:25:00AM,SO24-79298,BEMP,BATTERY,6000 Block of 49TH ST N ,PINELLAS SO,33709
Sheriff,3/14/2024,12:00:00PM,SO24-79600,PTS,THEFT-SHOPLIFTING,3800 Block of TAMPA RD ,OLDSMAR,34677
Sheriff,3/14/2024,05:08:00PM,SO24-79957,TAWN,TRESPASS,54TH AVE N & 37TH ST N,PINELLAS SO,33714
Clearwater PD,3/14/2024,01:27:00PM,CW24-41276,PWF,WEAPON,1100 Block of WOODLAWN ST ,CLEARWATER,33756
Sheriff,3/14/2024,10:33:00PM,SO24-80288,B65,BATTERY ,600 Block of 12TH AVE N ,SAFETY HARBOR,34695
Sheriff,3/14/2024,08:19:00PM,SO24-80155,BAT,BATTERY,13200 Block of GULF BLVD ,MADEIRA BEACH,33708
Clearwater PD,3/10/2024,04:00:00AM,CW24-39057,CM,VANDAL/CRIM MISCH,2900 Block of GULF TO BAY BLVD ,CLEARWATER,33759
Sheriff,3/5/2024,08:32:00PM,SO24-69245,PTTB,THEFT-PETIT,10800 Block of RIDGE RD ,SEMINOLE,33778
Clearwater PD,3/10/2024,03:00:00AM,CW24-38757,BAT,BATTERY,100 Block of N STARCREST DR ,CLEARWATER,33765
Sheriff,3/4/2024,01:00:00PM,SO24-68749,MPA,MISSING PERSON,1800 Block of SEMINOLE BLVD ,PINELLAS SO,33778
Sheriff,3/11/2024,08:13:00PM,SO24-76133,LSWU,TRAFFIC ACCIDENT,8900 Block of BAYWOOD PARK DR ,SEMINOLE,33777
Sheriff,3/11/2024,04:54:00PM,SO24-76376,PTS,THEFT-SHOPLIFTING,1200 Block of COUNTY ROAD 1 ,DUNEDIN,34698
Sheriff,3/10/2024,12:14:00PM,SO24-74924,LSAI,TRAFFIC ACCIDENT,113TH ST N & 86TH AVE N,SEMINOLE,33772
Sheriff,3/11/2024,07:00:00AM,CW24-39580,PT,THEFT-PETIT,1700 Block of WASHINGTON AVE ,,
Sheriff,3/11/2024,03:00:00PM,SO24-76268,CM,VANDAL/CRIM MISCH,8700 Block of BAY PINES BLVD ,PINELLAS SO,33709
Gulfport PD,3/10/2024,07:45:00PM,GP24-3934,PT,THEFT-PETIT,900 Block of 58TH ST S ,GULFPORT,33707
Sheriff,3/11/2024,02:30:00AM,CW24-39449,SBR,BATTERY-SEXUAL,3200 Block of MCMULLEN BOOTH RD ,SAFETY HARBOR,33761
Tarpon Springs PD,3/10/2024,05:30:00AM,TS24-7815,GTA,STOLEN VEHICLE,40000 Block of US HIGHWAY 19 N ,TARPON SPRINGS,34689
Sheriff,3/11/2024,04:04:00AM,SO24-75674,TAWN,TRESPASS,14800 Block of 49TH ST N ,PINELLAS SO,33762
Sheriff,3/5/2024,07:00:00AM,SO24-69729,BRGC,BURGLARY-VEHICLE,5700 Block of 49TH ST N ,PINELLAS SO,33709
Sheriff,3/5/2024,02:30:00PM,SO24-69569,BAT,BATTERY,ST CLAIR AVE & ARCH AVE,PINELLAS SO,34677
Sheriff,2/29/2024,04:30:00PM,SO24-63695,PT,THEFT-PETIT,300 Block of E DOUGLAS RD ,OLDSMAR,34677
