AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Pinellas Park PD,7/28/2016,12:00:00 PM,201600057974,06A,THEFT-GRAND,5700 Block of 67TH AVE,PINELLAS PARK,null
Clearwater PD,7/19/2016,11:00:00 AM,CW16-102349,BRGS,BURGLARY-STRUCTURE,1000 Block of GULF BLVD,CLEARWATER,33767
Pinellas Park PD,7/23/2016,02:15:00 PM,201600056613,08B,BATTERY,6300 Block of 66TH ST,PINELLAS PARK,null
Clearwater PD,7/26/2016,10:30:00 PM,CW16-105549,BRGR,BURGLARY-RESIDENCE,2000 Block of DAWN DR,CLEARWATER,33763
Sheriff,7/24/2016,11:00:00 AM,SO16-296876,BRGC,BURGLARY-VEHICLE,3200 Block of MCMATH DR,PINELLAS SO,34684
Largo PD,7/22/2016,11:15:00 PM,16007778,0810,ASSAULT,600 Block of WOODROW AVE NW,LARGO,33770
Largo PD,7/22/2016,02:00:00 AM,16007756,0810,ASSAULT,100 Block of GLADES CIR,LARGO,33774
Clearwater PD,7/20/2016,06:56:00 PM,CW16-102984,PTS,THEFT-SHOPLIFTING,27000 Block of US HIGHWAY 19 N,CLEARWATER,33761
Clearwater PD,7/22/2016,07:00:00 PM,CW16-104073,PT,THEFT-PETIT,00 Block of S HIGHLAND AVE,CLEARWATER,33755
Sheriff,7/27/2016,12:00:00 PM,SO16-301494,GT,THEFT-GRAND,2200 Block of HARBOR POINTE PL,PINELLAS SO,34683
Largo PD,7/29/2016,06:30:00 PM,16008044,0690,THEFT-PETIT,13600 Block of AUDREY LN,LARGO,33770
Sheriff,7/16/2016,09:10:00 PM,SO16-286177,RSVO,STOLEN VEHICLE - REC,7100 Block of 40TH AVE N,PINELLAS SO,33709
Clearwater PD,7/17/2016,01:00:00 PM,CW16-101530,BRGC,BURGLARY-VEHICLE,1400 Block of N MYRTLE AVE,CLEARWATER,33755
Clearwater PD,7/27/2016,12:00:00 PM,CW16-106139,ABR,BURGLARY-RESIDENCE,1700 Block of RIDGEWOOD ST,CLEARWATER,33755
Clearwater PD,7/16/2016,07:40:00 PM,CW16-101186,PT,THEFT-PETIT,21700 Block of US HIGHWAY 19 N,CLEARWATER,33765
Sheriff,7/19/2016,12:27:00 PM,SO16-290170,PTS,THEFT-SHOPLIFTING,1700 Block of MAIN ST,DUNEDIN,34698
Sheriff,7/16/2016,08:20:00 AM,SO16-285519,AB,BATTERY-AGGRAVATED,500 Block of LILLIAN DR,MADEIRA BEACH,33708
Sheriff,7/24/2016,03:00:00 PM,SO16-297369,BRGC,BURGLARY-VEHICLE,12700 Block of PINEWAY DR,PINELLAS SO,33773
Largo PD,7/24/2016,06:39:00 PM,16007818,0690,THEFT-PETIT,2800 Block of GREEN ACRES AVE,LARGO,null
Clearwater PD,7/30/2016,01:30:00 AM,CW16-107531,PTS,THEFT-SHOPLIFTING,400 Block of POINSETTIA AVE,CLEARWATER,33767
Pinellas Park PD,7/30/2016,03:30:00 PM,201600058459,06A,THEFT-GRAND,3500 Block of ULMERTON RD,PINELLAS PARK,null
Clearwater PD,7/22/2016,05:00:00 PM,CW16-103920,B65,BATTERY ,2800 Block of THORNTON RD,CLEARWATER,33759
Pinellas Park PD,7/29/2016,08:00:00 AM,201600058178,06A,THEFT-GRAND,11300 Block of US HIGHWAY 19 N,PINELLAS PARK,null
Sheriff,7/17/2016,04:00:00 PM,SO16-286708,GTA,STOLEN VEHICLE,900 Block of HARBOR LAKE DR,SAFETY HARBOR,34695
Largo PD,7/24/2016,04:00:00 PM,16007844,0680,THEFT-PETIT,1400 Block of CLEARWATER LARGO RD N,LARGO,33770
Sheriff,7/30/2016,02:00:00 PM,SO16-305717,BRGB,BURGLARY-BUSINESS,5600 Block of SEMINOLE BLVD,SEMINOLE,33772
Sheriff,7/25/2016,11:23:00 PM,SO16-299206,BAT,BATTERY,8300 Block of 77TH AVE N,PINELLAS SO,33777
Clearwater PD,7/29/2016,09:36:00 PM,CW16-107440,MPA,MISSING PERSON,1500 Block of S MYRTLE AVE,CLEARWATER,33756
Clearwater PD,7/24/2016,03:45:00 PM,CW16-104868,PT,THEFT-PETIT,600 Block of S GULFVIEW BLVD,CLEARWATER,33767
Largo PD,7/30/2016,02:03:00 PM,16008075,0810,ASSAULT,2000 Block of EAST BAY DR,LARGO,33770
Largo PD,7/26/2016,06:23:00 PM,16007937,0630,THEFT-SHOPLIFTING,2600 Block of ROOSEVELT BLVD,CLEARWATER,33778
Clearwater PD,7/27/2016,02:03:00 PM,CW16-106196,PTS,THEFT-SHOPLIFTING,1200 Block of S MISSOURI AVE,CLEARWATER,33756
Sheriff,7/29/2016,12:00:00 PM,SO16-304526,BRGR,BURGLARY-RESIDENCE,7100 Block of 33RD ST N,PINELLAS SO,33702
Clearwater PD,7/15/2016,03:00:00 PM,CW16-100679,GT,THEFT-GRAND,2000 Block of N HIGHLAND AVE,CLEARWATER,33755
Sheriff,7/16/2016,08:00:00 PM,SO16-285581,BRGC,BURGLARY-VEHICLE,200 Block of MILWAUKEE AVE,DUNEDIN,34698
Sheriff,7/19/2016,03:30:00 PM,SO16-290167,BAT,BATTERY,62ND AVE N & TERR GARDEN DR N,PINELLAS SO,33781
Sheriff,7/17/2016,09:15:00 PM,SO16-287252,BBD,BATTERY ,14400 Block of 49TH ST N,PINELLAS SO,33762
Sheriff,7/23/2016,03:28:00 PM,SO16-295633,PTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD,SEMINOLE,33708
