AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,1/18/2019,03:05:00 PM,SO19-19672,PTPP,THEFT-PETIT,1300 Block of TAMPA RD,PINELLAS SO,34683
Sheriff,1/29/2019,05:30:00 PM,SO19-31743,GT,THEFT-GRAND,GULF BLVD & 25TH AVE,INDIAN ROCKS BEACH,33785
Clearwater PD,1/17/2019,01:00:00 AM,CW19-9556,BRGC,BURGLARY-VEHICLE,1500 Block of LAURA ST,CLEARWATER,33755
Sheriff,1/21/2019,12:00:00 PM,SO19-22233,BRGC,BURGLARY-VEHICLE,700 Block of PRUITT DR,MADEIRA BEACH,33708
Sheriff,1/29/2019,06:00:00 AM,SO19-31080,PTS,THEFT-SHOPLIFTING,300 Block of PHILIPPE PKWY,SAFETY HARBOR,34695
Sheriff,1/26/2019,12:00:00 PM,SO19-28156,BRGC,BURGLARY-VEHICLE,1600 Block of WILDWOOD RD,PINELLAS SO,33756
Clearwater PD,1/28/2019,02:00:00 PM,CW19-15993,GTA,STOLEN VEHICLE,HAVEN WOMENS SHELTER,CLEARWATER,33755
Sheriff,1/24/2019,12:00:00 AM,SO19-26349,GTH,THEFT-GRAND,5000 Block of 80TH ST N,PINELLAS SO,33709
Sheriff,1/20/2019,03:00:00 AM,SO19-21021,LSAP,TRAFFIC ACCIDENT,7500 Block of 92ND ST N,SEMINOLE,33777
Pinellas Park PD,1/27/2019,09:12:00 AM,201900008508,05D,TRESPASS,7100 Block of 60TH WAY,PINELLAS PARK,null
Sheriff,1/20/2019,05:30:00 PM,SO19-21389,BRGC,BURGLARY-VEHICLE,14000 Block of GULF BLVD,MADEIRA BEACH,33708
Sheriff,1/15/2019,05:56:00 PM,SO19-16660,LSAP,TRAFFIC ACCIDENT,3900 Block of W BAY DR,BELLEAIR BLUFFS,33770
Pinellas Park PD,1/30/2019,08:00:00 PM,201900009455,06B,THEFT-PETIT,7700 Block of 59TH ST,PINELLAS PARK,null
Gulfport PD,1/19/2019,09:30:00 PM,GP19-1540,BAT,BATTERY,2400 Block of YORK ST S,GULFPORT,33707
Tarpon Springs PD,1/29/2019,08:08:00 PM,TS19-2618,TAWN,TRESPASS,41000 Block of US HIGHWAY 19 N,TARPON SPRINGS,34689
Clearwater PD,1/21/2019,10:27:00 PM,CW19-12175,TAWN,TRESPASS,20500 Block of US HIGHWAY 19 N,CLEARWATER,33759
Sheriff,1/21/2019,09:00:00 PM,SO19-22884,BRGC,BURGLARY-VEHICLE,15500 Block of VERONA AVE,PINELLAS SO,33760
Sheriff,1/29/2019,08:00:00 AM,SO19-31377,PT,THEFT-PETIT,300 Block of DUNCAN LOOP E,DUNEDIN,34698
Clearwater PD,1/29/2019,08:10:00 PM,CW19-16506,GT,THEFT-GRAND,23100 Block of US HIGHWAY 19 N,CLEARWATER,33765
Sheriff,1/29/2019,01:03:00 PM,SO19-31289,PT,THEFT-PETIT,9700 Block of 98TH ST N,PINELLAS SO,33777
Kenneth City PD,1/21/2019,12:14:00 AM,KC19-4750,BAT,BATTERY,4200 Block of 66TH ST N,KENNETH CITY,33709
Sheriff,1/20/2019,10:00:00 AM,SO19-21599,SBR,BATTERY-SEXUAL,13400 Block of ADAMS CIR,PINELLAS SO,33774
Sheriff,1/23/2019,05:00:00 PM,SO19-25220,BRGC,BURGLARY-VEHICLE,13900 Block of 82ND TERR N,PINELLAS SO,33776
Clearwater PD,1/20/2019,06:12:00 PM,CW19-9351,LSAP,TRAFFIC ACCIDENT,JEFFORDS ST & S MYRTLE AVE,CLEARWATER,33756
Clearwater PD,1/23/2019,11:20:00 PM,CW19-13336,BAT,BATTERY,600 Block of S GULFVIEW BLVD,CLEARWATER,33767
Largo PD,1/21/2019,02:00:00 PM,19000768,0690,THEFT-PETIT,null,LARGO,33771
Sheriff,1/27/2019,10:55:00 PM,SO19-29562,BEMP,BATTERY,3200 Block of MCMULLEN BOOTH RD,SAFETY HARBOR,33761
