AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Clearwater PD,2/25/2020,07:13:00PM,CW20-29531,ROBU,ROBBERY-UNARMED,23106 Block of US HIGHWAY 19 N ,CLEARWATER,33765
Sheriff,2/25/2020,06:00:00PM,SO20-62963,PT,THEFT-PETIT,0 Block of BAYSIDE BRIDGE SB ,PINELLAS SO,33759
Largo PD,2/20/2020,04:15:00PM,20001743,0810,ASSAULT,7799 Block of 142ND AVE N/S BELCHER RD ,LARGO,33770
Sheriff,2/26/2020,03:00:00AM,SO20-63571,BAT,BATTERY,PINELLAS COUNTY,PINELLAS SO,
Largo PD,2/20/2020,10:37:00PM,20001753,0810,ASSAULT,2681 Block of ROOSEVELT BLVD ,CLEARWATER,33770
Largo PD,2/18/2020,09:30:00AM,20001660,0810,ASSAULT,10256 Block of 127TH PL N ,LARGO,33773
Clearwater PD,2/25/2020,11:12:00AM,CW20-29634,PT,THEFT-PETIT,1499 Block of S BELCHER RD ,CLEARWATER,33764
Largo PD,2/15/2020,01:27:00PM,20001567,0690,THEFT-PETIT,3500 Block of OAK MANOR LN ,LARGO,33770
Sheriff,2/15/2020,03:05:00PM,SO20-51844,B65,BATTERY ,3200 Block of SCHERER DR ,PINELLAS PARK,33716
Largo PD,2/17/2020,08:05:00AM,20001644,0680,THEFT-PETIT,11101 Block of ULMERTON RD ,LARGO,33778
Largo PD,2/21/2020,04:55:00PM,20001778,0810,ASSAULT,709 Block of BELLEAIR PL ,CLEARWATER,33771
Largo PD,2/15/2020,12:00:00AM,20001565,0680,THEFT-PETIT,12121 Block of VONN RD ,LARGO,33770
Largo PD,2/20/2020,09:00:00PM,20001779,0810,ASSAULT,2738 Block of ROOSEVELT BLVD ,CLEARWATER,33760
Sheriff,2/26/2020,09:30:00PM,SO20-63751,BRGC,BURGLARY-VEHICLE,8469 Block of LANTANA DR ,PINELLAS SO,33777
Sheriff,2/26/2020,10:00:00AM,SO20-64486,PT,THEFT-PETIT,2222 Block of AMERICUS BLVD N ,PINELLAS SO,33763
Clearwater PD,2/26/2020,02:00:00PM,CW20-29764,GT,THEFT-GRAND,23672 Block of US HIGHWAY 19 N ,CLEARWATER,33765
Kenneth City PD,2/27/2020,12:00:00AM,KC20-8095,BAT,BATTERY,4250 Block of 66TH ST N ,KENNETH CITY,33709
Largo PD,2/21/2020,04:55:00PM,20001778,0810,ASSAULT,709 Block of BELLEAIR PL ,CLEARWATER,33771
Sheriff,2/26/2020,10:00:00PM,SO20-63646,BRGC,BURGLARY-VEHICLE,8300 Block of 76TH AVE N ,PINELLAS SO,33777
Sheriff,2/15/2020,Unknown,SO20-51946,BAT,BATTERY,100 Block of MAIN ST ,DUNEDIN,34698
Kenneth City PD,2/15/2020,09:30:00PM,KC20-6274,GTA,STOLEN VEHICLE,5100 Block of 57TH ST N ,KENNETH CITY,33709
Clearwater PD,2/15/2020,03:00:00PM,CW20-24246,ROBC,ROBBERY-CARJACKING,2400 Block of STATE ROAD 580 ,CLEARWATER,33761
Clearwater PD,2/26/2020,12:00:00AM,CW20-29814,GT,THEFT-GRAND,600 Block of CLEVELAND ST ,CLEARWATER,33755
Sheriff,2/26/2020,06:00:00AM,SO20-64182,GT,THEFT-GRAND,12909 Block of CAMPBELL LN ,PINELLAS SO,33774
Sheriff,2/25/2020,12:00:00AM,SO20-62663,PTTB,THEFT-PETIT,5840 Block of ULMERTON RD ,PINELLAS SO,33760
Largo PD,2/19/2020,11:39:00AM,20001697,0690,THEFT-PETIT,260 Block of 3RD ST NW ,LARGO,33770
Sheriff,2/25/2020,09:09:00PM,SO20-63309,TAWN,TRESPASS,1075 Block of PASADENA AVE S ,SOUTH PASADENA,33707
Largo PD,2/26/2020,05:00:00PM,20001906,0650,THEFT-GRAND,7501 Block of 142ND AVE N ,LARGO,33770
Largo PD,2/28/2020,02:57:00PM,20001969,4010,TRAFFIC ACCIDENT,1300 Block of S KEENE RD/LAKEVIEW RD ,PINELLAS COUNTY,33770
Clearwater PD,2/27/2020,11:19:00AM,CW20-30365,GT,THEFT-GRAND,27001 Block of US HIGHWAY 19 N WHOLE ,CLEARWATER,
Largo PD,2/19/2020,09:00:00PM,20001700,0810,ASSAULT,831 Block of LAKESIDE DR SW ,LARGO,33771
Largo PD,2/26/2020,03:26:00AM,20001902,0690,THEFT-PETIT,1200 Block of EAST BAY DR ,LARGO,33771
Kenneth City PD,2/27/2020,03:17:00PM,KC20-8125,PT,THEFT-PETIT,4749 Block of 66TH ST N ,KENNETH CITY,33709
Sheriff,2/27/2020,09:00:00AM,SO20-65149,BRGR,BURGLARY-RESIDENCE,2964 Block of BRIDLEWOOD DR ,PINELLAS SO,34683
Sheriff,2/15/2020,03:30:00PM,SO20-51889,PTS,THEFT-SHOPLIFTING,1000 Block of PASADENA AVE S ,SOUTH PASADENA,33707
Clearwater PD,2/16/2020,06:00:00PM,CW20-24758,FB,BATTERY,100 Block of S FT HARRISON AVE ,CLEARWATER,33756
Sheriff,2/16/2020,01:18:00AM,SO20-52485,BRGB,BURGLARY-BUSINESS,10300 Block of GANDY BLVD ,PINELLAS SO,33702
Sheriff,2/15/2020,05:40:00PM,SO20-51983,PT,THEFT-PETIT,129TH AVE W & JOHNS WAY,MADEIRA BEACH,33708
Sheriff,2/15/2020,06:16:00PM,SO20-52031,PT,THEFT-PETIT,129TH AVE W & JOHNS WAY,MADEIRA BEACH,33708
Sheriff,2/16/2020,12:00:00AM,SO20-52766,GT,THEFT-GRAND,6600 Block of WILLOW PARK DR ,OUTSIDE AGENCY,34109
Sheriff,2/16/2020,10:00:00PM,SO20-52308,GTA,STOLEN VEHICLE,10400 Block of HOLIDAY SHORES DR ,PINELLAS SO,33773
Pinellas Park PD,2/23/2020,07:20:00PM,202000013250,05C,BURGLARY-VEHICLE,6301 Block of 94TH AVE ,PINELLAS PARK,33780
Largo PD,2/19/2020,10:00:00PM,20001694,0810,ASSAULT,831 Block of LAKESIDE DR SW ,LARGO,33771
Largo PD,2/20/2020,12:00:00PM,20001732,0630,THEFT-SHOPLIFTING,2677 Block of ROOSEVELT BLVD ,CLEARWATER,33760
Pinellas Park PD,2/23/2020,07:20:00PM,202000013254,05C,BURGLARY-VEHICLE,6301 Block of 94TH AVE ,PINELLAS PARK,33780
Largo PD,2/20/2020,02:11:00PM,20001739,0650,THEFT-GRAND,12308 Block of ELDON DR ,LARGO,33774
Sheriff,2/27/2020,06:00:00PM,SO20-65459,PT,THEFT-PETIT,2701 Block of 50TH AVE N ,PINELLAS SO,33714
Largo PD,2/26/2020,08:00:00PM,20001918,0650,THEFT-GRAND,104 Block of ROBIN RD ,CLEARWATER,33760
Gulfport PD,2/28/2020,09:00:00PM,GP20-4551,GT,THEFT-GRAND,5100 Block of 17TH AVE S ,GULFPORT,33707
Sheriff,2/24/2020,01:37:00PM,SO20-61868,PT,THEFT-PETIT,6774 Block of 46TH AVE N ,PINELLAS SO,33709
Largo PD,2/25/2020,01:00:00PM,20001867,0640,THEFT-PETIT,13001 Block of STARKEY RD ,LARGO,33770
Largo PD,2/15/2020,08:24:00PM,20001574,0810,ASSAULT,5083 Block of FOXBRIDGE CIR N ,LARGO,33770
