AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,11/16/2023,06:30:00AM,SO23-370956,MPA,MISSING PERSON,5000 Block of BRIDGEPORT DR ,SAFETY HARBOR,34695
Sheriff,11/17/2023,Unknown,SO23-371752,BSNB,BURGLARY-BUSINESS,2100 Block of SEMINOLE BLVD ,PINELLAS SO,33778
Clearwater PD,11/27/2023,05:54:00PM,CW23-176003,CMF,VANDAL/CRIM MISCH,2700 Block of GULF TO BAY BLVD ,CLEARWATER,33759
Sheriff,11/27/2023,12:06:00PM,SO23-380414,TAWN,TRESPASS,BELLEAIR RD & CSX RR,PINELLAS SO,33756
Sheriff,11/20/2023,12:00:00AM,SO23-374179,MPJU,MISSING PERSON,4200 Block of MALLORY DR ,PINELLAS SO,33714
Clearwater PD,11/19/2023,02:00:00AM,CW23-171582,CM,VANDAL/CRIM MISCH,600 Block of POINSETTIA AVE ,CLEARWATER,
Gulfport PD,11/20/2023,01:39:00PM,GP23-17430,MPA,MISSING PERSON,1400 Block of 59TH ST S ,GULFPORT,33707
Sheriff,11/20/2023,01:00:00PM,SO23-374567,DOF,WEAPON,E DOUGLAS RD & RACETRACK RD,OLDSMAR,UNKNO
Sheriff,11/20/2023,04:25:00PM,SO23-374746,PTS,THEFT-SHOPLIFTING,13000 Block of WALSINGHAM RD ,PINELLAS SO,33774
Sheriff,11/20/2023,02:37:00PM,SO23-374657,LSAP,TRAFFIC ACCIDENT,TAMPA RD & E ST PETERSBURG DR,OLDSMAR,34677
Sheriff,11/19/2023,08:31:00PM,SO23-374000,PTS,THEFT-SHOPLIFTING,3700 Block of TAMPA RD ,OLDSMAR,34677
Sheriff,11/20/2023,11:45:00PM,SO23-374308,BRGC,BURGLARY-VEHICLE,2600 Block of MEGAN CT ,PINELLAS SO,34684
Sheriff,11/28/2023,08:02:00PM,SO23-381963,TSC,TRESPASS,14800 Block of 49TH ST N ,PINELLAS SO,33762
Kenneth City PD,11/19/2023,02:00:00AM,KC23-34088,GT,THEFT-GRAND,4700 Block of 66TH ST N ,KENNETH CITY,33709
Clearwater PD,11/20/2023,01:45:00PM,CW23-172127,PT,THEFT-PETIT,2200 Block of GULF TO BAY BLVD ,CLEARWATER,33765
Clearwater PD,11/20/2023,04:30:00PM,CW23-172313,MPA,MISSING PERSON,2600 Block of ALEXANDER PL ,CLEARWATER,33763
Sheriff,11/29/2023,12:00:00AM,SO23-382993,GT,THEFT-GRAND,35300 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Sheriff,11/29/2023,04:00:00AM,SO23-382734,MPA,MISSING PERSON,5500 Block of WESTCHESTER BLVD ,PINELLAS SO,33709
