AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Sheriff,2/17/2024,03:51:00AM,SO24-50553,CM,VANDAL/CRIM MISCH,1500 Block of WOODLANDS DR ,PINELLAS SO,34677
Clearwater PD,2/16/2024,02:30:00AM,CW24-26356,GT,THEFT-GRAND,300 Block of ELIZABETH AVE ,CLEARWATER,33759
Sheriff,2/22/2024,02:11:00PM,SO24-56459,PTS,THEFT-SHOPLIFTING,6300 Block of 54TH AVE N ,PINELLAS SO,33709
Sheriff,2/18/2024,04:57:00PM,SO24-51826,BAT,BATTERY,2700 Block of US HIGHWAY 19A ,PINELLAS SO,34683
Sheriff,2/17/2024,07:29:00AM,SO24-50613,A,ASSAULT,36700 Block of US HIGHWAY 19 N ,PINELLAS SO,34684
Sheriff,2/17/2024,04:35:00AM,SO24-50568,PTTB,THEFT-PETIT,4900 Block of 34TH ST N ,PINELLAS SO,33714
Clearwater PD,2/17/2024,03:48:00PM,CW24-26689,PT,THEFT-PETIT,GULF TO BAY & US HIGHWAY 19,CLEARWATER,
Tarpon Springs PD,2/17/2024,11:33:00AM,TS24-5587,A,ASSAULT,100 Block of W TARPON AVE ,TARPON SPRINGS,34689
Sheriff,2/17/2024,04:30:00PM,SO24-50847,GTA,STOLEN VEHICLE,6000 Block of CRESTMONT AVE ,PINELLAS SO,33760
Clearwater PD,2/18/2024,07:51:00PM,CW24-27271,GTA,STOLEN VEHICLE,1800 Block of N KEENE RD ,CLEARWATER,33755
Sheriff,2/17/2024,10:50:00PM,SO24-51031,TAWN,TRESPASS,5700 Block of 34TH ST N ,PINELLAS SO,33714
Sheriff,2/17/2024,10:37:00PM,SO24-51028,PTTB,THEFT-PETIT,6000 Block of 49TH ST N ,PINELLAS SO,33709
Clearwater PD,2/18/2024,06:50:00PM,CW24-27144,PT,THEFT-PETIT,2000 Block of GLASS LOOP ,CLEARWATER,33763
Clearwater PD,2/18/2024,08:30:00PM,CW24-27099,BRGC,BURGLARY-VEHICLE,800 Block of WOODLAWN LOOP ,CLEARWATER,33756
Clearwater PD,2/18/2024,08:40:00AM,CW24-26987,GTS,THEFT-SHOPLIFTING,1600 Block of S MISSOURI AVE ,CLEARWATER,33756
Sheriff,2/17/2024,09:41:00PM,SO24-51002,TAWN,TRESPASS,5300 Block of 66TH ST N ,PINELLAS SO,33709
Sheriff,2/17/2024,06:00:00PM,SO24-51011,BRGC,BURGLARY-VEHICLE,3300 Block of WEDGEWOOD WAY ,PINELLAS SO,34688
Sheriff,2/22/2024,09:55:00AM,SO24-56211,BAT,BATTERY,12000 Block of ULMERTON RD ,PINELLAS SO,33774
Sheriff,2/23/2024,02:46:00PM,SO24-57418,CMF,VANDAL/CRIM MISCH,5700 Block of 49TH ST N ,PINELLAS SO,33709
Sheriff,2/23/2024,02:15:00PM,SO24-57415,CMF,VANDAL/CRIM MISCH,6200 Block of SEMINOLE BLVD ,SEMINOLE,33772
Clearwater PD,2/23/2024,04:00:00PM,CW24-29960,PT,THEFT-PETIT,400 Block of E SHORE DR ,CLEARWATER,33767
Clearwater PD,2/21/2024,09:31:00PM,CW24-28951,LSAP,TRAFFIC ACCIDENT,DREW ST & OLD COACHMAN RD N,CLEARWATER,33765
Sheriff,2/22/2024,07:00:00AM,SO24-56894,MPJU,MISSING PERSON,3100 Block of 50TH AVE N ,PINELLAS SO,33714
Clearwater PD,2/27/2024,01:15:00PM,PS24-838,BAT,BATTERY,2200 Block of NE COACHMAN RD ,CLEARWATER,33765
Clearwater PD,2/28/2024,05:00:00PM,CW24-32835,PTS,THEFT-SHOPLIFTING,2400 Block of GULF TO BAY BLVD ,CLEARWATER,33765
Sheriff,2/28/2024,01:59:00AM,SO24-62247,PT,THEFT-PETIT,3900 Block of 55TH AVE N ,PINELLAS SO,33714
Sheriff,2/21/2024,09:46:00PM,SO24-55719,BAT,BATTERY,3600 Block of 49TH AVE N ,PINELLAS SO,33714
Gulfport PD,2/22/2024,12:38:00PM,GP24-2921,BRGR,BURGLARY-RESIDENCE,5200 Block of GULFPORT BLVD S ,GULFPORT,33707
Sheriff,2/22/2024,Unknown,SO24-56557,CM,VANDAL/CRIM MISCH,900 Block of 1ST AVE N ,SAFETY HARBOR,34695
