AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Largo PD,9/17/2018,06:34:00 PM,18009886,0810,ASSAULT,600 Block of BRAGINTON ST,CLEARWATER,33771
Sheriff,9/24/2018,12:00:00 PM,SO18-306907,GTF,THEFT-GRAND,7900 Block of 50TH AVE N,PINELLAS SO,33709
Pinellas Park PD,9/25/2018,11:32:00 AM,201800077071,06B,THEFT-PETIT,7400 Block of 49TH ST,PINELLAS PARK,null
Sheriff,9/18/2018,03:49:00 PM,SO18-299852,TAWN,TRESPASS,1500 Block of GULF WAY,ST PETE BEACH,33706
Sheriff,9/23/2018,08:00:00 AM,SO18-305473,PT,THEFT-PETIT,3800 Block of 62ND AVE N,PINELLAS SO,33781
Sheriff,9/15/2018,12:00:00 PM,SO18-296387,PT,THEFT-PETIT,200 Block of PASS A GRILLE WAY,ST PETE BEACH,33706
Tarpon Springs PD,9/23/2018,06:46:00 PM,TS18-27798,LSAP,TRAFFIC ACCIDENT,E TARPON AVE & US HIGHWAY 19 N,TARPON SPRINGS,34689
Sheriff,9/17/2018,10:11:00 AM,SO18-298184,TAWN,TRESPASS,3500 Block of 58TH AVE N,PINELLAS SO,33781
Sheriff,9/15/2018,11:00:00 AM,SO18-296194,BAT,BATTERY,49TH ST N & ULMERTON RD,PINELLAS SO,33760
Clearwater PD,9/27/2018,02:03:00 AM,CW18-145815,BRGC,BURGLARY-VEHICLE,1700 Block of STARLIGHT DR,CLEARWATER,33755
Sheriff,9/24/2018,01:00:00 PM,SO18-306817,GTA,STOLEN VEHICLE,9500 Block of BLIND PASS RD,ST PETE BEACH,33706
Clearwater PD,9/23/2018,09:35:00 AM,CW18-141597,PTPS,THEFT-PURSE SNATCH,21200 Block of US HIGHWAY 19 N,CLEARWATER,33765
Sheriff,9/16/2018,12:00:00 PM,SO18-297246,MPA,MISSING PERSON,600 Block of LYNDHURST ST,DUNEDIN,34698
Sheriff,9/18/2018,03:30:00 AM,SO18-299528,SBR,BATTERY-SEXUAL,8300 Block of 42ND AVE N,PINELLAS SO,33709
Clearwater PD,9/28/2018,10:26:00 PM,CW18-144692,MPJ,MISSING PERSON,2900 Block of GULF TO BAY BLVD,CLEARWATER,33759
Sheriff,9/17/2018,08:00:00 AM,SO18-298454,PT,THEFT-PETIT,6100 Block of AUGUSTA BLVD,SEMINOLE,33777
Sheriff,9/16/2018,01:00:00 PM,SO18-297502,FTPC,THEFT-GRAND,11900 Block of SEMINOLE BLVD,PINELLAS SO,33778
Clearwater PD,9/15/2018,04:31:00 PM,CW18-137816,BRC,BURGLARY-RESIDENCE,300 Block of DAVID AVE,CLEARWATER,33759
Clearwater PD,9/16/2018,09:30:00 PM,CW18-138384,GTF,THEFT-GRAND,1400 Block of N BETTY LN,CLEARWATER,33755
Sheriff,9/29/2018,09:40:00 AM,SO18-312278,ARS,ARSON,7400 Block of DANBURY WAY,PINELLAS SO,33764
Clearwater PD,9/28/2018,11:00:00 PM,CW18-144506,GTA,STOLEN VEHICLE,2900 Block of MAYFAIR CT,CLEARWATER,33761
Sheriff,9/29/2018,12:50:00 PM,SO18-312415,BRGC,BURGLARY-VEHICLE,1300 Block of N,DUNEDIN,34698
Kenneth City PD,9/17/2018,10:01:00 AM,KC18-38059,BAT,BATTERY,4200 Block of 66TH ST N,KENNETH CITY,33709
Sheriff,9/17/2018,01:30:00 PM,SO18-298668,GTA,STOLEN VEHICLE,12100 Block of PARK BLVD N,PINELLAS SO,33772
Sheriff,9/20/2018,03:44:00 AM,SO18-301523,AL,ALARM,900 Block of FLORIDA AVE,PINELLAS SO,34683
Sheriff,9/19/2018,05:30:00 PM,SO18-301133,BRC,BURGLARY-RESIDENCE,5700 Block of 66TH ST N,PINELLAS SO,33709
Treasure Island PD,9/25/2018,03:22:00 PM,TI18-16767,LSWU,TRAFFIC ACCIDENT,00 Block of KEY CAPRI,TREASURE ISLAND,33706
Sheriff,9/19/2018,11:36:00 AM,SO18-300769,GT,THEFT-GRAND,100 Block of BOARDWALK PL,MADEIRA BEACH,33708
Clearwater PD,9/21/2018,01:15:00 AM,CW18-140509,PT,THEFT-PETIT,DREW ST & FAIRWOOD AVE,CLEARWATER,33759
Clearwater PD,9/16/2018,Unknown,CW18-138246,PTS,THEFT-SHOPLIFTING,1200 Block of S MISSOURI AVE,CLEARWATER,33756
Sheriff,9/21/2018,09:49:00 AM,SO18-303242,ARS,ARSON,3500 Block of PINELLAS BAYWAY S,PINELLAS SO,33715
Clearwater PD,9/21/2018,03:45:00 AM,CW18-140560,BOL,BATTERY,300 Block of PINELLAS ST,CLEARWATER,33756
Sheriff,9/16/2018,03:24:00 PM,SO18-297345,BAT,BATTERY,4200 Block of 54TH AVE N,PINELLAS SO,33714
Sheriff,9/18/2018,08:13:00 AM,SO18-299644,GT,THEFT-GRAND,1600 Block of PINEHURST RD,DUNEDIN,34698
Sheriff,9/20/2018,12:00:00 PM,SO18-301911,PT,THEFT-PETIT,2400 Block of TAMPA RD,PINELLAS SO,34683
Sheriff,9/17/2018,06:00:00 AM,SO18-298506,BRGR,BURGLARY-RESIDENCE,5700 Block of 25TH ST N,PINELLAS SO,33714
Sheriff,9/27/2018,08:00:00 AM,SO18-309993,GT,THEFT-GRAND,3500 Block of PINELLAS BAYWAY S,PINELLAS SO,33715
Clearwater PD,9/26/2018,02:30:00 AM,CW18-143049,BRGC,BURGLARY-VEHICLE,500 Block of MANDALAY AVE,CLEARWATER,33767
Pinellas Park PD,9/27/2018,10:00:00 AM,201800077690,11B,THEFT-GRAND,7000 Block of 49TH ST,PINELLAS PARK,null
Sheriff,9/25/2018,05:45:00 PM,SO18-308059,BAT,BATTERY,12800 Block of US HIGHWAY 19 N,PINELLAS SO,33764
Sheriff,9/28/2018,03:00:00 PM,SO18-311508,BAT,BATTERY,300 Block of BANANA ST,PINELLAS SO,34683
Clearwater PD,9/23/2018,02:10:00 PM,CW18-141699,AB,BATTERY-AGGRAVATED,1500 Block of S MICHIGAN AVE,CLEARWATER,33756
Largo PD,9/17/2018,08:59:00 PM,18009895,0810,ASSAULT,1000 Block of S BELCHER RD,LARGO,33770
Clearwater PD,9/27/2018,07:30:00 AM,CW18-143835,GT,THEFT-GRAND,400 Block of FAIRWOOD AVE,CLEARWATER,33759
Clearwater PD,9/17/2018,10:28:00 AM,CW18-138579,AB,BATTERY-AGGRAVATED,1500 Block of ELMWOOD ST,CLEARWATER,33755
Sheriff,9/18/2018,03:17:00 PM,SO18-299820,BRGC,BURGLARY-VEHICLE,14000 Block of US HIGHWAY 19 N,PINELLAS SO,33764
Clearwater PD,9/22/2018,04:30:00 PM,CW18-141285,GT,THEFT-GRAND,200 Block of FAIRWOOD AVE,CLEARWATER,33759
Sheriff,9/28/2018,12:23:00 PM,SO18-311357,PTS,THEFT-SHOPLIFTING,10200 Block of BAY PINES BLVD,SEMINOLE,33708
Sheriff,9/16/2018,02:18:00 PM,SO18-297300,GTA,STOLEN VEHICLE,4500 Block of 49TH ST N,PINELLAS SO,33709
Largo PD,9/16/2018,04:32:00 PM,18009828,0810,ASSAULT,11300 Block of ULMERTON RD,LARGO,33771
Kenneth City PD,9/17/2018,04:48:00 PM,KC18-38086,PT,THEFT-PETIT,4500 Block of 66TH ST N,KENNETH CITY,33709
Sheriff,9/19/2018,07:48:00 PM,SO18-301233,AL,ALARM,2700 Block of SUNSET POINT RD,PINELLAS SO,33759
